sample	PI	Race	feature	cutoff	genetic_load	n_del	feature_bp	genetic_load_per_kb	n_del_per_kb
PI655979_PI655979	PI655979	Caudatum	intergenic	5%	345954.80571	51460	514305572	0.672663926942639	0.100057247678429
PI655980_PI655980	PI655980	Guinea	intergenic	5%	289938.53816	42728	514305572	0.563747612207476	0.0830790143568579
PI655981_PI655981	PI655981	Caudatum	intergenic	5%	344877.27215	51105	514305572	0.670568803695559	0.0993669965527809
PI655982_PI655982	PI655982	Durra	intergenic	5%	265552.56922	39220	514305572	0.516332281190996	0.0762581666138356
PI655983_PI655983	PI655983	Durra	intergenic	5%	303970.47106	44897	514305572	0.59103087271238	0.0872963515160983
PI655984_PI655984	PI655984	Kafir	intergenic	5%	417924.92228	61658	514305572	0.812600417014343	0.11988592649352
PI655985_PI655985	PI655985	Durra	intergenic	5%	360877.69712	53246	514305572	0.701679539882566	0.103529891369717
PI655986_PI655986	PI655986	Guinea	intergenic	5%	360223.71586	53166	514305572	0.700407958753362	0.103374341820275
PI655987_PI655987	PI655987	Durra	intergenic	5%	297449.60796	43907	514305572	0.578351906247673	0.0853714258417562
PI655988_PI655988	PI655988	Durra	intergenic	5%	314704.30877	46471	514305572	0.611901417957027	0.0903567889013654
PI655989_PI655989	PI655989	Durra	intergenic	5%	294305.21344	43479	514305572	0.572238041862008	0.0845392357522426
PI655990_PI655990	PI655990	Guinea	intergenic	5%	462036.91889	68344	514305572	0.898370431985131	0.132885980088118
PI655991_PI655991	PI655991	Durra	intergenic	5%	344212.27237	50821	514305572	0.669275798493585	0.0988147956522625
PI655992_PI655992	PI655992	Durra	intergenic	5%	301873.23044	44571	514305572	0.58695306229348	0.086662487102123
PI655993_PI655993	PI655993	Durra	intergenic	5%	355435.85503	52730	514305572	0.691098588817156	0.102526596775817
PI655994_PI655994	PI655994	Durra	intergenic	5%	329799.57898	48444	514305572	0.641252198955371	0.0941930296644735
PI655995_PI655995	PI655995	Guinea	intergenic	5%	304310.38946	44819	514305572	0.591691799636968	0.0871446907053926
PI655996_PI655996	PI655996	Caudatum	intergenic	5%	410291.11062	60733	514305572	0.797757467461387	0.1180873848281
PI655997_PI655997	PI655997	Guinea	intergenic	5%	440721.66711	65181	514305572	0.856925709352416	0.126735939777063
PI655998_PI655998	PI655998	Caudatum	intergenic	5%	320290.16605	47664	514305572	0.622762387746404	0.0926764215574161
PI655999_PI655999	PI655999	Guinea	intergenic	5%	252629.31715	37160	514305572	0.491204705730857	0.0722527657157096
PI656000_PI656000	PI656000	Bicolor	intergenic	5%	262892.24669	38849	514305572	0.511159631554604	0.0755368055782993
PI656001_PI656001	PI656001	Bicolor	intergenic	5%	259453.33447	38278	514305572	0.504473115974719	0.0744265706691585
PI656002_PI656002	PI656002	Durra	intergenic	5%	300759.9571	44396	514305572	0.584788447712948	0.0863222224627191
PI656003_PI656003	PI656003	Durra	intergenic	5%	356472.13474	52441	514305572	0.693113499341983	0.101964674028459
PI656004_PI656004	PI656004	Caudatum	intergenic	5%	435970.10466	64623	514305572	0.847686916874391	0.125650981669707
PI656005_PI656005	PI656005	Durra	intergenic	5%	323852.88099	47803	514305572	0.629689621542735	0.0929466888995712
PI656006_PI656006	PI656006	Durra	intergenic	5%	354940.91881	52438	514305572	0.690136249991863	0.101958840920355
PI656007_PI656007	PI656007	Durra	intergenic	5%	262834.7817	38823	514305572	0.511047898388315	0.0754862519747307
PI656008_PI656008	PI656008	Bicolor	intergenic	5%	345128.50445	50743	514305572	0.671057292083937	0.0986631348415568
PI656009_PI656009	PI656009	Milo/Durra-Bicolor	intergenic	5%	262230.24833	38668	514305572	0.509872462221739	0.0751848747226872
PI656010_PI656010	PI656010	Caudatum	intergenic	5%	388730.3355	57527	514305572	0.755835356767241	0.11185373663422
PI656011_PI656011	PI656011	Bicolor	intergenic	5%	361318.68044	53262	514305572	0.702536974341783	0.103561001279605
PI656012_PI656012	PI656012	Guinea	intergenic	5%	437664.5883	64799	514305572	0.850981618958622	0.125993190678479
PI656013_PI656013	PI656013	Guinea	intergenic	5%	372190.77887	54903	514305572	0.723676349495199	0.10675171141253
PI656014_PI656014	PI656014	Caudatum	intergenic	5%	316336.33538	46666	514305572	0.615074680505309	0.0907359409281298
PI656015_PI656015	PI656015	Kafir	intergenic	5%	341083.67387	50270	514305572	0.663192647405344	0.0977434481304823
PI656016_PI656016	PI656016	Bicolor	intergenic	5%	347412.94381	51711	514305572	0.675499085998625	0.100545284389802
PI656017_PI656017	PI656017	Guinea	intergenic	5%	458641.28975	67858	514305572	0.891768074700151	0.131941016575259
PI656018_PI656018	PI656018	Durra	intergenic	5%	408727.48286	60534	514305572	0.794717197541854	0.117700455323863
PI656019_PI656019	PI656019	Durra	intergenic	5%	336325.42801	49831	514305572	0.653940859909641	0.0968898699779204
PI656020_PI656020	PI656020	Durra	intergenic	5%	333870.77243	49222	514305572	0.649168102790844	0.0957057490327948
PI656021_PI656021	PI656021	Guinea	intergenic	5%	441900.25358	65355	514305572	0.85921731678225	0.127074260047099
PI656022_PI656022	PI656022	Durra	intergenic	5%	305366.92405	45101	514305572	0.59374609313002	0.0876930028671749
PI656023_PI656023	PI656023	Durra	intergenic	5%	302358.95613	44628	514305572	0.587897492446378	0.0867733161561003
PI656024_PI656024	PI656024	Bicolor	intergenic	5%	312825.06598	46284	514305572	0.608247475841075	0.0899931918295453
PI656025_PI656025	PI656025	Guinea	intergenic	5%	394816.74744	58181	514305572	0.767669589704543	0.113125354200907
PI656026_PI656026	PI656026	Bicolor	intergenic	5%	301939.2785	44475	514305572	0.587081484118162	0.0864758276427929
PI656027_PI656027	PI656027	Milo/Durra-Bicolor	intergenic	5%	304108.26205	44829	514305572	0.591298789292526	0.0871641343990728
PI656028_PI656028	PI656028	Durra	intergenic	5%	295678.36947	43633	514305572	0.574907964384255	0.0848386686349181
PI656029_PI656029	PI656029	Guinea	intergenic	5%	296149.42444	43916	514305572	0.575823869238578	0.0853889251660684
PI656031_PI656031	PI656031	Milo/Durra-Bicolor	intergenic	5%	249551.18433	36783	514305572	0.485219678564945	0.0715197384639652
PI656032_PI656032	PI656032	Caudatum	intergenic	5%	357799.62427	52691	514305572	0.695694629320485	0.102450766370464
PI656033_PI656033	PI656033	Guinea	intergenic	5%	456132.94958	67510	514305572	0.886890934909023	0.131264376035187
PI656034_PI656034	PI656034	Bicolor	intergenic	5%	317841.50314	46912	514305572	0.618001282591587	0.0912142557926633
PI656035_PI656035	PI656035	Milo/Durra-Bicolor	intergenic	5%	287821.77904	42302	514305572	0.559631850615066	0.0822507130060804
PI656036_PI656036	PI656036	Bicolor	intergenic	5%	365476.2247	53886	514305572	0.710620776047124	0.104774287765251
PI656037_PI656037	PI656037	Bicolor	intergenic	5%	318056.51108	47042	514305572	0.618419337444005	0.0914670238105062
PI656038_PI656038	PI656038	Durra	intergenic	5%	302196.09826	44634	514305572	0.587580836592608	0.0867849823723084
PI656039_PI656039	PI656039	Bicolor	intergenic	5%	312537.26184	45978	514305572	0.607687878287269	0.0893982148029304
PI656040_PI656040	PI656040	Caudatum	intergenic	5%	387302.44109	57275	514305572	0.753059002615667	0.111363755553479
PI656041_PI656041	PI656041	Guinea	intergenic	5%	458305.56472	67814	514305572	0.891115301235741	0.131855464323066
PI656042_PI656042	PI656042	Durra	intergenic	5%	406293.52759	60062	514305572	0.789984689471729	0.116782712982157
PI656043_PI656043	PI656043	Bicolor	intergenic	5%	353506.239	52291	514305572	0.687346702516379	0.101673018623255
PI656044_PI656044	PI656044	Bicolor	intergenic	5%	301840.01583	44444	514305572	0.586888480823225	0.0864155521923842
PI656046_PI656046	PI656046	Guinea	intergenic	5%	367050.52633	54080	514305572	0.713681799912524	0.105151495422647
PI656047_PI656047	PI656047	Guinea	intergenic	5%	365560.68764	53924	514305572	0.710785003200393	0.104848173801236
PI656048_PI656048	PI656048	Bicolor	intergenic	5%	257695.31388	38083	514305572	0.50105487459117	0.0740474186423942
PI656049_PI656049	PI656049	Durra	intergenic	5%	290546.24625	42925	514305572	0.564929221202371	0.0834620551223583
PI656050_PI656050	PI656050	Milo/Durra-Bicolor	intergenic	5%	274833.33113	40432	514305572	0.534377510360708	0.0786147422878786
PI656051_PI656051	PI656051	Bicolor	intergenic	5%	346747.83149	51257	514305572	0.674205861977323	0.0996625406967203
PI656052_PI656052	PI656052	Durra	intergenic	5%	382538.85307	56262	514305572	0.743796827987701	0.109394109383672
PI656053_PI656053	PI656053	Bicolor	intergenic	5%	309765.73587	45715	514305572	0.602299008088522	0.0888868456591406
PI656054_PI656054	PI656054	Caudatum	intergenic	5%	328774.67011	48495	514305572	0.639259397543529	0.0942921925022426
PI656055_PI656055	PI656055	Bicolor	intergenic	5%	400899.8007	59286	514305572	0.779497292127335	0.115273882352572
PI656056_PI656056	PI656056	Bicolor	intergenic	5%	359261.96336	53197	514305572	0.698537956652743	0.103434617270684
PI656057_PI656057	PI656057	Milo/Durra-Bicolor	intergenic	5%	339887.1209	49923	514305572	0.66086610646326	0.0970687519597785
PI656058_PI656058	PI656058	Durra	intergenic	5%	309683.62158	45720	514305572	0.602139347578369	0.0888965675059807
PI656059_PI656059	PI656059	Bicolor	intergenic	5%	257576.12986	38071	514305572	0.500823136833524	0.0740240862099779
PI656060_PI656060	PI656060	Durra	intergenic	5%	303111.21711	44771	514305572	0.589360165652648	0.0870513609757275
PI656061_PI656061	PI656061	Durra	intergenic	5%	270923.564	40027	514305572	0.526775478917036	0.0778272726938296
PI656062_PI656062	PI656062	Bicolor	intergenic	5%	361213.32994	53237	514305572	0.702332134056677	0.103512392045404
PI656063_PI656063	PI656063	Durra	intergenic	5%	268260.09367	39655	514305572	0.521596708794747	0.0771039672889253
PI656064_PI656064	PI656064	Guinea	intergenic	5%	417002.86856	61673	514305572	0.810807604005504	0.119915092034041
PI656065_PI656065	PI656065	Kafir	intergenic	5%	341285.85129	50317	514305572	0.663585754987698	0.0978348334907793
PI656066_PI656066	PI656066	Guinea	intergenic	5%	347320.66498	51298	514305572	0.675319661868256	0.0997422598408092
PI656067_PI656067	PI656067	Guinea	intergenic	5%	362432.1361	53691	514305572	0.704701943419738	0.104395135738487
PI656068_PI656068	PI656068	Bicolor	intergenic	5%	355820.13821	52667	514305572	0.691845777260994	0.102404101505632
PI656069_PI656069	PI656069	Milo/Durra-Bicolor	intergenic	5%	252065.7036	37191	514305572	0.490108832808835	0.0723130411661183
PI656070_PI656070	PI656070	Milo/Durra-Bicolor	intergenic	5%	270280.11317	39819	514305572	0.525524372833355	0.0774228438652809
PI656071_PI656071	PI656071	Milo/Durra-Bicolor	intergenic	5%	295203.75237	43499	514305572	0.573985133433476	0.0845781231396031
PI656072_PI656072	PI656072	Guinea	intergenic	5%	398954.2468	59093	514305572	0.775714416720339	0.114898619064543
PI656073_PI656073	PI656073	Kafir	intergenic	5%	349582.75859	51626	514305572	0.679718007391139	0.100380012993521
PI656074_PI656074	PI656074	Kafir	intergenic	5%	279258.91428	41116	514305572	0.542982478673204	0.0799446909356059
PI656075_PI656075	PI656075	Milo/Durra-Bicolor	intergenic	5%	276283.51061	40743	514305572	0.537197194919755	0.0792194411613336
PI656076_PI656076	PI656076	Bicolor	intergenic	5%	350618.64843	51880	514305572	0.681732159864681	0.100873882812998
PI656077_PI656077	PI656077	Guinea	intergenic	5%	303552.9838	45002	514305572	0.590219123272497	0.0875005102997406
PI656078_PI656078	PI656078	Caudatum	intergenic	5%	80924.87899	11995	514305572	0.157347855819069	0.0233227105694278
PI656079_PI656079	PI656079	Caudatum	intergenic	5%	291752.13227	43435	514305572	0.567273909040986	0.0844536835000497
PI656080_PI656080	PI656080	Durra	intergenic	5%	266644.90188	39263	514305572	0.51845617935479	0.0763417744966605
PI656081_PI656081	PI656081	Caudatum	intergenic	5%	67808.07964	10098	514305572	0.131843952956434	0.0196342418782894
PI656082_PI656082	PI656082	Guinea	intergenic	5%	388342.99208	57508	514305572	0.755082218086488	0.111816793616228
PI656083_PI656083	PI656083	Caudatum	intergenic	5%	321349.8951	47422	514305572	0.624822892449627	0.0922058841703547
PI656085_PI656085	PI656085	Milo/Durra-Bicolor	intergenic	5%	273840.83702	40393	514305572	0.532447735215282	0.0785389118825258
PI656086_PI656086	PI656086	Guinea	intergenic	5%	306650.42499	45246	514305572	0.596241693041583	0.0879749364255381
PI656087_PI656087	PI656087	Milo/Durra-Bicolor	intergenic	5%	261813.20352	38598	514305572	0.509061573068083	0.0750487688669257
PI656088_PI656088	PI656088	Guinea	intergenic	5%	368618.2046	54679	514305572	0.716729945519626	0.106316172674093
PI656089_PI656089	PI656089	Guinea	intergenic	5%	365007.77848	54128	514305572	0.70970994356639	0.105244825152312
PI656090_PI656090	PI656090	Milo/Durra-Bicolor	intergenic	5%	260232.78369	38236	514305572	0.505988653162016	0.0743449071557016
PI656091_PI656091	PI656091	Guinea	intergenic	5%	379744.89449	56283	514305572	0.738364340509226	0.1094349411404
PI656092_PI656092	PI656092	Guinea	intergenic	5%	346299.48259	51507	514305572	0.673334106109976	0.100148633038726
PI656093_PI656093	PI656093	Caudatum	intergenic	5%	254335.88307	37664	514305572	0.494522900230216	0.0732327278771928
PI656094_PI656094	PI656094	Caudatum	intergenic	5%	259382.87045	38693	514305572	0.504336107892683	0.0752334839568878
PI656095_PI656095	PI656095	Caudatum	intergenic	5%	304680.12242	45082	514305572	0.59241069707874	0.0876560598491824
PI656096_PI656096	PI656096	Caudatum	intergenic	5%	259841.99502	38586	514305572	0.505228815642697	0.0750254364345094
PI656097_PI656097	PI656097	Guinea	intergenic	5%	322897.32898	47717	514305572	0.627831675484939	0.0927794731339213
PI656098_PI656098	PI656098	Milo/Durra-Bicolor	intergenic	5%	225735.13328	33322	514305572	0.438912478436069	0.0647902760812399
PI656099_PI656099	PI656099	Guinea	intergenic	5%	353573.89043	52094	514305572	0.687478241884574	0.101289977857755
PI656100_PI656100	PI656100	Guinea	intergenic	5%	393822.39364	57980	514305572	0.765736198634846	0.112734535957934
PI656101_PI656101	PI656101	Kafir	intergenic	5%	345037.40199	50887	514305572	0.670880155251361	0.098943124030552
PI656102_PI656102	PI656102	Milo/Durra-Bicolor	intergenic	5%	228143.31985	33674	514305572	0.44359488263526	0.0654746940987837
PI656103_PI656103	PI656103	Guinea	intergenic	5%	323575.32636	47845	514305572	0.629149952822211	0.0930283524130281
PI656104_PI656104	PI656104	Caudatum	intergenic	5%	358332.91593	53019	514305572	0.696731545288411	0.103088519523176
PI656105_PI656105	PI656105	Milo/Durra-Bicolor	intergenic	5%	259712.27975	38286	514305572	0.504976601245145	0.0744421256241027
PI656106_PI656106	PI656106	Milo/Durra-Bicolor	intergenic	5%	250272.80768	36929	514305572	0.486622780901934	0.0718036163916964
PI656107_PI656107	PI656107	Kafir	intergenic	5%	344433.91515	50665	514305572	0.66970675392566	0.0985114740308511
PI656108_PI656108	PI656108	Guinea	intergenic	5%	281624.25751	41755	514305572	0.547581579594475	0.0811871429617722
PI656109_PI656109	PI656109	Kafir	intergenic	5%	321453.1683	47308	514305572	0.625023693696245	0.0919842260624001
PI656110_PI656110	PI656110	Guinea	intergenic	5%	317710.2776	47024	514305572	0.617746131671309	0.0914320251618818
PI656111_PI656111	PI656111	Milo/Durra-Bicolor	intergenic	5%	252651.71783	37301	514305572	0.491248260926872	0.0725269217966007
PI656112_PI656112	PI656112	Durra	intergenic	5%	294254.78923	43373	514305572	0.572139998572677	0.0843331325992323
PI656113_PI656113	PI656113	Guinea	intergenic	5%	335266.32923	49596	514305572	0.6518815806841	0.0964329431764352
PI656114_PI656114	PI656114	Guinea	intergenic	5%	292235.42437	43130	514305572	0.568213607396033	0.0838606508428028
PI656115_PI656115	PI656115	Kafir	intergenic	5%	400613.53868	59157	514305572	0.778940693024419	0.115023058704097
PI656116_PI656116	PI656116	Milo/Durra-Bicolor	intergenic	5%	279115.64003	41304	514305572	0.542703900610278	0.0803102323767941
PI656118_PI656118	PI656118	Milo/Durra-Bicolor	intergenic	5%	257709.55497	37973	514305572	0.501082564530333	0.0738335380119117
PI656119_PI656119	PI656119	Caudatum	intergenic	5%	288157.69331	42870	514305572	0.560284992031936	0.0833551148071171
PI656120_PI656120	PI656120	Milo/Durra-Bicolor	intergenic	5%	337669.96211	49758	514305572	0.656555130827943	0.0967479310140548
PI656121_PI656121	PI656121	Milo/Durra-Bicolor	intergenic	5%	285219.5312	42293	514305572	0.554572119626968	0.0822332136817682
PI659691_PI659691	PI659691	Bicolor	intergenic	5%	300397.16119	44308	514305572	0.584083038458701	0.0861511179583332
PI659694_PI659694	PI659694	Milo/Durra-Bicolor	intergenic	5%	389579.33948	57256	514305572	0.757486134099282	0.111326812535486
PI659695_PI659695	PI659695	Guinea	intergenic	5%	313108.06205	46083	514305572	0.608797724730853	0.0896023735865728
PI659696_PI659696	PI659696	Milo/Durra-Bicolor	intergenic	5%	315308.00323	46346	514305572	0.613075222972696	0.0901137427303626
PI659753_PI659753	PI659753	Guinea	intergenic	5%	378343.8348	55713	514305572	0.735640162965219	0.108326650600628
PI152651_PI152651	PI152651	Kafir	intron	5%	5456.59546	798	57833623	0.0943498812101051	0.01379820178307
PI17548_PI17548	PI17548	Durra	intron	5%	5606.58517	820	57833623	0.0969433502376291	0.0141786033359868
PI24969_PI24969	PI24969	Guinea	intron	5%	6362.02455	925	57833623	0.110005637205195	0.0159941562021802
PI276837_PI276837	PI276837	Bicolor	intron	5%	5824.98629	857	57833623	0.100719719565209	0.014818369584074
PI329435_PI329435	PI329435	Bicolor	intron	5%	5201.26209	760	57833623	0.0899349170983115	0.0131411445553048
PI329440_PI329440	PI329440	Durra	intron	5%	5898.94941	862	57833623	0.101998614370053	0.0149048244824641
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	intron	5%	5685.74251	835	57833623	0.0983120581949362	0.0144379680311572
PI35038_PI35038	PI35038	Durra	intron	5%	6076.07739	890	57833623	0.105061330672643	0.015388971913449
PI48770_PI48770	PI48770	Durra	intron	5%	5733.8272	832	57833623	0.0991434895925507	0.0143860950921231
PI533750_PI533750	PI533750	Guinea	intron	5%	4999.87626	730	57833623	0.0864527588043378	0.0126224151649638
PI533752_PI533752	PI533752	Milo/Durra-Bicolor	intron	5%	5093.36634	741	57833623	0.0880692938777154	0.0128126159414222
PI533754_PI533754	PI533754	Guinea	intron	5%	4806.01099	703	57833623	0.0831006383604914	0.0121555587136569
PI533755_PI533755	PI533755	Kafir	intron	5%	5280.2397	772	57833623	0.0913005173478411	0.0133486363114412
PI533757_PI533757	PI533757	Milo/Durra-Bicolor	intron	5%	4878.36023	708	57833623	0.0843516275990525	0.0122420136120471
PI533758_PI533758	PI533758	Milo/Durra-Bicolor	intron	5%	4701.41571	677	57833623	0.0812920834995933	0.0117059932420281
PI533759_PI533759	PI533759	Milo/Durra-Bicolor	intron	5%	5062.36297	734	57833623	0.0875332152370949	0.0126915790836759
PI533760_PI533760	PI533760	Milo/Durra-Bicolor	intron	5%	5551.87084	812	57833623	0.0959972858695019	0.0140402754985625
PI533761_PI533761	PI533761	Milo/Durra-Bicolor	intron	5%	4728.05506	689	57833623	0.0817527039590793	0.0119134849981645
PI533762_PI533762	PI533762	Milo/Durra-Bicolor	intron	5%	5151.36081	757	57833623	0.0890720750799237	0.0130892716162707
PI533766_PI533766	PI533766	Caudatum	intron	5%	4848.33128	710	57833623	0.0838323976348499	0.0122765955714032
PI533769_PI533769	PI533769	Milo/Durra-Bicolor	intron	5%	5205.01824	758	57833623	0.0899998646116291	0.0131065625959487
PI533776_PI533776	PI533776	Caudatum	intron	5%	5108.78848	750	57833623	0.0883359577870472	0.0129682347585245
PI533785_PI533785	PI533785	Caudatum	intron	5%	5081.58547	742	57833623	0.0878655910939559	0.0128299069211002
PI533788_PI533788	PI533788	Guinea	intron	5%	5581.62774	808	57833623	0.0965118118226832	0.0139711115798504
PI533789_PI533789	PI533789	Milo/Durra-Bicolor	intron	5%	5121.75532	752	57833623	0.0885601671539755	0.0130028167178805
PI533792_PI533792	PI533792	Caudatum	intron	5%	5519.66738	803	57833623	0.0954404564970796	0.0138846566814602
PI533794_PI533794	PI533794	Bicolor	intron	5%	4986.28367	732	57833623	0.0862177296068759	0.0126569971243199
PI533799_PI533799	PI533799	Bicolor	intron	5%	5238.37948	767	57833623	0.0905767131345031	0.013262181413051
PI533800_PI533800	PI533800	Bicolor	intron	5%	5127.71088	749	57833623	0.0886631446209068	0.0129509437788464
PI533807_PI533807	PI533807	Milo/Durra-Bicolor	intron	5%	4856.02969	710	57833623	0.0839655106857131	0.0122765955714032
PI533810_PI533810	PI533810	Guinea	intron	5%	5806.78043	846	57833623	0.100404922409928	0.0146281688076156
PI533814_PI533814	PI533814	Guinea	intron	5%	5971.90745	870	57833623	0.103260130357042	0.0150431523198884
PI533821_PI533821	PI533821	Milo/Durra-Bicolor	intron	5%	4063.77862	590	57833623	0.0702667135344435	0.0102016780100392
PI533822_PI533822	PI533822	Milo/Durra-Bicolor	intron	5%	4759.63312	697	57833623	0.082298719552811	0.0120518128355887
PI533824_PI533824	PI533824	Guinea	intron	5%	4112.94158	606	57833623	0.0711167892767154	0.0104783336848878
PI533830_PI533830	PI533830	Guinea	intron	5%	5454.68541	793	57833623	0.094316854574371	0.0137117468846799
PI533831_PI533831	PI533831	Milo/Durra-Bicolor	intron	5%	5107.01403	743	57833623	0.0883052758081575	0.0128471979007782
PI533833_PI533833	PI533833	Milo/Durra-Bicolor	intron	5%	4718.23956	685	57833623	0.0815829843480496	0.0118443210794523
PI533838_PI533838	PI533838	Milo/Durra-Bicolor	intron	5%	4971.97537	727	57833623	0.0859703250823487	0.0125705422259297
PI533839_PI533839	PI533839	Caudatum	intron	5%	3343.16276	489	57833623	0.0578065593435155	0.00845528906255795
PI533841_PI533841	PI533841	Caudatum	intron	5%	5328.27373	781	57833623	0.0921310727844251	0.0135042551285435
PI533842_PI533842	PI533842	Guinea	intron	5%	5404.57084	787	57833623	0.0934503245629277	0.0136080010066117
PI533843_PI533843	PI533843	Guinea	intron	5%	5259.01917	766	57833623	0.090933593594854	0.013244890433373
PI533845_PI533845	PI533845	Caudatum	intron	5%	5536.4724	808	57833623	0.0957310317563885	0.0139711115798504
PI533852_PI533852	PI533852	Guinea	intron	5%	5010.61494	732	57833623	0.0866384411019867	0.0126569971243199
PI533855_PI533855	PI533855	Caudatum	intron	5%	4895.07535	714	57833623	0.0846406483992884	0.0123457594901153
PI533856_PI533856	PI533856	Guinea	intron	5%	5911.06867	857	57833623	0.102208168248425	0.014818369584074
PI533863_PI533863	PI533863	Milo/Durra-Bicolor	intron	5%	5604.2505	826	57833623	0.0969029815061042	0.0142823492140549
PI533866_PI533866	PI533866	Caudatum	intron	5%	5044.63216	735	57833623	0.0872266321617098	0.012708870063354
PI533869_PI533869	PI533869	Durra	intron	5%	5019.57199	729	57833623	0.0867933172715118	0.0126051241852858
PI533871_PI533871	PI533871	Caudatum	intron	5%	4908.13833	712	57833623	0.084866520121003	0.0123111775307592
PI533876_PI533876	PI533876	Milo/Durra-Bicolor	intron	5%	4951.17989	719	57833623	0.0856107508602738	0.0124322143885055
PI533877_PI533877	PI533877	Caudatum	intron	5%	5263.47042	768	57833623	0.0910105600681458	0.0132794723927291
PI533878_PI533878	PI533878	Caudatum	intron	5%	4889.59259	715	57833623	0.0845458461075489	0.0123630504697933
PI533882_PI533882	PI533882	Caudatum	intron	5%	5447.93311	800	57833623	0.0942001006922911	0.0138327837424261
PI533901_PI533901	PI533901	Milo/Durra-Bicolor	intron	5%	5391.88659	787	57833623	0.0932310014539466	0.0136080010066117
PI533902_PI533902	PI533902	Durra	intron	5%	4626.03535	678	57833623	0.0799886832267105	0.0117232842217061
PI533903_PI533903	PI533903	Caudatum	intron	5%	3822.88567	561	57833623	0.0661014384314121	0.0097002395993763
PI533910_PI533910	PI533910	Milo/Durra-Bicolor	intron	5%	4708.2969	684	57833623	0.081411066016044	0.0118270300997743
PI533911_PI533911	PI533911	Milo/Durra-Bicolor	intron	5%	5318.16886	778	57833623	0.0919563496826059	0.0134523821895094
PI533912_PI533912	PI533912	Milo/Durra-Bicolor	intron	5%	4838.91662	704	57833623	0.0836696089401143	0.012172849693335
PI533913_PI533913	PI533913	Milo/Durra-Bicolor	intron	5%	4854.56375	712	57833623	0.0839401631469638	0.0123111775307592
PI533915_PI533915	PI533915	Kafir	intron	5%	4803.41709	695	57833623	0.0830557872883046	0.0120172308762327
PI533919_PI533919	PI533919	Guinea	intron	5%	4339.04646	631	57833623	0.0750263641618994	0.0109106081768386
PI533921_PI533921	PI533921	Guinea	intron	5%	6218.50254	902	57833623	0.107524001046934	0.0155964636695854
PI533924_PI533924	PI533924	Caudatum	intron	5%	3690.6913	546	57833623	0.0638156682661918	0.00944087490420581
PI533927_PI533927	PI533927	Caudatum	intron	5%	5002.04562	730	57833623	0.0864902691640121	0.0126224151649638
PI533936_PI533936	PI533936	Durra	intron	5%	5990.28386	875	57833623	0.103577876488907	0.0151296072182785
PI533937_PI533937	PI533937	Durra	intron	5%	5904.08272	863	57833623	0.102087374328944	0.0149221154621422
PI533938_PI533938	PI533938	Durra	intron	5%	5143.11836	753	57833623	0.0889295550444765	0.0130201076975586
PI533939_PI533939	PI533939	Milo/Durra-Bicolor	intron	5%	5435.14949	786	57833623	0.0939790593786594	0.0135907100269336
PI533940_PI533940	PI533940	Durra	intron	5%	5795.2367	841	57833623	0.100205320009089	0.0145417139092254
PI533943_PI533943	PI533943	Guinea	intron	5%	6133.82809	897	57833623	0.106059896852736	0.0155100087711953
PI533948_PI533948	PI533948	Durra	intron	5%	5786.92992	844	57833623	0.100061687644919	0.0145935868482595
PI533949_PI533949	PI533949	Milo/Durra-Bicolor	intron	5%	4583.19402	667	57833623	0.0792479146603006	0.0115330834452478
PI533954_PI533954	PI533954	Durra	intron	5%	5683.70204	833	57833623	0.0982767764696326	0.0144033860718012
PI533955_PI533955	PI533955	Durra	intron	5%	5786.00929	845	57833623	0.100045769050298	0.0146108778279376
PI533956_PI533956	PI533956	Durra	intron	5%	4891.85002	716	57833623	0.0845848792838035	0.0123803414494714
PI533957_PI533957	PI533957	Caudatum	intron	5%	4723.76616	691	57833623	0.0816785446763382	0.0119480669575205
PI533961_PI533961	PI533961	Milo/Durra-Bicolor	intron	5%	5187.1578	759	57833623	0.0896910401065484	0.0131238535756268
PI533962_PI533962	PI533962	Milo/Durra-Bicolor	intron	5%	4863.95155	709	57833623	0.0841024874059853	0.0122593045917251
PI533964_PI533964	PI533964	Milo/Durra-Bicolor	intron	5%	5411.92854	792	57833623	0.0935775464041047	0.0136944559050018
PI533965_PI533965	PI533965	Milo/Durra-Bicolor	intron	5%	5590.92731	814	57833623	0.0966726104985676	0.0140748574579186
PI533967_PI533967	PI533967	Milo/Durra-Bicolor	intron	5%	5229.78527	761	57833623	0.0904281108240444	0.0131584355349828
PI533970_PI533970	PI533970	Milo/Durra-Bicolor	intron	5%	5269.92085	778	57833623	0.0911220943221904	0.0134523821895094
PI533972_PI533972	PI533972	Milo/Durra-Bicolor	intron	5%	4969.4476	724	57833623	0.085926617462648	0.0125186692868956
PI533976_PI533976	PI533976	Milo/Durra-Bicolor	intron	5%	4807.45762	701	57833623	0.0831256520104231	0.0121209767543009
PI533979_PI533979	PI533979	Durra	intron	5%	6122.76335	894	57833623	0.105868576658253	0.0154581358321612
PI533980_PI533980	PI533980	Milo/Durra-Bicolor	intron	5%	5259.63375	763	57833623	0.0909442202851445	0.0131930174943389
PI533985_PI533985	PI533985	Milo/Durra-Bicolor	intron	5%	4654.55425	682	57833623	0.0804818029470504	0.0117924481404182
PI533986_PI533986	PI533986	Milo/Durra-Bicolor	intron	5%	4777.92781	699	57833623	0.0826150526658169	0.0120863947949448
