sample	PI	Race	feature	cutoff	genetic_load	n_del	feature_bp	genetic_load_per_kb	n_del_per_kb
PI533985_PI533985	PI533985	Milo/Durra-Bicolor	downstream_2kb	5%	4732.73029	702	34254144	0.138165189297972	0.0204938707561923
PI533986_PI533986	PI533986	Milo/Durra-Bicolor	downstream_2kb	5%	4374.201	645	34254144	0.12769844723021	0.0188298385153049
PI533987_PI533987	PI533987	Milo/Durra-Bicolor	downstream_2kb	5%	4462.83403	666	34254144	0.1302859598535	0.0194429030251055
PI533989_PI533989	PI533989	Milo/Durra-Bicolor	downstream_2kb	5%	4468.50297	665	34254144	0.130451456325985	0.0194137094770198
PI533991_PI533991	PI533991	Bicolor	downstream_2kb	5%	4755.409	706	34254144	0.13882726130888	0.0206106449485353
PI533996_PI533996	PI533996	Milo/Durra-Bicolor	downstream_2kb	5%	4502.49878	666	34254144	0.131443914639934	0.0194429030251055
PI533997_PI533997	PI533997	Durra	downstream_2kb	5%	4506.69458	662	34254144	0.131566404928992	0.0193261288327625
PI534009_PI534009	PI534009	Guinea	downstream_2kb	5%	5603.80698	832	34254144	0.163595008533858	0.024289032007339
PI534021_PI534021	PI534021	Guinea	downstream_2kb	5%	5538.33181	815	34254144	0.161683556010041	0.0237927416898814
PI534028_PI534028	PI534028	Guinea	downstream_2kb	5%	5261.43478	775	34254144	0.153599949249936	0.0226249997664516
PI534037_PI534037	PI534037	Caudatum	downstream_2kb	5%	4804.53105	711	34254144	0.140261308237625	0.020756612688964
PI534046_PI534046	PI534046	Milo/Durra-Bicolor	downstream_2kb	5%	4288.76071	631	34254144	0.125204142015635	0.0184211288421045
PI534047_PI534047	PI534047	Milo/Durra-Bicolor	downstream_2kb	5%	4689.04392	697	34254144	0.136889829154686	0.0203479030157636
PI534053_PI534053	PI534053	Kafir	downstream_2kb	5%	4903.20243	725	34254144	0.143141875914342	0.0211653223621644
PI534054_PI534054	PI534054	Durra	downstream_2kb	5%	4839.72368	718	34254144	0.141288705973794	0.0209609675255642
PI534063_PI534063	PI534063	Caudatum	downstream_2kb	5%	4976.85677	742	34254144	0.145292107430856	0.0216616126796221
PI534070_PI534070	PI534070	Caudatum	downstream_2kb	5%	4670.19877	696	34254144	0.136339672361978	0.0203187094676778
PI534075_PI534075	PI534075	Caudatum	downstream_2kb	5%	4583.32756	686	34254144	0.133803593515576	0.0200267739868204
PI534079_PI534079	PI534079	Milo/Durra-Bicolor	downstream_2kb	5%	4591.88935	688	34254144	0.134053542543641	0.0200851610829919
PI534088_PI534088	PI534088	Caudatum	downstream_2kb	5%	4939.74997	738	34254144	0.144208828280748	0.0215448384872791
PI534092_PI534092	PI534092	Caudatum	downstream_2kb	5%	5250.97623	783	34254144	0.153294627067604	0.0228585481511376
PI534096_PI534096	PI534096	Caudatum	downstream_2kb	5%	2460.62133	366	34254144	0.0718342671181624	0.0106848385993823
PI534097_PI534097	PI534097	Durra	downstream_2kb	5%	5095.53848	757	34254144	0.148756847638639	0.0220995159009082
PI534099_PI534099	PI534099	Milo/Durra-Bicolor	downstream_2kb	5%	4456.42698	659	34254144	0.130098915331237	0.0192385481885053
PI534101_PI534101	PI534101	Milo/Durra-Bicolor	downstream_2kb	5%	4254.76672	632	34254144	0.124211736833943	0.0184503223901902
PI534105_PI534105	PI534105	Milo/Durra-Bicolor	downstream_2kb	5%	4322.07671	639	34254144	0.126176754263659	0.0186546772267904
PI534108_PI534108	PI534108	Milo/Durra-Bicolor	downstream_2kb	5%	4343.22803	641	34254144	0.126794236341156	0.0187130643229619
PI534112_PI534112	PI534112	Milo/Durra-Bicolor	downstream_2kb	5%	4464.72959	664	34254144	0.130341297975509	0.019384515928934
PI534114_PI534114	PI534114	Milo/Durra-Bicolor	downstream_2kb	5%	4454.7561	663	34254144	0.130050136415611	0.0193553223808483
PI534115_PI534115	PI534115	Bicolor	downstream_2kb	5%	4566.0779	679	34254144	0.133300014736903	0.0198224191502202
PI534116_PI534116	PI534116	Caudatum	downstream_2kb	5%	4329.42562	642	34254144	0.126391295021122	0.0187422578710477
PI534117_PI534117	PI534117	Caudatum	downstream_2kb	5%	4727.71437	697	34254144	0.138018756796258	0.0203479030157636
PI534123_PI534123	PI534123	Guinea	downstream_2kb	5%	4224.99627	625	34254144	0.123342631770334	0.01824596755359
PI534124_PI534124	PI534124	Caudatum	downstream_2kb	5%	3792.86781	561	34254144	0.110727268794106	0.0163775804761024
PI534127_PI534127	PI534127	Guinea	downstream_2kb	5%	5078.35229	759	34254144	0.148255121774463	0.0221579029970797
PI534128_PI534128	PI534128	Guinea	downstream_2kb	5%	5508.8391	821	34254144	0.160822559162477	0.0239679029783958
PI534132_PI534132	PI534132	Guinea	downstream_2kb	5%	5289.4206	786	34254144	0.154416954631825	0.0229461287953948
PI534133_PI534133	PI534133	Guinea	downstream_2kb	5%	5725.09639	849	34254144	0.167135876756985	0.0247853223247967
PI534135_PI534135	PI534135	Guinea	downstream_2kb	5%	5579.04924	828	34254144	0.162872242260674	0.0241722578149961
PI534137_PI534137	PI534137	Guinea	downstream_2kb	5%	5346.48715	792	34254144	0.156082929703338	0.0231212900839093
PI534138_PI534138	PI534138	Milo/Durra-Bicolor	downstream_2kb	5%	4289.44645	628	34254144	0.125224161199299	0.0183335481978472
PI534139_PI534139	PI534139	Kafir	downstream_2kb	5%	5413.52847	797	34254144	0.158040103702489	0.023267257824338
PI534144_PI534144	PI534144	Caudatum	downstream_2kb	5%	4798.54426	701	34254144	0.140086532595881	0.0204646772081066
PI534145_PI534145	PI534145	Caudatum	downstream_2kb	5%	4672.48808	696	34254144	0.136406505443546	0.0203187094676778
PI534148_PI534148	PI534148	Guinea	downstream_2kb	5%	5585.29532	829	34254144	0.163054587497501	0.0242014513630818
PI534155_PI534155	PI534155	Guinea	downstream_2kb	5%	4735.93772	705	34254144	0.138258825559909	0.0205814514004495
PI534157_PI534157	PI534157	Bicolor	downstream_2kb	5%	4570.32244	682	34254144	0.133423927919495	0.0199099997944774
PI534163_PI534163	PI534163	Milo/Durra-Bicolor	downstream_2kb	5%	4359.79915	653	34254144	0.127278006129711	0.0190633868999908
PI534167_PI534167	PI534167	Guinea	downstream_2kb	5%	5378.27173	804	34254144	0.157010834367953	0.0234716126609382
PI540816_PI540816	PI540816	Kafir	downstream_2kb	5%	4844.18199	718	34254144	0.14141885986116	0.0209609675255642
PI542406_PI542406	PI542406	Milo/Durra-Bicolor	downstream_2kb	5%	4087.89597	604	34254144	0.119340187569714	0.0176329030437894
PI542718_PI542718	PI542718	Guinea	downstream_2kb	5%	5635.2189	835	34254144	0.164512033930844	0.0243766126515963
PI548797_PI548797	PI548797	Milo/Durra-Bicolor	downstream_2kb	5%	4663.69772	691	34254144	0.136149883646195	0.0201727417272491
PI552856_PI552856	PI552856	Bicolor	downstream_2kb	5%	4401.99345	653	34254144	0.128509807455705	0.0190633868999908
PI552861_PI552861	PI552861	Durra	downstream_2kb	5%	4387.4051	648	34254144	0.128083921758489	0.0189174191595621
PI561071_PI561071	PI561071	Kafir	downstream_2kb	5%	4610.0512	690	34254144	0.134583751384942	0.0201435481791634
PI561072_PI561072	PI561072	Durra	downstream_2kb	5%	4889.68568	726	34254144	0.142747274023254	0.0211945159102502
PI561073_PI561073	PI561073	Durra	downstream_2kb	5%	5152.61444	762	34254144	0.150423097421439	0.0222454836413369
PI561472_PI561472	PI561472	Bicolor	downstream_2kb	5%	4552.23133	676	34254144	0.132895784229785	0.019734838505963
PI562730_PI562730	PI562730	Guinea	downstream_2kb	5%	3727.68459	556	34254144	0.108824339326652	0.0162316127356737
PI564163_PI564163	PI564163	Durra	downstream_2kb	5%	4488.22429	665	34254144	0.131027191629719	0.0194137094770198
PI564164_PI564164	PI564164	Guinea	downstream_2kb	5%	5034.11568	744	34254144	0.146963698173278	0.0217199997757936
PI564165_PI564165	PI564165	Bicolor	downstream_2kb	5%	5190.46671	770	34254144	0.151528139485839	0.0224790320260229
PI565121_PI565121	PI565121	Bicolor	downstream_2kb	5%	4427.79463	660	34254144	0.129263035444704	0.0192677417365911
PI566819_PI566819	PI566819	Durra	downstream_2kb	5%	4774.48748	706	34254144	0.139384229832163	0.0206106449485353
PI576130_PI576130	PI576130	Bicolor	downstream_2kb	5%	4697.44773	699	34254144	0.137135166186024	0.0204062901119351
PI576332_PI576332	PI576332	Durra	downstream_2kb	5%	5273.53731	780	34254144	0.15395326504145	0.0227709675068803
PI576333_PI576333	PI576333	Durra	downstream_2kb	5%	4878.97611	720	34254144	0.142434623676481	0.0210193546217357
PI576337_PI576337	PI576337	Durra	downstream_2kb	5%	4405.5177	657	34254144	0.128612692817546	0.0191801610923338
PI576339_PI576339	PI576339	Durra	downstream_2kb	5%	5114.31696	757	34254144	0.149305058097496	0.0220995159009082
PI576340_PI576340	PI576340	Durra	downstream_2kb	5%	4687.92735	693	34254144	0.1368572325147	0.0202311288234206
PI576345_PI576345	PI576345	Durra	downstream_2kb	5%	4498.57206	664	34254144	0.131329279750795	0.019384515928934
PI576347_PI576347	PI576347	Guinea	downstream_2kb	5%	4674.11681	695	34254144	0.136454053851119	0.0202895159195921
PI576348_PI576348	PI576348	Guinea	downstream_2kb	5%	3721.05235	560	34254144	0.108630720709296	0.0163483869280167
PI576349_PI576349	PI576349	Guinea	downstream_2kb	5%	3908.46515	581	34254144	0.11410196529798	0.0169614514378173
PI576350_PI576350	PI576350	Milo/Durra-Bicolor	downstream_2kb	5%	4669.98992	695	34254144	0.13633357528946	0.0202895159195921
PI576352_PI576352	PI576352	Durra	downstream_2kb	5%	4665.50537	688	34254144	0.136202655363392	0.0200851610829919
PI576359_PI576359	PI576359	Guinea	downstream_2kb	5%	5825.21555	859	34254144	0.170058710268749	0.0250772578056541
