sample	PI	Race	feature	cutoff	genetic_load	n_del
PI152651_PI152651	PI152651	Kafir	downstream_2kb	5%	4838.81225	710
PI152651_PI152651	PI152651	Kafir	exon	5%	10800.80503	1523
PI152651_PI152651	PI152651	Kafir	intergenic	5%	335909.52744	49535
PI152651_PI152651	PI152651	Kafir	intron	5%	5456.59546	798
PI152651_PI152651	PI152651	Kafir	upstream_2kb	5%	8551.16222	1274
PI17548_PI17548	PI17548	Durra	downstream_2kb	5%	5226.63902	772
PI17548_PI17548	PI17548	Durra	exon	5%	12303.15682	1733
PI17548_PI17548	PI17548	Durra	intergenic	5%	333560.53329	49357
PI17548_PI17548	PI17548	Durra	intron	5%	5606.58517	820
PI17548_PI17548	PI17548	Durra	upstream_2kb	5%	9962.15013	1484
PI24969_PI24969	PI24969	Guinea	downstream_2kb	5%	6087.99871	900
PI24969_PI24969	PI24969	Guinea	exon	5%	12863.70966	1802
PI24969_PI24969	PI24969	Guinea	intergenic	5%	447447.58935	66224
PI24969_PI24969	PI24969	Guinea	intron	5%	6362.02455	925
PI24969_PI24969	PI24969	Guinea	upstream_2kb	5%	9975.34329	1483
PI276837_PI276837	PI276837	Bicolor	downstream_2kb	5%	4843.5612	721
PI276837_PI276837	PI276837	Bicolor	exon	5%	10571.02339	1491
PI276837_PI276837	PI276837	Bicolor	intergenic	5%	412472.63209	60858
PI276837_PI276837	PI276837	Bicolor	intron	5%	5824.98629	857
PI276837_PI276837	PI276837	Bicolor	upstream_2kb	5%	8597.75463	1287
PI329435_PI329435	PI329435	Bicolor	downstream_2kb	5%	4437.20172	660
PI329435_PI329435	PI329435	Bicolor	exon	5%	9851.37935	1388
PI329435_PI329435	PI329435	Bicolor	intergenic	5%	282039.19452	41599
PI329435_PI329435	PI329435	Bicolor	intron	5%	5201.26209	760
PI329435_PI329435	PI329435	Bicolor	upstream_2kb	5%	8458.40684	1265
PI329440_PI329440	PI329440	Durra	downstream_2kb	5%	4934.90183	723
PI329440_PI329440	PI329440	Durra	exon	5%	12441.06353	1739
PI329440_PI329440	PI329440	Durra	intergenic	5%	376049.08802	55266
PI329440_PI329440	PI329440	Durra	intron	5%	5898.94941	862
PI329440_PI329440	PI329440	Durra	upstream_2kb	5%	8805.45711	1317
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	downstream_2kb	5%	4714.98478	698
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	exon	5%	11402.98814	1605
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	intergenic	5%	349290.61647	51245
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	intron	5%	5685.74251	835
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	upstream_2kb	5%	8513.50535	1274
PI35038_PI35038	PI35038	Durra	downstream_2kb	5%	5080.98597	753
PI35038_PI35038	PI35038	Durra	exon	5%	12211.3139	1720
PI35038_PI35038	PI35038	Durra	intergenic	5%	299523.58761	44223
PI35038_PI35038	PI35038	Durra	intron	5%	6076.07739	890
PI35038_PI35038	PI35038	Durra	upstream_2kb	5%	9597.72636	1432
PI48770_PI48770	PI48770	Durra	downstream_2kb	5%	4988.433	736
PI48770_PI48770	PI48770	Durra	exon	5%	12190.2584	1707
PI48770_PI48770	PI48770	Durra	intergenic	5%	300102.38034	44351
PI48770_PI48770	PI48770	Durra	intron	5%	5733.8272	832
PI48770_PI48770	PI48770	Durra	upstream_2kb	5%	9343.94928	1401
PI533750_PI533750	PI533750	Guinea	downstream_2kb	5%	5262.37669	782
PI533750_PI533750	PI533750	Guinea	exon	5%	11097.42838	1563
PI533750_PI533750	PI533750	Guinea	intergenic	5%	329384.67902	49001
PI533750_PI533750	PI533750	Guinea	intron	5%	4999.87626	730
PI533750_PI533750	PI533750	Guinea	upstream_2kb	5%	8435.19351	1263
PI533752_PI533752	PI533752	Milo/Durra-Bicolor	downstream_2kb	5%	4475.33373	669
PI533752_PI533752	PI533752	Milo/Durra-Bicolor	exon	5%	10554.1231	1487
PI533752_PI533752	PI533752	Milo/Durra-Bicolor	intergenic	5%	329400.84909	48546
PI533752_PI533752	PI533752	Milo/Durra-Bicolor	intron	5%	5093.36634	741
PI533752_PI533752	PI533752	Milo/Durra-Bicolor	upstream_2kb	5%	8609.88866	1287
PI533754_PI533754	PI533754	Guinea	downstream_2kb	5%	4729.02082	705
PI533754_PI533754	PI533754	Guinea	exon	5%	10925.63976	1543
PI533754_PI533754	PI533754	Guinea	intergenic	5%	302091.24224	44944
PI533754_PI533754	PI533754	Guinea	intron	5%	4806.01099	703
PI533754_PI533754	PI533754	Guinea	upstream_2kb	5%	7931.35232	1185
PI533755_PI533755	PI533755	Kafir	downstream_2kb	5%	4849.70307	713
PI533755_PI533755	PI533755	Kafir	exon	5%	10891.74047	1525
PI533755_PI533755	PI533755	Kafir	intergenic	5%	349826.63931	51652
PI533755_PI533755	PI533755	Kafir	intron	5%	5280.2397	772
PI533755_PI533755	PI533755	Kafir	upstream_2kb	5%	8658.07866	1292
PI533757_PI533757	PI533757	Milo/Durra-Bicolor	downstream_2kb	5%	4258.34966	635
PI533757_PI533757	PI533757	Milo/Durra-Bicolor	exon	5%	10670.06885	1502
PI533757_PI533757	PI533757	Milo/Durra-Bicolor	intergenic	5%	265869.16052	39195
PI533757_PI533757	PI533757	Milo/Durra-Bicolor	intron	5%	4878.36023	708
PI533757_PI533757	PI533757	Milo/Durra-Bicolor	upstream_2kb	5%	8098.18825	1212
PI533758_PI533758	PI533758	Milo/Durra-Bicolor	downstream_2kb	5%	4158.7986	617
PI533758_PI533758	PI533758	Milo/Durra-Bicolor	exon	5%	10772.50413	1517
PI533758_PI533758	PI533758	Milo/Durra-Bicolor	intergenic	5%	254068.64446	37447
PI533758_PI533758	PI533758	Milo/Durra-Bicolor	intron	5%	4701.41571	677
PI533758_PI533758	PI533758	Milo/Durra-Bicolor	upstream_2kb	5%	8152.23953	1222
PI533759_PI533759	PI533759	Milo/Durra-Bicolor	downstream_2kb	5%	4275.81368	638
PI533759_PI533759	PI533759	Milo/Durra-Bicolor	exon	5%	10990.69004	1543
PI533759_PI533759	PI533759	Milo/Durra-Bicolor	intergenic	5%	280891.54702	41418
PI533759_PI533759	PI533759	Milo/Durra-Bicolor	intron	5%	5062.36297	734
PI533759_PI533759	PI533759	Milo/Durra-Bicolor	upstream_2kb	5%	8215.93245	1229
PI533760_PI533760	PI533760	Milo/Durra-Bicolor	downstream_2kb	5%	4535.81257	672
PI533760_PI533760	PI533760	Milo/Durra-Bicolor	exon	5%	10778.66487	1518
PI533760_PI533760	PI533760	Milo/Durra-Bicolor	intergenic	5%	310135.68413	45637
PI533760_PI533760	PI533760	Milo/Durra-Bicolor	intron	5%	5551.87084	812
PI533760_PI533760	PI533760	Milo/Durra-Bicolor	upstream_2kb	5%	8455.24914	1263
PI533761_PI533761	PI533761	Milo/Durra-Bicolor	downstream_2kb	5%	4378.82775	652
PI533761_PI533761	PI533761	Milo/Durra-Bicolor	exon	5%	10207.0502	1447
PI533761_PI533761	PI533761	Milo/Durra-Bicolor	intergenic	5%	262140.2708	38683
PI533761_PI533761	PI533761	Milo/Durra-Bicolor	intron	5%	4728.05506	689
PI533761_PI533761	PI533761	Milo/Durra-Bicolor	upstream_2kb	5%	7973.06462	1186
PI533762_PI533762	PI533762	Milo/Durra-Bicolor	downstream_2kb	5%	4732.86789	699
PI533762_PI533762	PI533762	Milo/Durra-Bicolor	exon	5%	11384.2685	1607
PI533762_PI533762	PI533762	Milo/Durra-Bicolor	intergenic	5%	307690.11343	45583
PI533762_PI533762	PI533762	Milo/Durra-Bicolor	intron	5%	5151.36081	757
PI533762_PI533762	PI533762	Milo/Durra-Bicolor	upstream_2kb	5%	7975.88258	1191
PI533766_PI533766	PI533766	Caudatum	downstream_2kb	5%	4439.3464	665
PI533766_PI533766	PI533766	Caudatum	exon	5%	11312.59818	1606
PI533766_PI533766	PI533766	Caudatum	intergenic	5%	277132.06514	41310
PI533766_PI533766	PI533766	Caudatum	intron	5%	4848.33128	710
PI533766_PI533766	PI533766	Caudatum	upstream_2kb	5%	7722.53866	1154
PI533769_PI533769	PI533769	Milo/Durra-Bicolor	downstream_2kb	5%	4429.0661	662
PI533769_PI533769	PI533769	Milo/Durra-Bicolor	exon	5%	10643.95347	1493
PI533769_PI533769	PI533769	Milo/Durra-Bicolor	intergenic	5%	225537.30249	33310
PI533769_PI533769	PI533769	Milo/Durra-Bicolor	intron	5%	5205.01824	758
PI533769_PI533769	PI533769	Milo/Durra-Bicolor	upstream_2kb	5%	7641.7573	1144
PI533776_PI533776	PI533776	Caudatum	downstream_2kb	5%	4754.49708	710
PI533776_PI533776	PI533776	Caudatum	exon	5%	11940.10564	1689
PI533776_PI533776	PI533776	Caudatum	intergenic	5%	308269.91035	45905
PI533776_PI533776	PI533776	Caudatum	intron	5%	5108.78848	750
PI533776_PI533776	PI533776	Caudatum	upstream_2kb	5%	7828.71022	1174
PI533785_PI533785	PI533785	Caudatum	downstream_2kb	5%	4876.56354	724
PI533785_PI533785	PI533785	Caudatum	exon	5%	12209.038	1727
PI533785_PI533785	PI533785	Caudatum	intergenic	5%	288646.20606	43029
PI533785_PI533785	PI533785	Caudatum	intron	5%	5081.58547	742
PI533785_PI533785	PI533785	Caudatum	upstream_2kb	5%	7939.43303	1188
PI533788_PI533788	PI533788	Guinea	downstream_2kb	5%	5128.77755	758
PI533788_PI533788	PI533788	Guinea	exon	5%	12068.71528	1692
PI533788_PI533788	PI533788	Guinea	intergenic	5%	379265.05287	55928
PI533788_PI533788	PI533788	Guinea	intron	5%	5581.62774	808
PI533788_PI533788	PI533788	Guinea	upstream_2kb	5%	8855.75432	1323
PI533789_PI533789	PI533789	Milo/Durra-Bicolor	downstream_2kb	5%	5051.59291	742
PI533789_PI533789	PI533789	Milo/Durra-Bicolor	exon	5%	10730.844	1502
PI533789_PI533789	PI533789	Milo/Durra-Bicolor	intergenic	5%	280099.18162	41515
PI533789_PI533789	PI533789	Milo/Durra-Bicolor	intron	5%	5121.75532	752
PI533789_PI533789	PI533789	Milo/Durra-Bicolor	upstream_2kb	5%	8137.35049	1211
PI533792_PI533792	PI533792	Caudatum	downstream_2kb	5%	4780.46628	716
PI533792_PI533792	PI533792	Caudatum	exon	5%	12359.01637	1733
PI533792_PI533792	PI533792	Caudatum	intergenic	5%	367107.25887	54570
PI533792_PI533792	PI533792	Caudatum	intron	5%	5519.66738	803
PI533792_PI533792	PI533792	Caudatum	upstream_2kb	5%	8094.92278	1214
PI533794_PI533794	PI533794	Bicolor	downstream_2kb	5%	4709.08774	700
PI533794_PI533794	PI533794	Bicolor	exon	5%	10874.89335	1530
PI533794_PI533794	PI533794	Bicolor	intergenic	5%	320042.94301	47356
PI533794_PI533794	PI533794	Bicolor	intron	5%	4986.28367	732
PI533794_PI533794	PI533794	Bicolor	upstream_2kb	5%	8889.86147	1328
PI533799_PI533799	PI533799	Bicolor	downstream_2kb	5%	4419.63311	655
PI533799_PI533799	PI533799	Bicolor	exon	5%	10534.46555	1483
PI533799_PI533799	PI533799	Bicolor	intergenic	5%	319820.05496	47319
PI533799_PI533799	PI533799	Bicolor	intron	5%	5238.37948	767
PI533799_PI533799	PI533799	Bicolor	upstream_2kb	5%	8609.8736	1291
PI533800_PI533800	PI533800	Bicolor	downstream_2kb	5%	4570.99688	686
PI533800_PI533800	PI533800	Bicolor	exon	5%	11442.18317	1607
PI533800_PI533800	PI533800	Bicolor	intergenic	5%	315144.37657	46265
PI533800_PI533800	PI533800	Bicolor	intron	5%	5127.71088	749
PI533800_PI533800	PI533800	Bicolor	upstream_2kb	5%	8591.06024	1286
PI533807_PI533807	PI533807	Milo/Durra-Bicolor	downstream_2kb	5%	4352.28292	644
PI533807_PI533807	PI533807	Milo/Durra-Bicolor	exon	5%	10484.07234	1470
PI533807_PI533807	PI533807	Milo/Durra-Bicolor	intergenic	5%	262909.04406	39007
PI533807_PI533807	PI533807	Milo/Durra-Bicolor	intron	5%	4856.02969	710
PI533807_PI533807	PI533807	Milo/Durra-Bicolor	upstream_2kb	5%	7666.79069	1146
PI533810_PI533810	PI533810	Guinea	downstream_2kb	5%	5619.24869	831
PI533810_PI533810	PI533810	Guinea	exon	5%	12756.28285	1787
PI533810_PI533810	PI533810	Guinea	intergenic	5%	349187.69206	51603
PI533810_PI533810	PI533810	Guinea	intron	5%	5806.78043	846
PI533810_PI533810	PI533810	Guinea	upstream_2kb	5%	9342.13519	1394
PI533814_PI533814	PI533814	Guinea	downstream_2kb	5%	5448.32721	806
PI533814_PI533814	PI533814	Guinea	exon	5%	13086.54518	1836
PI533814_PI533814	PI533814	Guinea	intergenic	5%	347815.54145	51641
PI533814_PI533814	PI533814	Guinea	intron	5%	5971.90745	870
PI533814_PI533814	PI533814	Guinea	upstream_2kb	5%	9562.73072	1430
PI533821_PI533821	PI533821	Milo/Durra-Bicolor	downstream_2kb	5%	4585.57456	673
PI533821_PI533821	PI533821	Milo/Durra-Bicolor	exon	5%	11071.77406	1556
PI533821_PI533821	PI533821	Milo/Durra-Bicolor	intergenic	5%	233995.47381	34531
PI533821_PI533821	PI533821	Milo/Durra-Bicolor	intron	5%	4063.77862	590
PI533821_PI533821	PI533821	Milo/Durra-Bicolor	upstream_2kb	5%	7768.07581	1156
PI533822_PI533822	PI533822	Milo/Durra-Bicolor	downstream_2kb	5%	4433.75802	662
PI533822_PI533822	PI533822	Milo/Durra-Bicolor	exon	5%	11232.97196	1581
PI533822_PI533822	PI533822	Milo/Durra-Bicolor	intergenic	5%	301587.0372	44409
PI533822_PI533822	PI533822	Milo/Durra-Bicolor	intron	5%	4759.63312	697
PI533822_PI533822	PI533822	Milo/Durra-Bicolor	upstream_2kb	5%	8813.49307	1324
PI533824_PI533824	PI533824	Guinea	downstream_2kb	5%	4351.00298	650
PI533824_PI533824	PI533824	Guinea	exon	5%	10048.23797	1417
PI533824_PI533824	PI533824	Guinea	intergenic	5%	272602.65099	40399
PI533824_PI533824	PI533824	Guinea	intron	5%	4112.94158	606
PI533824_PI533824	PI533824	Guinea	upstream_2kb	5%	7637.53057	1138
PI533830_PI533830	PI533830	Guinea	downstream_2kb	5%	5314.47355	791
PI533830_PI533830	PI533830	Guinea	exon	5%	10778.25269	1520
PI533830_PI533830	PI533830	Guinea	intergenic	5%	337894.264	49868
PI533830_PI533830	PI533830	Guinea	intron	5%	5454.68541	793
PI533830_PI533830	PI533830	Guinea	upstream_2kb	5%	9197.51749	1369
PI533831_PI533831	PI533831	Milo/Durra-Bicolor	downstream_2kb	5%	4658.90543	685
PI533831_PI533831	PI533831	Milo/Durra-Bicolor	exon	5%	11490.91196	1609
PI533831_PI533831	PI533831	Milo/Durra-Bicolor	intergenic	5%	289506.23352	42647
PI533831_PI533831	PI533831	Milo/Durra-Bicolor	intron	5%	5107.01403	743
PI533831_PI533831	PI533831	Milo/Durra-Bicolor	upstream_2kb	5%	8066.32476	1204
PI533833_PI533833	PI533833	Milo/Durra-Bicolor	downstream_2kb	5%	3981.64256	586
PI533833_PI533833	PI533833	Milo/Durra-Bicolor	exon	5%	10223.79483	1445
PI533833_PI533833	PI533833	Milo/Durra-Bicolor	intergenic	5%	220935.28521	32633
PI533833_PI533833	PI533833	Milo/Durra-Bicolor	intron	5%	4718.23956	685
PI533833_PI533833	PI533833	Milo/Durra-Bicolor	upstream_2kb	5%	8133.28117	1219
PI533838_PI533838	PI533838	Milo/Durra-Bicolor	downstream_2kb	5%	4164.26443	622
PI533838_PI533838	PI533838	Milo/Durra-Bicolor	exon	5%	10868.69952	1534
PI533838_PI533838	PI533838	Milo/Durra-Bicolor	intergenic	5%	280192.37275	41524
PI533838_PI533838	PI533838	Milo/Durra-Bicolor	intron	5%	4971.97537	727
PI533838_PI533838	PI533838	Milo/Durra-Bicolor	upstream_2kb	5%	7110.60354	1072
PI533839_PI533839	PI533839	Caudatum	downstream_2kb	5%	2913.44919	432
PI533839_PI533839	PI533839	Caudatum	exon	5%	10202.8829	1456
PI533839_PI533839	PI533839	Caudatum	intergenic	5%	116151.14673	17339
PI533839_PI533839	PI533839	Caudatum	intron	5%	3343.16276	489
PI533839_PI533839	PI533839	Caudatum	upstream_2kb	5%	5155.70026	774
PI533841_PI533841	PI533841	Caudatum	downstream_2kb	5%	5037.81862	752
PI533841_PI533841	PI533841	Caudatum	exon	5%	12482.04817	1756
PI533841_PI533841	PI533841	Caudatum	intergenic	5%	337571.02382	50054
PI533841_PI533841	PI533841	Caudatum	intron	5%	5328.27373	781
PI533841_PI533841	PI533841	Caudatum	upstream_2kb	5%	8704.15499	1300
PI533842_PI533842	PI533842	Guinea	downstream_2kb	5%	5510.85353	812
PI533842_PI533842	PI533842	Guinea	exon	5%	12525.9993	1753
PI533842_PI533842	PI533842	Guinea	intergenic	5%	301085.60459	44519
PI533842_PI533842	PI533842	Guinea	intron	5%	5404.57084	787
PI533842_PI533842	PI533842	Guinea	upstream_2kb	5%	9162.96566	1371
PI533843_PI533843	PI533843	Guinea	downstream_2kb	5%	5333.33491	791
PI533843_PI533843	PI533843	Guinea	exon	5%	12706.37926	1781
PI533843_PI533843	PI533843	Guinea	intergenic	5%	298671.34132	44094
PI533843_PI533843	PI533843	Guinea	intron	5%	5259.01917	766
PI533843_PI533843	PI533843	Guinea	upstream_2kb	5%	9209.33427	1382
PI533845_PI533845	PI533845	Caudatum	downstream_2kb	5%	4920.41407	725
PI533845_PI533845	PI533845	Caudatum	exon	5%	11710.90047	1635
PI533845_PI533845	PI533845	Caudatum	intergenic	5%	333053.87852	49062
PI533845_PI533845	PI533845	Caudatum	intron	5%	5536.4724	808
PI533845_PI533845	PI533845	Caudatum	upstream_2kb	5%	8919.66883	1336
PI533852_PI533852	PI533852	Guinea	downstream_2kb	5%	5453.10454	808
PI533852_PI533852	PI533852	Guinea	exon	5%	11823.76695	1669
PI533852_PI533852	PI533852	Guinea	intergenic	5%	299007.47776	44233
PI533852_PI533852	PI533852	Guinea	intron	5%	5010.61494	732
PI533852_PI533852	PI533852	Guinea	upstream_2kb	5%	9147.41094	1363
PI533855_PI533855	PI533855	Caudatum	downstream_2kb	5%	4805.59732	708
PI533855_PI533855	PI533855	Caudatum	exon	5%	11528.94809	1625
PI533855_PI533855	PI533855	Caudatum	intergenic	5%	278649.4301	41101
PI533855_PI533855	PI533855	Caudatum	intron	5%	4895.07535	714
PI533855_PI533855	PI533855	Caudatum	upstream_2kb	5%	7898.24512	1183
PI533856_PI533856	PI533856	Guinea	downstream_2kb	5%	5493.96267	812
PI533856_PI533856	PI533856	Guinea	exon	5%	12922.5872	1812
PI533856_PI533856	PI533856	Guinea	intergenic	5%	369636.07603	54474
PI533856_PI533856	PI533856	Guinea	intron	5%	5911.06867	857
PI533856_PI533856	PI533856	Guinea	upstream_2kb	5%	9394.26883	1400
PI533863_PI533863	PI533863	Milo/Durra-Bicolor	downstream_2kb	5%	5085.47343	747
PI533863_PI533863	PI533863	Milo/Durra-Bicolor	exon	5%	11188.54415	1575
PI533863_PI533863	PI533863	Milo/Durra-Bicolor	intergenic	5%	292065.63994	43312
PI533863_PI533863	PI533863	Milo/Durra-Bicolor	intron	5%	5604.2505	826
PI533863_PI533863	PI533863	Milo/Durra-Bicolor	upstream_2kb	5%	8514.36233	1281
PI533866_PI533866	PI533866	Caudatum	downstream_2kb	5%	4667.46173	700
PI533866_PI533866	PI533866	Caudatum	exon	5%	11313.69498	1602
PI533866_PI533866	PI533866	Caudatum	intergenic	5%	319833.71443	47339
PI533866_PI533866	PI533866	Caudatum	intron	5%	5044.63216	735
PI533866_PI533866	PI533866	Caudatum	upstream_2kb	5%	8100.84256	1211
PI533869_PI533869	PI533869	Durra	downstream_2kb	5%	4577.98698	674
PI533869_PI533869	PI533869	Durra	exon	5%	11293.05969	1581
PI533869_PI533869	PI533869	Durra	intergenic	5%	279231.46693	41210
PI533869_PI533869	PI533869	Durra	intron	5%	5019.57199	729
PI533869_PI533869	PI533869	Durra	upstream_2kb	5%	8403.40919	1264
PI533871_PI533871	PI533871	Caudatum	downstream_2kb	5%	4660.38663	695
PI533871_PI533871	PI533871	Caudatum	exon	5%	12290.22206	1735
PI533871_PI533871	PI533871	Caudatum	intergenic	5%	275603.97401	40867
PI533871_PI533871	PI533871	Caudatum	intron	5%	4908.13833	712
PI533871_PI533871	PI533871	Caudatum	upstream_2kb	5%	7978.46103	1203
PI533876_PI533876	PI533876	Milo/Durra-Bicolor	downstream_2kb	5%	4603.60255	687
PI533876_PI533876	PI533876	Milo/Durra-Bicolor	exon	5%	10844.12957	1526
PI533876_PI533876	PI533876	Milo/Durra-Bicolor	intergenic	5%	281763.91149	41682
PI533876_PI533876	PI533876	Milo/Durra-Bicolor	intron	5%	4951.17989	719
PI533876_PI533876	PI533876	Milo/Durra-Bicolor	upstream_2kb	5%	7992.82849	1196
PI533877_PI533877	PI533877	Caudatum	downstream_2kb	5%	4682.8844	701
PI533877_PI533877	PI533877	Caudatum	exon	5%	11878.61564	1674
PI533877_PI533877	PI533877	Caudatum	intergenic	5%	289208.88439	42891
PI533877_PI533877	PI533877	Caudatum	intron	5%	5263.47042	768
PI533877_PI533877	PI533877	Caudatum	upstream_2kb	5%	7740.42569	1160
PI533878_PI533878	PI533878	Caudatum	downstream_2kb	5%	4946.51424	738
PI533878_PI533878	PI533878	Caudatum	exon	5%	12124.8251	1718
PI533878_PI533878	PI533878	Caudatum	intergenic	5%	294059.46604	43779
PI533878_PI533878	PI533878	Caudatum	intron	5%	4889.59259	715
PI533878_PI533878	PI533878	Caudatum	upstream_2kb	5%	7729.28964	1158
PI533882_PI533882	PI533882	Caudatum	downstream_2kb	5%	4942.25454	730
PI533882_PI533882	PI533882	Caudatum	exon	5%	11616.47362	1650
PI533882_PI533882	PI533882	Caudatum	intergenic	5%	268804.82873	39546
PI533882_PI533882	PI533882	Caudatum	intron	5%	5447.93311	800
PI533882_PI533882	PI533882	Caudatum	upstream_2kb	5%	7663.21409	1147
PI533901_PI533901	PI533901	Milo/Durra-Bicolor	downstream_2kb	5%	5198.26775	764
PI533901_PI533901	PI533901	Milo/Durra-Bicolor	exon	5%	11398.62383	1606
PI533901_PI533901	PI533901	Milo/Durra-Bicolor	intergenic	5%	306780.64354	45043
PI533901_PI533901	PI533901	Milo/Durra-Bicolor	intron	5%	5391.88659	787
PI533901_PI533901	PI533901	Milo/Durra-Bicolor	upstream_2kb	5%	9075.99126	1356
PI533902_PI533902	PI533902	Durra	downstream_2kb	5%	4514.47875	671
PI533902_PI533902	PI533902	Durra	exon	5%	12325.67632	1726
PI533902_PI533902	PI533902	Durra	intergenic	5%	319805.64771	47108
PI533902_PI533902	PI533902	Durra	intron	5%	4626.03535	678
PI533902_PI533902	PI533902	Durra	upstream_2kb	5%	8738.07231	1308
PI533903_PI533903	PI533903	Caudatum	downstream_2kb	5%	4080.08184	606
PI533903_PI533903	PI533903	Caudatum	exon	5%	9490.89271	1340
PI533903_PI533903	PI533903	Caudatum	intergenic	5%	219797.29069	32482
PI533903_PI533903	PI533903	Caudatum	intron	5%	3822.88567	561
PI533903_PI533903	PI533903	Caudatum	upstream_2kb	5%	7262.67132	1090
PI533910_PI533910	PI533910	Milo/Durra-Bicolor	downstream_2kb	5%	4253.95097	631
PI533910_PI533910	PI533910	Milo/Durra-Bicolor	exon	5%	10874.97745	1531
PI533910_PI533910	PI533910	Milo/Durra-Bicolor	intergenic	5%	265335.02314	39103
PI533910_PI533910	PI533910	Milo/Durra-Bicolor	intron	5%	4708.2969	684
PI533910_PI533910	PI533910	Milo/Durra-Bicolor	upstream_2kb	5%	7904.3269	1168
PI533911_PI533911	PI533911	Milo/Durra-Bicolor	downstream_2kb	5%	4986.50933	741
PI533911_PI533911	PI533911	Milo/Durra-Bicolor	exon	5%	10653.70108	1503
PI533911_PI533911	PI533911	Milo/Durra-Bicolor	intergenic	5%	378492.08422	56137
PI533911_PI533911	PI533911	Milo/Durra-Bicolor	intron	5%	5318.16886	778
PI533911_PI533911	PI533911	Milo/Durra-Bicolor	upstream_2kb	5%	7906.49877	1175
PI533912_PI533912	PI533912	Milo/Durra-Bicolor	downstream_2kb	5%	4859.49886	715
PI533912_PI533912	PI533912	Milo/Durra-Bicolor	exon	5%	10845.22511	1524
PI533912_PI533912	PI533912	Milo/Durra-Bicolor	intergenic	5%	241551.98458	35666
PI533912_PI533912	PI533912	Milo/Durra-Bicolor	intron	5%	4838.91662	704
PI533912_PI533912	PI533912	Milo/Durra-Bicolor	upstream_2kb	5%	8359.90801	1257
PI533913_PI533913	PI533913	Milo/Durra-Bicolor	downstream_2kb	5%	4704.63174	700
PI533913_PI533913	PI533913	Milo/Durra-Bicolor	exon	5%	10780.99053	1531
PI533913_PI533913	PI533913	Milo/Durra-Bicolor	intergenic	5%	270055.69836	39848
PI533913_PI533913	PI533913	Milo/Durra-Bicolor	intron	5%	4854.56375	712
PI533913_PI533913	PI533913	Milo/Durra-Bicolor	upstream_2kb	5%	7924.31316	1185
PI533915_PI533915	PI533915	Kafir	downstream_2kb	5%	4740.91296	701
PI533915_PI533915	PI533915	Kafir	exon	5%	11709.46242	1639
PI533915_PI533915	PI533915	Kafir	intergenic	5%	325663.87472	47795
PI533915_PI533915	PI533915	Kafir	intron	5%	4803.41709	695
PI533915_PI533915	PI533915	Kafir	upstream_2kb	5%	8047.01923	1203
PI533919_PI533919	PI533919	Guinea	downstream_2kb	5%	4896.38202	728
PI533919_PI533919	PI533919	Guinea	exon	5%	9905.80555	1406
PI533919_PI533919	PI533919	Guinea	intergenic	5%	279728.12787	41429
PI533919_PI533919	PI533919	Guinea	intron	5%	4339.04646	631
PI533919_PI533919	PI533919	Guinea	upstream_2kb	5%	7935.71782	1188
PI533921_PI533921	PI533921	Guinea	downstream_2kb	5%	5077.61552	752
PI533921_PI533921	PI533921	Guinea	exon	5%	11655.6477	1640
PI533921_PI533921	PI533921	Guinea	intergenic	5%	438264.72124	64772
PI533921_PI533921	PI533921	Guinea	intron	5%	6218.50254	902
PI533921_PI533921	PI533921	Guinea	upstream_2kb	5%	8728.39089	1306
PI533924_PI533924	PI533924	Caudatum	downstream_2kb	5%	4092.30331	605
PI533924_PI533924	PI533924	Caudatum	exon	5%	10304.05428	1459
PI533924_PI533924	PI533924	Caudatum	intergenic	5%	293267.27988	43232
PI533924_PI533924	PI533924	Caudatum	intron	5%	3690.6913	546
PI533924_PI533924	PI533924	Caudatum	upstream_2kb	5%	7118.08599	1068
PI533927_PI533927	PI533927	Caudatum	downstream_2kb	5%	4469.58858	656
PI533927_PI533927	PI533927	Caudatum	exon	5%	10943.40682	1534
PI533927_PI533927	PI533927	Caudatum	intergenic	5%	301755.03076	44588
PI533927_PI533927	PI533927	Caudatum	intron	5%	5002.04562	730
PI533927_PI533927	PI533927	Caudatum	upstream_2kb	5%	8029.7264	1210
PI533936_PI533936	PI533936	Durra	downstream_2kb	5%	4495.34511	670
PI533936_PI533936	PI533936	Durra	exon	5%	11880.54113	1672
PI533936_PI533936	PI533936	Durra	intergenic	5%	296908.63212	43810
PI533936_PI533936	PI533936	Durra	intron	5%	5990.28386	875
PI533936_PI533936	PI533936	Durra	upstream_2kb	5%	9072.6954	1352
PI533937_PI533937	PI533937	Durra	downstream_2kb	5%	4738.93268	698
PI533937_PI533937	PI533937	Durra	exon	5%	12199.77544	1713
PI533937_PI533937	PI533937	Durra	intergenic	5%	302134.80787	44581
PI533937_PI533937	PI533937	Durra	intron	5%	5904.08272	863
PI533937_PI533937	PI533937	Durra	upstream_2kb	5%	9638.8931	1441
PI533938_PI533938	PI533938	Durra	downstream_2kb	5%	4747.87095	703
PI533938_PI533938	PI533938	Durra	exon	5%	11233.22606	1586
PI533938_PI533938	PI533938	Durra	intergenic	5%	289845.9475	43028
