sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V119	improved	10%	-521105.0703575	17	521105.0703575
V120	improved	10%	-637930.0398448	17	637930.0398448
V121	improved	10%	-831121.2528648	17	831121.2528648
V122	improved	10%	-875524.4128198	17	875524.4128198
V123	improved	10%	-804831.1003498	17	804831.1003498
V124	improved	10%	-659206.4050682	17	659206.4050682
V125	improved	10%	-438369.2324794	17	438369.2324794
V126	improved	10%	-472650.5913369	17	472650.5913369
V127	improved	10%	-465841.6486861	17	465841.6486861
V128	improved	10%	-565210.4747102	17	565210.4747102
V129	improved	10%	-559605.4787308	17	559605.4787308
V130	improved	10%	-520420.8771236	17	520420.8771236
V131	improved	10%	-632512.8876856	17	632512.8876856
V132	improved	10%	-452027.3536218	17	452027.3536218
V133	improved	10%	-683108.0627995	17	683108.0627995
V134	improved	10%	-597574.4454318	17	597574.4454318
V135	improved	10%	-730175.6405594	17	730175.6405594
V136	improved	10%	-669198.771315	17	669198.771315
V137	improved	10%	-589909.0296783	17	589909.0296783
V138	improved	10%	-819066.0511239	17	819066.0511239
V139	improved	10%	-300245.6238704	17	300245.6238704
V140	improved	10%	-815477.6706093	17	815477.6706093
V141	improved	10%	-371792.2913847	17	371792.2913847
V142	improved	10%	-596375.3851751	17	596375.3851751
V143	improved	10%	-550322.7642975	17	550322.7642975
V144	improved	10%	-458978.320577	17	458978.320577
V145	improved	10%	-284675.5401161	17	284675.5401161
V146	improved	10%	-657566.98853	17	657566.98853
V147	improved	10%	-540118.6945318	17	540118.6945318
V148	improved	10%	-720838.4768969	17	720838.4768969
V149	improved	10%	-464510.0391104	17	464510.0391104
V150	improved	10%	-630189.365487	17	630189.365487
V151	improved	10%	-839145.0899891	17	839145.0899891
V152	improved	10%	-238745.7603518	17	238745.7603518
V153	improved	10%	-511026.8923983	17	511026.8923983
V154	improved	10%	-418412.887516	17	418412.887516
V155	improved	10%	-335576.9026011	17	335576.9026011
V156	improved	10%	-400596.8240446	17	400596.8240446
V157	improved	10%	-605790.4646019	17	605790.4646019
V158	improved	10%	-641876.6296731	17	641876.6296731
V159	improved	10%	-444915.8672479	17	444915.8672479
V160	improved	10%	-548817.7601452	17	548817.7601452
V161	improved	10%	-586864.8750874	17	586864.8750874
V162	improved	10%	-502945.0066228	17	502945.0066228
V163	improved	10%	-538523.1115278	17	538523.1115278
V164	improved	10%	-446799.8177252	17	446799.8177252
V165	improved	10%	-691271.779543	17	691271.779543
V166	improved	10%	-642645.5667618	17	642645.5667618
V167	improved	10%	-828148.4584179	17	828148.4584179
V168	improved	10%	-715690.3457002	17	715690.3457002
V169	improved	10%	-810833.8908969	17	810833.8908969
V170	improved	10%	-724806.5999604	17	724806.5999604
V171	improved	10%	-859682.1645849	17	859682.1645849
V172	improved	10%	-628888.755833	17	628888.755833
V173	improved	10%	-489853.3192557	17	489853.3192557
V174	improved	10%	-929974.528672	17	929974.528672
V175	improved	10%	-928590.7964276	17	928590.7964276
V176	improved	10%	-668566.1265783	17	668566.1265783
V177	improved	10%	-362347.2193011	17	362347.2193011
V178	improved	10%	-288718.961256	17	288718.961256
V179	improved	10%	-780543.2116142	17	780543.2116142
V180	improved	10%	-768797.8914797	17	768797.8914797
V181	improved	10%	-705567.5244944	17	705567.5244944
V182	improved	10%	-480118.6211675	17	480118.6211675
V183	improved	10%	-773403.1102023	17	773403.1102023
V184	improved	10%	-671970.3866111	17	671970.3866111
V185	improved	10%	-572246.8851005	17	572246.8851005
V186	improved	10%	-818465.3499827	17	818465.3499827
V187	improved	10%	-788827.9198447	17	788827.9198447
V188	improved	10%	-986458.0201427	17	986458.0201427
V189	improved	10%	-623712.014796	17	623712.014796
V190	improved	10%	-508580.1013878	17	508580.1013878
V191	improved	10%	-892317.2604854	17	892317.2604854
V192	improved	10%	-591746.4580201	17	591746.4580201
V193	improved	10%	-4304.628895	17	4304.628895
V194	improved	10%	-469178.1773929	17	469178.1773929
V195	improved	10%	-749069.2897175	17	749069.2897175
V196	improved	10%	-449302.2332481	17	449302.2332481
V197	improved	10%	-416094.0147649	17	416094.0147649
V198	improved	10%	-580810.5179166	17	580810.5179166
V199	improved	10%	-820643.0834291	17	820643.0834291
V200	improved	10%	-469267.0921433	17	469267.0921433
V201	improved	10%	-616100.6857368	17	616100.6857368
V202	improved	10%	-556283.0193622	17	556283.0193622
V203	improved	10%	-511465.2859583	17	511465.2859583
V204	improved	10%	-639537.7917146	17	639537.7917146
V205	improved	10%	-842904.5422125	17	842904.5422125
V206	improved	10%	-771914.2683166	17	771914.2683166
V207	improved	10%	-967904.3841977	17	967904.3841977
V208	improved	10%	-605319.8686789	17	605319.8686789
V209	improved	10%	-446159.617919	17	446159.617919
V210	improved	10%	-423033.2802084	17	423033.2802084
V211	improved	10%	-633301.4005032	17	633301.4005032
V212	improved	10%	-483813.3584839	17	483813.3584839
V213	improved	10%	-560660.1561967	17	560660.1561967
V214	improved	10%	-531784.7482699	17	531784.7482699
V215	improved	10%	-463830.8493108	17	463830.8493108
V216	improved	10%	-450300.4716144	17	450300.4716144
V217	improved	10%	-523396.2130921	17	523396.2130921
V218	improved	10%	-713951.6181468	17	713951.6181468
V219	improved	10%	-678451.8779719	17	678451.8779719
V220	improved	10%	-615715.1369223	17	615715.1369223
V221	improved	10%	-750965.8743758	17	750965.8743758
V222	improved	10%	-906386.2202965	17	906386.2202965
V223	improved	10%	-904081.158605	17	904081.158605
V224	improved	10%	-526885.9106116	17	526885.9106116
V225	improved	10%	-593570.2471957	17	593570.2471957
V226	improved	10%	-625093.1228502	17	625093.1228502
V227	improved	10%	-602787.0228564	17	602787.0228564
V228	improved	10%	-335015.3701563	17	335015.3701563
V229	improved	10%	-686488.0996799	17	686488.0996799
V230	improved	10%	-822381.8030279	17	822381.8030279
V231	improved	10%	-875233.3618978	17	875233.3618978
V232	improved	10%	-537546.842137	17	537546.842137
V233	improved	10%	-628000.297519	17	628000.297519
V234	improved	10%	-679500.9816827	17	679500.9816827
V235	improved	10%	-406151.073836	17	406151.073836
V236	improved	10%	-694680.9193633	17	694680.9193633
V237	improved	10%	-645439.6306749	17	645439.6306749
V238	improved	10%	-632433.1556491	17	632433.1556491
V239	improved	10%	-869519.8257797	17	869519.8257797
V240	improved	10%	-679538.5960632	17	679538.5960632
V241	improved	10%	-1003282.787705	17	1003282.787705
V242	improved	10%	-689398.5348523	17	689398.5348523
V243	improved	10%	-385219.9245654	17	385219.9245654
V244	improved	10%	-888947.8693891	17	888947.8693891
V245	improved	10%	-296523.5786689	17	296523.5786689
V246	improved	10%	-853502.8018913	17	853502.8018913
V247	improved	10%	-451621.7347047	17	451621.7347047
V248	improved	10%	-441247.1757773	17	441247.1757773
V249	improved	10%	-528151.4054254	17	528151.4054254
V250	improved	10%	-597842.7787893	17	597842.7787893
V251	improved	10%	-505694.9204935	17	505694.9204935
V252	improved	10%	-541865.5422119	17	541865.5422119
V253	improved	10%	-506602.6879321	17	506602.6879321
V254	improved	10%	-459651.9323003	17	459651.9323003
V255	improved	10%	-517857.3369338	17	517857.3369338
V256	improved	10%	-450604.4634842	17	450604.4634842
V257	improved	10%	-731549.1601224	17	731549.1601224
V258	improved	10%	-687105.5779393	17	687105.5779393
V259	improved	10%	-648649.9195049	17	648649.9195049
V260	improved	10%	-814925.4659907	17	814925.4659907
V261	improved	10%	-400822.3454691	17	400822.3454691
V262	improved	10%	-865388.4483008	17	865388.4483008
V263	improved	10%	-541761.9293635	17	541761.9293635
V264	improved	10%	-213415.0811967	17	213415.0811967
V265	improved	10%	-678571.0945802	17	678571.0945802
V266	improved	10%	-343168.111253	17	343168.111253
V267	improved	10%	-430311.0719125	17	430311.0719125
V268	improved	10%	-431505.0507264	17	431505.0507264
V269	improved	10%	-970662.3010345	17	970662.3010345
V270	improved	10%	-819457.6208375	17	819457.6208375
V271	improved	10%	-677998.1854821	17	677998.1854821
V272	improved	10%	-705323.4521662	17	705323.4521662
V273	improved	10%	-616522.681097	17	616522.681097
V274	improved	10%	-699248.6283415	17	699248.6283415
V275	improved	10%	-625517.865705	17	625517.865705
V276	improved	10%	-824025.7174906	17	824025.7174906
V277	improved	10%	-731369.9478646	17	731369.9478646
V278	improved	10%	-829335.2171389	17	829335.2171389
V279	improved	10%	-500827.0614531	17	500827.0614531
V280	improved	10%	-713650.7551004	17	713650.7551004
V281	improved	10%	-777101.6335417	17	777101.6335417
V282	improved	10%	-657404.6156671	17	657404.6156671
V283	improved	10%	-682874.7560721	17	682874.7560721
V284	improved	10%	-191430.4034266	17	191430.4034266
V285	improved	10%	-854570.5276248	17	854570.5276248
V286	improved	10%	-500790.1922204	17	500790.1922204
V287	improved	10%	-1253158.6165284	17	1253158.6165284
V288	improved	10%	-423746.2062018	17	423746.2062018
V289	improved	10%	-800682.0168268	17	800682.0168268
V290	improved	10%	-840695.5711119	17	840695.5711119
V291	improved	10%	-564715.5801625	17	564715.5801625
V292	improved	10%	-264381.6522855	17	264381.6522855
V5	improved	5%	-496552.1598099	17	496552.1598099
V6	improved	5%	-445714.9747621	17	445714.9747621
V7	improved	5%	-304960.3487371	17	304960.3487371
V8	improved	5%	-358925.5411852	17	358925.5411852
V9	improved	5%	-539957.2903452	17	539957.2903452
V10	improved	5%	-319524.1569878	17	319524.1569878
V11	improved	5%	-298361.5366739	17	298361.5366739
V12	improved	5%	-545659.2443136	17	545659.2443136
V13	improved	5%	-278792.303741	17	278792.303741
V14	improved	5%	-436014.3717132	17	436014.3717132
V15	improved	5%	-483749.8383721	17	483749.8383721
V16	improved	5%	-418932.1279581	17	418932.1279581
V17	improved	5%	-250277.1997593	17	250277.1997593
V18	improved	5%	-443280.798679	17	443280.798679
V19	improved	5%	-468556.6319258	17	468556.6319258
V20	improved	5%	-389950.7675529	17	389950.7675529
V21	improved	5%	-326434.1354363	17	326434.1354363
V22	improved	5%	-389445.4289026	17	389445.4289026
V23	improved	5%	-275320.3921573	17	275320.3921573
V24	improved	5%	-269067.0254581	17	269067.0254581
V25	improved	5%	-253533.2231209	17	253533.2231209
V26	improved	5%	-410410.0766283	17	410410.0766283
V27	improved	5%	-311397.7875365	17	311397.7875365
V28	improved	5%	-414311.7326543	17	414311.7326543
V29	improved	5%	-435110.6371857	17	435110.6371857
V30	improved	5%	-430508.0990579	17	430508.0990579
V31	improved	5%	-461012.5892076	17	461012.5892076
V32	improved	5%	-451988.7873171	17	451988.7873171
V33	improved	5%	-574590.6080004	17	574590.6080004
V34	improved	5%	-355913.8884233	17	355913.8884233
V35	improved	5%	-414450.3639906	17	414450.3639906
V36	improved	5%	-281675.4565845	17	281675.4565845
V37	improved	5%	-314381.405767	17	314381.405767
V38	improved	5%	-443367.8856544	17	443367.8856544
V39	improved	5%	-363408.4746408	17	363408.4746408
V40	improved	5%	-429359.5782844	17	429359.5782844
V41	improved	5%	-450628.1461468	17	450628.1461468
V42	improved	5%	-418120.9168382	17	418120.9168382
V43	improved	5%	-332545.9770368	17	332545.9770368
V44	improved	5%	-140183.7202501	17	140183.7202501
V45	improved	5%	-455122.5465644	17	455122.5465644
V46	improved	5%	-316551.5065901	17	316551.5065901
V47	improved	5%	-293258.5198464	17	293258.5198464
V48	improved	5%	-353652.7293156	17	353652.7293156
V49	improved	5%	-215551.6018124	17	215551.6018124
V50	improved	5%	-264591.1202294	17	264591.1202294
V51	improved	5%	-276783.8489347	17	276783.8489347
V52	improved	5%	-396425.8950994	17	396425.8950994
V53	improved	5%	-249354.3555818	17	249354.3555818
V54	improved	5%	-313291.300987	17	313291.300987
