"Cluster" "genotype"
"caudatum" "PI656014"
"caudatum" "PI656032"
"caudatum" "PI656040"
"caudatum" "PI656054"
"caudatum" "PI656078"
"caudatum" "PI656079"
"caudatum" "PI656081"
"caudatum" "PI656083"
"caudatum" "PI656093"
"caudatum" "PI656094"
"caudatum" "PI656095"
"caudatum" "PI656096"
"caudatum" "PI656104"
"caudatum" "PI656119"
"guinea" "PI34911"
"guinea" "PI533752"
"guinea" "PI533757"
"guinea" "PI533758"
"guinea" "PI533759"
"guinea" "PI533760"
"guinea" "PI533761"
"guinea" "PI533762"
"guinea" "PI533769"
"guinea" "PI533789"
"guinea" "PI533807"
"guinea" "PI533821"
"guinea" "PI533822"
"guinea" "PI533831"
"guinea" "PI533833"
"guinea" "PI533838"
"guinea" "PI533863"
"guinea" "PI533876"
"guinea" "PI533901"
"guinea" "PI533910"
"guinea" "PI533911"
"guinea" "PI533912"
"guinea" "PI533913"
"guinea" "PI533939"
"guinea" "PI533949"
"guinea" "PI533961"
"guinea" "PI533962"
"guinea" "PI533964"
"guinea" "PI533965"
"guinea" "PI533967"
"guinea" "PI533970"
"guinea" "PI533972"
"guinea" "PI533976"
"guinea" "PI533980"
"guinea" "PI533985"
"guinea" "PI533986"
"guinea" "PI533987"
"guinea" "PI533989"
"guinea" "PI533996"
"guinea" "PI534046"
"guinea" "PI534047"
"guinea" "PI534079"
"guinea" "PI534099"
"guinea" "PI534101"
"guinea" "PI534105"
"guinea" "PI534108"
"guinea" "PI534112"
"guinea" "PI534114"
"guinea" "PI534138"
"guinea" "PI534163"
"guinea" "PI542406"
"guinea" "PI548797"
"guinea" "PI576350"
"guinea" "PI576366"
"guinea" "PI576386"
"guinea" "PI576387"
"guinea" "PI576393"
"guinea" "PI576396"
"guinea" "PI576399"
"guinea" "PI576434"
"guinea" "PI576435"
"guinea" "PI576437"
"guinea" "PI595714"
"guinea" "PI595718"
"guinea" "PI595739"
"guinea" "PI595740"
"guinea" "PI595745"
"guinea" "PI597946"
"guinea" "PI597950"
"guinea" "PI597961"
"guinea" "PI597965"
"guinea" "PI597966"
"guinea" "PI597968"
"guinea" "PI597971"
"guinea" "PI597980"
"guinea" "PI597982"
"guinea" "PI607931"
"guinea" "PI629034"
"guinea" "PI642992"
"guinea" "PI651496"
"guinea" "PI653616"
"guinea" "PI653617"
"guinea" "PI656009"
"guinea" "PI656027"
"guinea" "PI656031"
"guinea" "PI656035"
"guinea" "PI656050"
"guinea" "PI656057"
"guinea" "PI656069"
"guinea" "PI656070"
"guinea" "PI656071"
"guinea" "PI656075"
"guinea" "PI656085"
"guinea" "PI656087"
"guinea" "PI656090"
"guinea" "PI656098"
"guinea" "PI656102"
