sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
V8	landrace	-201854.9483823	25307	10	201854.9483823	7.97624959032284
V9	landrace	-234085.0589702	29469	10	234085.0589702	7.94343408226272
V10	landrace	-215403.7835835	27033	10	215403.7835835	7.96817902502497
V11	landrace	-229079.1864944	28837	10	229079.1864944	7.94393267310747
V12	landrace	-239091.9233071	29974	10	239091.9233071	7.97664386825582
V13	landrace	-156192.7601429	19634	10	156192.7601429	7.95521850580116
V14	landrace	-221642.5277062	27865	10	221642.5277062	7.95415495087744
V15	landrace	-149488.9686884	18781	10	149488.9686884	7.95958514926788
V16	landrace	-134144.849236	16797	10	134144.849236	7.98623856855391
V17	landrace	-155147.3929677	19335	10	155147.3929677	8.02417341441427
V18	landrace	-208125.6484941	26133	10	208125.6484941	7.96409323438182
V19	landrace	-194870.9500968	24487	10	194870.9500968	7.95813901649038
V20	landrace	-257399.5592612	32383	10	257399.5592612	7.94860140386005
V21	landrace	-181847.8114625	22794	10	181847.8114625	7.97788064677108
V22	landrace	-215915.9728208	27062	10	215915.9728208	7.97856672902225
V23	landrace	-192220.7480988	24090	10	192220.7480988	7.97927555412204
V24	landrace	-212520.5614754	26641	10	212520.5614754	7.97719910947037
V25	landrace	-189136.305906	23702	10	189136.305906	7.97976145076365
V26	landrace	-242566.9793664	30413	10	242566.9793664	7.97576626332161
V27	landrace	-235455.7536011	29630	10	235455.7536011	7.94653235238272
V28	landrace	-255708.0086423	32150	10	255708.0086423	7.95359280380404
V29	landrace	-245265.7078274	30830	10	245265.7078274	7.95542354289329
V30	landrace	-230384.7846437	28890	10	230384.7846437	7.97455121646591
V31	landrace	-239646.6936063	30080	10	239646.6936063	7.96697784595412
V32	landrace	-261277.2458478	32845	10	261277.2458478	7.95485601606942
V33	landrace	-239032.1782971	29942	10	239032.1782971	7.98317341183288
V34	landrace	-159322.5617554	19954	10	159322.5617554	7.98449242033678
V35	landrace	-193826.3900006	24278	10	193826.3900006	7.98362262132795
V36	landrace	-140151.3360598	17492	10	140151.3360598	8.01231054538074
V37	landrace	-219470.3318034	27453	10	219470.3318034	7.99440249894001
V38	landrace	-215707.0901755	27064	10	215707.0901755	7.9702590221512
V39	landrace	-235594.2504194	29552	10	235594.2504194	7.97219309757039
V40	landrace	-206706.3445528	25959	10	206706.3445528	7.96280074551408
V41	landrace	-231610.2886801	29075	10	231610.2886801	7.96596005778504
V42	landrace	-243157.8480406	30515	10	243157.8480406	7.9684695409012
