sample	feature	feature_Mb	load_raw	n_del_alleles	load_per_Mb	n_del_per_Mb
PI655990_PI655990	intergenic	512.4847	918033.781633	150067.0	1791.338885	292.822397
PI655991_PI655991	exon	62.2529	19840.128538	3091.0	318.701995	49.652293
PI655991_PI655991	intron	57.7947	11417.434210	1853.0	197.551431	32.061740
PI655991_PI655991	upstream_2kb	50.4725	20306.559148	3389.0	402.329403	67.145514
PI655991_PI655991	downstream_2kb	33.9233	12061.641456	2004.0	355.555824	59.074370
PI655991_PI655991	intergenic	512.4847	694244.084907	113538.0	1354.663030	221.544172
PI655992_PI655992	exon	62.2529	18755.755987	2927.0	301.283172	47.017878
PI655992_PI655992	intron	57.7947	11067.856543	1796.0	191.502825	31.075491
PI655992_PI655992	upstream_2kb	50.4725	18784.349155	3135.0	372.170191	62.113068
PI655992_PI655992	downstream_2kb	33.9233	11328.177433	1892.0	333.934604	55.772808
PI655992_PI655992	intergenic	512.4847	607918.736055	99427.0	1186.218299	194.009692
PI655993_PI655993	exon	62.2529	19337.654176	3030.0	310.630496	48.672419
PI655993_PI655993	intron	57.7947	11314.578554	1839.0	195.771760	31.819503
PI655993_PI655993	upstream_2kb	50.4725	20789.717706	3479.0	411.902118	68.928664
PI655993_PI655993	downstream_2kb	33.9233	12239.574315	2044.0	360.800969	60.253499
PI655993_PI655993	intergenic	512.4847	695329.152483	113763.0	1356.780299	221.983210
PI655994_PI655994	exon	62.2529	20521.363588	3227.0	329.645018	51.836929
PI655994_PI655994	intron	57.7947	11519.243777	1876.0	199.313003	32.459700
PI655994_PI655994	upstream_2kb	50.4725	21103.046762	3527.0	418.110038	69.879678
PI655994_PI655994	downstream_2kb	33.9233	11658.546205	1943.0	343.673290	57.276198
PI655994_PI655994	intergenic	512.4847	683951.039513	111765.0	1334.578440	218.084557
PI655995_PI655995	exon	62.2529	18677.166481	2975.0	300.020749	47.788926
PI655995_PI655995	intron	57.7947	9882.998226	1610.0	171.001681	27.857205
PI655995_PI655995	upstream_2kb	50.4725	17801.430660	2981.0	352.695842	59.061899
PI655995_PI655995	downstream_2kb	33.9233	10118.339323	1687.0	298.270719	49.729772
PI655995_PI655995	intergenic	512.4847	625894.240976	102329.0	1221.293501	199.672300
PI655996_PI655996	exon	62.2529	19921.934752	3128.0	320.016090	50.246642
PI655996_PI655996	intron	57.7947	11583.643311	1890.0	200.427283	32.701936
PI655996_PI655996	upstream_2kb	50.4725	20268.035184	3387.0	401.566137	67.105888
PI655996_PI655996	downstream_2kb	33.9233	12152.116549	2030.0	358.222869	59.840804
PI655996_PI655996	intergenic	512.4847	810983.003172	132611.0	1582.453083	258.760893
PI655997_PI655997	exon	62.2529	20425.660953	3182.0	328.107698	51.114072
PI655997_PI655997	intron	57.7947	11819.749387	1927.0	204.512535	33.342133
PI655997_PI655997	upstream_2kb	50.4725	21706.850854	3627.0	430.073076	71.860956
PI655997_PI655997	downstream_2kb	33.9233	12411.921662	2064.0	365.881464	60.843064
PI655997_PI655997	intergenic	512.4847	873467.852047	142774.0	1704.378378	278.591728
PI655998_PI655998	exon	62.2529	20703.521487	3256.0	332.571112	52.302771
PI655998_PI655998	intron	57.7947	11015.488956	1798.0	190.596729	31.110096
PI655998_PI655998	upstream_2kb	50.4725	20094.474335	3347.0	398.127414	66.313377
PI655998_PI655998	downstream_2kb	33.9233	11458.234424	1910.0	337.768453	56.303417
PI655998_PI655998	intergenic	512.4847	619216.907259	101441.0	1208.264169	197.939565
PI655999_PI655999	exon	62.2529	19682.920082	3094.0	316.176676	49.700483
PI655999_PI655999	intron	57.7947	8823.602421	1450.0	152.671367	25.088787
PI655999_PI655999	upstream_2kb	50.4725	17363.395141	2917.0	344.017140	57.793881
PI655999_PI655999	downstream_2kb	33.9233	9769.212619	1639.0	287.979083	48.314817
PI655999_PI655999	intergenic	512.4847	524106.969693	85688.0	1022.678264	167.201087
PI656000_PI656000	exon	62.2529	15813.196526	2507.0	254.015354	40.271206
PI656000_PI656000	intron	57.7947	9545.440376	1556.0	165.161049	26.922864
PI656000_PI656000	upstream_2kb	50.4725	17285.235048	2886.0	342.468572	57.179685
PI656000_PI656000	downstream_2kb	33.9233	10334.582824	1729.0	304.645195	50.967857
PI656000_PI656000	intergenic	512.4847	537932.495356	88132.0	1049.655705	171.970010
PI656001_PI656001	exon	62.2529	19207.966923	3025.0	308.547264	48.592101
PI656001_PI656001	intron	57.7947	9978.309029	1629.0	172.650807	28.185955
PI656001_PI656001	upstream_2kb	50.4725	18816.599215	3151.0	372.809154	62.430072
PI656001_PI656001	downstream_2kb	33.9233	11425.522216	1917.0	336.804155	56.509764
