sample	feature	cutoff	genetic_load	n_del
PI656006_PI656006	downstream_2kb	5%	4913.809780	734.000000
PI656007_PI656007	downstream_2kb	5%	4413.322910	663.000000
PI656008_PI656008	downstream_2kb	5%	4632.262240	687.000000
PI656009_PI656009	downstream_2kb	5%	4081.711440	602.000000
PI656010_PI656010	downstream_2kb	5%	5368.902790	796.000000
PI656011_PI656011	downstream_2kb	5%	4606.130190	679.000000
PI656012_PI656012	downstream_2kb	5%	5923.997100	874.000000
PI656013_PI656013	downstream_2kb	5%	4932.001340	733.000000
PI656014_PI656014	downstream_2kb	5%	4435.183990	660.000000
PI656015_PI656015	downstream_2kb	5%	5128.711570	753.000000
PI656016_PI656016	downstream_2kb	5%	4529.789180	674.000000
PI656017_PI656017	downstream_2kb	5%	6158.366420	910.000000
PI656018_PI656018	downstream_2kb	5%	5507.933100	818.000000
PI656019_PI656019	downstream_2kb	5%	5177.317700	756.000000
PI656020_PI656020	downstream_2kb	5%	5117.493100	754.000000
PI656021_PI656021	downstream_2kb	5%	6056.576960	893.000000
PI656022_PI656022	downstream_2kb	5%	4792.482340	711.000000
PI656023_PI656023	downstream_2kb	5%	4514.111790	668.000000
PI656024_PI656024	downstream_2kb	5%	4699.097200	700.000000
PI656025_PI656025	downstream_2kb	5%	5606.455450	831.000000
PI656026_PI656026	downstream_2kb	5%	4507.100370	671.000000
PI656027_PI656027	downstream_2kb	5%	4831.123720	725.000000
PI656028_PI656028	downstream_2kb	5%	4450.832040	658.000000
PI656029_PI656029	downstream_2kb	5%	5220.093750	777.000000
PI656031_PI656031	downstream_2kb	5%	4347.018210	644.000000
PI656032_PI656032	downstream_2kb	5%	5012.041950	743.000000
PI656033_PI656033	downstream_2kb	5%	6137.683040	905.000000
PI656034_PI656034	downstream_2kb	5%	4870.128420	726.000000
PI656035_PI656035	downstream_2kb	5%	4311.969190	642.000000
PI656036_PI656036	downstream_2kb	5%	4613.734600	682.000000
PI656037_PI656037	downstream_2kb	5%	4720.113580	702.000000
PI656038_PI656038	downstream_2kb	5%	4526.874880	669.000000
PI656039_PI656039	downstream_2kb	5%	4549.134270	673.000000
PI656040_PI656040	downstream_2kb	5%	5378.238450	802.000000
PI656041_PI656041	downstream_2kb	5%	6262.818030	925.000000
PI656042_PI656042	downstream_2kb	5%	5231.772240	779.000000
PI656043_PI656043	downstream_2kb	5%	4859.486560	723.000000
PI656044_PI656044	downstream_2kb	5%	4639.732140	690.000000
PI656046_PI656046	downstream_2kb	5%	5700.306090	849.000000
PI656047_PI656047	downstream_2kb	5%	5741.827750	848.000000
PI656048_PI656048	downstream_2kb	5%	4623.691830	683.000000
PI656049_PI656049	downstream_2kb	5%	5005.521550	741.000000
PI656050_PI656050	downstream_2kb	5%	4276.185260	637.000000
PI656051_PI656051	downstream_2kb	5%	4789.865750	716.000000
PI656052_PI656052	downstream_2kb	5%	5180.792900	763.000000
PI656053_PI656053	downstream_2kb	5%	4323.375150	642.000000
PI656054_PI656054	downstream_2kb	5%	4293.680550	635.000000
PI656055_PI656055	downstream_2kb	5%	4456.069330	666.000000
PI656056_PI656056	downstream_2kb	5%	4844.120840	724.000000
PI656057_PI656057	downstream_2kb	5%	4683.980510	694.000000
PI656058_PI656058	downstream_2kb	5%	4523.779730	675.000000
PI656059_PI656059	downstream_2kb	5%	4489.769520	668.000000
PI656060_PI656060	downstream_2kb	5%	4707.746590	697.000000
PI656061_PI656061	downstream_2kb	5%	4512.139720	667.000000
PI656062_PI656062	downstream_2kb	5%	4638.693110	684.000000
PI656063_PI656063	downstream_2kb	5%	4562.820200	673.000000
PI656064_PI656064	downstream_2kb	5%	6088.996370	905.000000
PI656065_PI656065	downstream_2kb	5%	5024.499720	736.000000
PI656066_PI656066	downstream_2kb	5%	4662.642900	697.000000
PI656067_PI656067	downstream_2kb	5%	5784.818270	857.000000
PI656068_PI656068	downstream_2kb	5%	4394.564650	656.000000
PI656069_PI656069	downstream_2kb	5%	4183.416030	623.000000
PI656070_PI656070	downstream_2kb	5%	4514.250580	668.000000
PI656071_PI656071	downstream_2kb	5%	4774.794630	702.000000
PI656072_PI656072	downstream_2kb	5%	5790.922450	861.000000
PI656073_PI656073	downstream_2kb	5%	4908.891370	722.000000
PI656074_PI656074	downstream_2kb	5%	5028.494800	744.000000
PI656075_PI656075	downstream_2kb	5%	4504.441000	667.000000
PI656076_PI656076	downstream_2kb	5%	4875.524570	724.000000
PI656077_PI656077	downstream_2kb	5%	5410.038820	798.000000
PI656078_PI656078	downstream_2kb	5%	2887.059690	428.000000
PI656079_PI656079	downstream_2kb	5%	4628.332710	692.000000
PI656080_PI656080	downstream_2kb	5%	4646.603960	681.000000
PI656081_PI656081	downstream_2kb	5%	2373.629570	353.000000
PI656082_PI656082	downstream_2kb	5%	5393.608780	800.000000
PI656083_PI656083	downstream_2kb	5%	5344.782670	789.000000
PI656085_PI656085	downstream_2kb	5%	4584.602730	682.000000
PI656086_PI656086	downstream_2kb	5%	4503.117660	667.000000
PI656087_PI656087	downstream_2kb	5%	4274.982010	638.000000
PI656088_PI656088	downstream_2kb	5%	5343.736910	797.000000
PI656089_PI656089	downstream_2kb	5%	5297.693860	789.000000
PI656090_PI656090	downstream_2kb	5%	4475.321680	662.000000
PI656091_PI656091	downstream_2kb	5%	5080.795420	756.000000
PI656092_PI656092	downstream_2kb	5%	5816.152900	859.000000
PI656093_PI656093	downstream_2kb	5%	4897.141070	730.000000
PI656094_PI656094	downstream_2kb	5%	4575.004320	683.000000
PI656095_PI656095	downstream_2kb	5%	4603.066940	686.000000
PI656096_PI656096	downstream_2kb	5%	5009.341870	749.000000
PI656097_PI656097	downstream_2kb	5%	5687.450110	840.000000
PI656098_PI656098	downstream_2kb	5%	4505.250390	664.000000
PI656099_PI656099	downstream_2kb	5%	5655.523600	834.000000
PI656100_PI656100	downstream_2kb	5%	5804.519050	857.000000
PI656101_PI656101	downstream_2kb	5%	5037.042360	745.000000
PI656102_PI656102	downstream_2kb	5%	4535.895120	664.000000
PI656103_PI656103	downstream_2kb	5%	5229.993800	773.000000
PI656104_PI656104	downstream_2kb	5%	5561.525930	828.000000
PI656105_PI656105	downstream_2kb	5%	4247.489520	627.000000
PI656106_PI656106	downstream_2kb	5%	4228.687570	627.000000
PI656107_PI656107	downstream_2kb	5%	4823.570630	718.000000
PI656108_PI656108	downstream_2kb	5%	5473.357290	814.000000
PI656109_PI656109	downstream_2kb	5%	4994.401330	728.000000
PI656110_PI656110	downstream_2kb	5%	4439.458230	658.000000
PI656111_PI656111	downstream_2kb	5%	4845.926660	718.000000
PI656112_PI656112	downstream_2kb	5%	5058.039770	748.000000
PI656113_PI656113	downstream_2kb	5%	5049.335520	751.000000
PI656114_PI656114	downstream_2kb	5%	4699.826320	694.000000
PI656115_PI656115	downstream_2kb	5%	5418.114700	798.000000
PI656116_PI656116	downstream_2kb	5%	4108.440670	614.000000
PI656118_PI656118	downstream_2kb	5%	4393.860530	656.000000
PI656119_PI656119	downstream_2kb	5%	4827.144180	723.000000
PI656120_PI656120	downstream_2kb	5%	4566.225100	674.000000
PI656121_PI656121	downstream_2kb	5%	4049.275550	604.000000
PI659691_PI659691	downstream_2kb	5%	4662.698630	697.000000
PI659694_PI659694	downstream_2kb	5%	4655.236240	696.000000
PI659695_PI659695	downstream_2kb	5%	5458.387170	808.000000
PI659696_PI659696	downstream_2kb	5%	4631.549520	681.000000
