UID,geno,panicle_num,panicle_weight,panicle_avg,rachis_len,rachis_dia,DaysToBloom,PlantHeight,Treatment_Type,note
40811,PI 656038,3,179.4,59.8,25.7,0.706666667,NA,NA,LN,Short_Early
40812,PI 656112,1,80.8,80.8,25.2,1.34,64.5,80,LN,Short_Early
40813,PI 533962,3,224.8,74.93333333,19.23333333,0.975666667,69.44444444,220.5,LN,Short_Late
40814,PI 533972,3,305.9,101.9666667,23.36666667,1.356666667,72.75,108.2,LN,Short_Late
40815,PI 533755,2,186.7,93.35,28.5,1.0095,70.77777778,214.1666667,LN,Short_Late
40816,PI 533965,3,234.5,78.16666667,24.83333333,0.714333333,70.77777778,219.6666667,LN,Short_Late
40817,PI 629040,3,263.5,87.83333333,31.76666667,0.892333333,72.375,148.8333333,LN,Short_Late
40819,PI 656003,3,242.7,80.9,27.86666667,0.803666667,71.44444444,182.6666667,LN,Short_Late
40820,PI 576435,3,405,135,35.56666667,1.241,67.25,197.6,LN,Short_Late
40822,PI 656117,3,213.3,71.1,23.76666667,1.052666667,74.33333333,229,LN,Short_Late
40823,PI 656039,3,308.2,102.7333333,29.2,0.956,71.22222222,223.8333333,LN,Short_Late
40824,PI 656070,3,142.2,47.4,24.2,1.041333333,72.33333333,221.8333333,LN,Short_Late
40826,PI 533855,3,152.7,50.9,29.46666667,0.766,67.42857143,289.2,LN,Tall_Early
40827,PI 152651,3,178.9,59.63333333,19.2,0.787,55.71428571,288,LN,Tall_Early
40829,PI 576387,3,274.8,91.6,15.6,0.912333333,63.625,282.8,LN,Tall_Early
40830,check,3,455,151.6666667,36.8,1.033666667,NA,NA,LN,NA
40831,check,3,386.8,128.9333333,34,1.066333333,NA,NA,LN,NA
40832,PI 564163,3,37,12.33333333,22.03333333,0.551333333,66.63020833,477.4390244,LN,Tall_Early
40833,PI 552856,1,85.8,85.8,34.7,1.012,NA,NA,LN,Tall_Early
40834,PI 656074,3,434,144.6666667,34.5,1.106333333,67.25,339.8,LN,Tall_Early
