id	Dry
PI564164	1.13905602421269
PI564165	0.898696753472779
PI565121	0.610576713772499
PI566819	0.783254944816445
PI574455	0.794651277921976
PI576130	0.677963135270041
PI576332	0.745836696032244
PI576333	0.636711225200235
PI576337	0.699398299241559
PI576339	0.708463688310039
PI576340	0.76635851371691
PI576345	0.728731948221487
PI576347	0.761332999280444
PI576348	0.841250142571064
PI576352	0.713408960262517
PI576359	0.685615546342536
PI576364	0.6164264062353
PI576373	0.874300352046903
PI576375	0.732384225126188
PI576376	0.765136039860062
PI576380	0.899388922392552
PI576381	0.731035514650912
PI576385	0.72398177630741
PI576386	0.734947310200985
PI576390	0.606427175964185
PI576393	0.790397546840947
PI576394	0.610666094103507
PI576396	0.606797345604532
PI576399	0.717953542859694
PI576422	0.687220578650088
PI576425	0.735679419691997
PI576426	0.756064374298198
PI576428	0.730205717126459
PI576434	0.853142117356995
PI595699	0.722499110633422
PI595702	0.675944751503319
PI595714	0.754660870332323
PI595718	0.744071495233943
PI595720	0.610666094103507
PI595739	0.913502389977188
PI595740	0.638797686741535
PI595741	0.653078916348629
PI595743	0.664597766663107
PI595744	0.783330966654153
PI597945	0.782909110424293
PI597946	0.664597766663107
PI597950	0.580477843359304
PI597951	0.966911256999381
PI597952	0.776672546292901
PI597957	0.924157811039944
PI597958	0.882651552805431
PI597960	0.75993517670578
PI597961	0.684478507982418
PI597964	0.810926465714693
PI597965	0.779891954521238
PI597966	0.75585491597536
PI597968	0.790090136271313
PI597971	0.668155533654358
PI597972	0.866804430387081
PI597973	0.836632911768062
PI597976	0.723803235322495
PI597980	0.739321323319867
PI597982	0.703772115014699
PI598070	0.657175578421586
PI601816	0.794651277921976
PI607931	0.837873978106982
PI609456	0.698293061777525
PI613536	0.836778764289677
PI629034	0.774688655801927
PI629040	0.777652828417275
PI629059	0.764552407508782
PI641824	0.667390319225148
PI641836	0.706345588054643
PI641849	0.9811121718913
PI641874	1.03604702293
PI642791	0.564470519918959
PI642998	0.759152129643013
PI651496	0.790998075911046
PI653617	0.775408555988435
PI655970	0.699746647232431
PI655971	0.928927832866117
PI655972	0.654137233753991
PI655974	0.713408960262517
PI655975	0.698960793836307
PI655976	0.745116198423368
PI655977	0.867483748939818
PI655979	0.825330371946889
PI655980	0.731286884246107
PI655981	0.821009437877176
PI655982	0.789210958317366
PI655983	0.804550505329822
PI655985	0.687363829165789
PI655986	0.672024282153333
PI655987	0.668603548285932
PI655988	0.746173572473267
PI655989	0.699974811230618
PI655990	0.667770494583648
PI655991	0.591200159568759
PI655992	0.683621246823851
PI655993	0.658981684629715
PI655994	0.80719488408207
PI655995	0.795809397089438
PI655997	0.821677169935959
PI655998	0.763884631080893
PI655999	0.598085572260882
PI656002	0.685615546342536
PI656004	0.582199166571752
PI656006	0.692573321393838
PI656008	0.812120325340304
PI656009	0.795612501168223
PI656010	0.821427197025804
PI656015	0.845494839333081
PI656018	0.867312005792975
PI656019	0.661140922583597
PI656020	0.745545264138916
PI656022	0.7594110422464
PI656023	0.684058752229103
PI656024	0.72785277026754
PI656025	0.837802570344539
PI656026	0.845588874940267
PI656028	0.67566649402973
PI656029	0.730077393266472
PI656031	0.588807805259641
PI656033	0.867569644816292
PI656034	0.705565334909882
PI656036	0.705324690943305
PI656037	0.812192695253412
PI656038	0.694064605853097
PI656041	0.862873166666479
PI656043	0.82307279672565
PI656044	0.700356420625999
