id	Fresh
PI534108	0.898952509015524
PI534112	0.908886956120662
PI534114	0.907980889535299
PI534116	0.91997493697954
PI534117	0.886366537211122
PI534123	0.91799936314768
PI534124	0.964727088017538
PI534127	0.891858613160396
PI534128	0.935258860955121
PI534132	0.904080885880493
PI534133	0.91170339633482
PI534135	0.899786222087215
PI534137	0.917429344348576
PI534139	0.919823035599924
PI534144	0.904959922883621
PI534145	0.922354376682469
PI534148	0.924960732202205
PI534155	0.92016561724877
PI534157	0.929328691279419
PI534163	0.901471583457855
PI534167	0.914054647742859
PI542718	0.91379741688435
PI548797	0.885367065914215
PI552856	0.893394120781412
PI561071	0.888191347663364
PI561072	0.892407316610756
PI561073	0.934572287154136
PI561472	0.919514739897518
PI564163	0.887463828732199
PI564164	0.917724919583492
PI564165	0.937522075933837
PI565121	0.912603389641476
PI566819	0.904623456722512
PI574455	0.914443268490622
PI576130	0.894809572634786
PI576332	0.935073688178274
PI576333	0.916570840121837
PI576337	0.887491020066673
PI576339	0.905614686416214
PI576340	0.899222907445007
PI576345	0.911718441555935
PI576347	0.909249773525151
PI576348	0.88752938197572
PI576352	0.907575162839438
PI576359	0.891449289275836
PI576364	0.88376774118397
PI576373	0.902213522592242
PI576375	0.887127732656346
PI576376	0.910394253564684
PI576380	0.966867872791359
PI576381	0.896474598506711
PI576385	0.905799787494067
PI576386	0.91441468448199
PI576390	0.895520327815777
PI576393	0.884786821711236
PI576394	0.914104064797605
PI576396	0.934086312426927
PI576422	0.888116929254807
PI576425	0.919543031919888
PI576426	0.915891455410442
PI576428	0.918896979570547
PI576434	0.914459071381055
PI595699	0.914809144528368
PI595702	0.911170589157772
PI595714	0.923613685338118
PI595718	0.887638173531299
PI595720	0.914860019568974
PI595739	0.932145253093653
PI595740	0.899460119431368
PI595741	0.892021347824627
PI595743	0.907968279521593
PI595744	0.938261176219781
PI595745	0.893614021481326
PI597945	0.91083582805194
PI597946	0.889098829036429
PI597950	0.897837936765026
PI597951	0.892468043300773
PI597952	0.892690632085696
PI597958	0.882215889641678
PI597960	0.903054996055244
PI597961	0.91601027930094
PI597964	0.896889384646923
PI597965	0.911596999991809
PI597966	0.900293862487742
PI597968	0.898235735694916
PI597971	0.900325056516465
PI597972	0.912020816134103
PI597973	0.929343217099055
PI597976	0.904752866803422
PI597980	0.913705187147002
PI597982	0.903211923981147
PI598070	0.88201373835611
PI601816	0.955003535778393
PI607931	0.929144085982551
PI609456	0.884023730070086
PI613536	0.918325330200017
PI629034	0.903977097329102
PI629040	0.913543839978242
PI629059	0.919721065918304
PI641824	0.928537385436658
PI641836	0.893883936215861
PI641849	0.909464083762873
PI641874	0.924804402542663
PI642791	0.899820524784908
PI642998	0.915739466121041
PI651496	0.903423153383372
PI653617	0.900553992521142
PI655970	0.911727437285025
PI655971	0.931025521617989
PI655972	0.918340176739244
PI655973	0.90367276279859
PI655974	0.911054766928139
PI655975	0.912390816795861
PI655976	0.90271523514302
PI655977	0.910353902763262
PI655979	0.919316980047027
PI655980	0.880021691086768
PI655981	0.887667018925861
PI655982	0.910580433581285
PI655983	0.912928767217524
PI655984	0.910365063533692
PI655985	0.926153905466257
