id	leaf
PI656034	3.81006874195316
PI656036	3.83392923369677
PI656037	3.81009660300204
PI656038	3.91787408666508
PI656039	3.87828932113169
PI656041	3.92369423095551
PI656043	3.92255424774521
PI656044	3.79774116323942
PI656046	3.89207351386515
PI656047	3.64939308686024
PI656049	3.9510333880309
PI656051	3.86935821600016
PI656052	3.90349287275591
PI656053	3.88333252019681
PI656055	3.82605368891097
PI656056	3.83774658946442
PI656057	3.84886961628946
PI656058	3.87803503533913
PI656059	3.84215472236265
PI656060	3.85126956294773
PI656061	3.92056533049718
PI656062	3.90132979191385
PI656068	3.79603838346155
PI656069	3.90287512124402
PI656070	3.88900296120157
PI656071	3.88619256677805
PI656072	3.90990094766743
PI656073	3.89785416823129
PI656075	3.82489698669544
PI656076	3.84606839938059
PI656077	3.92126143392862
PI656078	3.92685513548214
PI656079	3.84707171475475
PI656080	3.76039802267869
PI656081	3.83093517194498
PI656082	3.81868064179362
PI656083	3.87180181517587
PI656084	3.82871334592059
PI656085	3.8925322807494
PI656086	3.96076464414264
PI656087	3.86716527960193
PI656088	3.8350577825109
PI656089	3.78708402152032
PI656090	3.84350886907291
PI656091	3.89429108245244
PI656092	3.85066784201217
PI656093	3.9049024095376
PI656094	3.84347086296007
PI656095	3.77593550619873
PI656096	3.91110514982529
PI656097	3.8644903743049
PI656098	3.89092922930563
PI656099	3.85022223218038
PI656101	3.88066377929341
PI656102	3.849625661887
PI656103	3.86858993511265
PI656104	3.90145022878345
PI656105	3.91630670810093
PI656106	3.78529932422785
PI656107	3.83758890286419
PI656108	3.71905246942133
PI656109	3.95291101632575
PI656110	3.7932929635216
PI656111	3.9024178311094
PI656112	3.80258953318431
PI656113	3.87922076962392
PI656117	3.78336328419321
PI656118	3.82057622808659
PI656119	3.88009349887787
PI656120	3.90179149301813
PI656121	3.88281899368766
PI659691	3.89375631126745
PI659693	3.8771638695288
PI659694	3.88384606667211
PI659695	3.89291166112683
PI659696	3.88991440025297
PI659753	3.80003247164987
