id	leaf
PI534144	5.5257764067292
PI534145	5.06492675904308
PI534148	5.13880474037885
PI534155	5.00896190982387
PI534157	5.73007228423132
PI534163	5.67429761008896
PI534167	6.02242405971773
PI542718	5.29142100585852
PI548797	5.39499990707762
PI552856	5.75505290885921
PI561071	5.96008695376809
PI561072	5.42561130629601
PI561073	5.68573687475597
PI561472	4.87226957642707
PI564163	5.27709424501391
PI564164	6.1438475554931
PI564165	5.65716452555405
PI565121	5.14873112351689
PI566819	5.37024134713426
PI574455	4.91691517201654
PI576130	4.95566556869077
PI576332	5.99300236270402
PI576333	5.75168848009969
PI576337	5.26219173536836
PI576339	5.72559094734869
PI576340	4.9490187832929
PI576345	5.80590278781635
PI576347	5.41628063138218
PI576348	5.83401837924787
PI576352	5.17214860134882
PI576359	6.49249961578981
PI576364	5.261959044348
PI576373	5.63706997167036
PI576375	4.60387086164576
PI576376	5.17906731855705
PI576380	5.7640045586327
PI576381	5.67714967368734
PI576385	5.88292937469215
PI576386	NA
PI576390	5.35842907120635
PI576393	5.60968297159852
PI576394	5.72179253802938
PI576396	5.79017804629345
PI576399	5.96008695376809
PI576422	5.40154553190652
PI576425	5.64446663779394
PI576426	5.00390753635116
PI576428	5.18174842783183
PI576434	6.15242095053658
PI595699	5.53734115485637
PI595702	5.48652866762937
PI595714	5.30338949594129
PI595718	5.57408683631601
PI595720	4.67862075627783
PI595739	5.65742725779635
PI595740	4.85869025950018
PI595741	5.62826398169506
PI595743	5.40426254257863
PI595744	5.67615107859815
PI595745	5.47949512367864
PI597945	5.88352972491356
PI597946	5.75198646982915
PI597950	4.90675457324649
PI597951	5.68188646024675
PI597952	5.87991253438287
PI597957	5.46016577869509
PI597958	5.52989558087008
PI597960	5.18217165361957
PI597961	5.52937045970333
PI597964	5.26810334572042
PI597965	5.02266254899666
PI597966	5.28835456682846
PI597968	4.87863898181498
PI597971	5.55836209479311
PI597972	5.51987252859934
PI597973	5.76171153237043
PI597976	5.37786702009817
PI597980	4.95566556869077
PI597982	6.19859518096423
PI598070	5.37038647624718
PI601816	5.26463909926706
PI607931	5.6452784354535
PI609456	5.21999350367758
PI613536	5.5499662356384
PI629034	5.64367461004985
PI629040	4.75387997953723
PI629059	5.71811040349769
PI641824	5.40396455284917
PI641836	5.59375496163795
PI641849	5.41265068629359
PI641874	5.29807962936974
PI642791	5.37008793427287
PI642998	5.7738306990156
PI651496	5.65101755860201
PI653617	5.14899280849027
PI655970	4.76152524153451
PI655971	5.90608602204362
PI655972	5.67004608975139
PI655973	5.75297794742053
PI655974	5.17214860134882
PI655975	5.07147767985115
PI655976	5.39644803019471
PI655977	5.77333523354653
PI655979	5.26463909926706
PI655980	5.29142100585852
PI655981	5.33590147942775
PI655982	5.03377478711575
PI655983	5.49740669011643
PI655984	5.80788970594561
PI655985	5.02634468352835
PI655986	5.95360848952973
PI655987	4.96171667105301
PI655988	5.63336148340687
PI655989	5.64809658288252
PI655990	5.31970174769231
PI655991	5.41398760511991
PI655992	5.65101755860201
PI655993	5.99219056504445
PI655994	5.06573855670264
PI655995	5.73496327796354
PI655997	5.18738565560132
PI655998	5.60190388577322
PI655999	4.6613554923882
PI656001	5.74417195744523
PI656002	5.79705176128877
PI656004	5.13854176938752
PI656006	5.93102518495893
PI656007	4.68848948908912
PI656008	5.74457115600516
PI656009	5.45697309603555
PI656010	5.61262471149096
PI656015	5.91094598364523
PI656018	5.29807962936974
PI656019	5.65324913060654
PI656020	5.18174842783183
PI656022	5.22636290906549
PI656023	5.49400768686871
PI656024	5.03377478711575
PI656025	5.45697309603555
PI656026	5.87335318438785
PI656028	5.8255709131383
PI656029	5.49400768686871
PI656031	5.49991929722076
PI656033	5.67427007054328
PI656034	5.28934604441984
PI656036	4.83032855222817
PI656037	5.41888132291369
