sample	PI	Race	cutoff	miss	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
PI566819_PI566819	PI566819	Durra	25%	miss50	-1278024.799944	129412	10	1278024.799944	9.87562822569779
PI576332_PI576332	PI576332	Durra	25%	miss50	-1489288.2414627	148528	10	1489288.2414627	10.0269864366497
PI576333_PI576333	PI576333	Durra	25%	miss50	-1300402.2798612	129266	10	1300402.2798612	10.0598941706342
PI576337_PI576337	PI576337	Durra	25%	miss50	-1162024.3564772	170370	10	1162024.3564772	6.82059257191524
PI576339_PI576339	PI576339	Durra	25%	miss50	-1297020.5080562	128782	10	1297020.5080562	10.0714425001646
PI576340_PI576340	PI576340	Durra	25%	miss50	-1293709.4608649	128479	10	1293709.4608649	10.069423492282
PI576345_PI576345	PI576345	Durra	25%	miss50	-1100143.7226401	109305	10	1100143.7226401	10.0648984277032
PI576352_PI576352	PI576352	Durra	25%	miss50	-1287652.8339232	127994	10	1287652.8339232	10.0602593396816
PI576364_PI576364	PI576364	Durra	25%	miss50	-1340549.8650588	133551	10	1340549.8650588	10.0377373816654
PI576373_PI576373	PI576373	Durra	25%	miss50	-1118207.8833192	111520	10	1118207.8833192	10.0269716940387
PI576394_PI576394	PI576394	Durra	25%	miss50	-1566114.6185869	155646	10	1566114.6185869	10.0620293395712
PI576422_PI576422	PI576422	Durra	25%	miss50	-1291592.7711733	128043	10	1291592.7711733	10.0871798628063
PI595702_PI595702	PI595702	Durra	25%	miss50	-1299496.470749	128998	10	1299496.470749	10.0737722348331
PI597949_PI597949	PI597949	Durra	25%	miss50	-1295739.3237667	130086	10	1295739.3237667	9.96063622347294
PI597958_PI597958	PI597958	Durra	25%	miss50	-1400118.8073021	139667	10	1400118.8073021	10.024693072108
PI629059_PI629059	PI629059	Durra	25%	miss50	-1168006.4339945	115715	10	1168006.4339945	10.0938204553818
PI641824_PI641824	PI641824	Durra	25%	miss50	-1522847.4264058	175986	10	1522847.4264058	8.65323052064255
PI641836_PI641836	PI641836	Durra	25%	miss50	-1304663.9009716	129562	10	1304663.9009716	10.0698036536299
PI641849_PI641849	PI641849	Durra	25%	miss50	-1731707.3396345	174274	10	1731707.3396345	9.93669359534125
PI642793_PI642793	PI642793	Durra	25%	miss50	-1303618.7277542	130001	10	1303618.7277542	10.0277592307305
PI655970_PI655970	PI655970	Durra	25%	miss50	-1322323.4693137	130550	10	1322323.4693137	10.1288660996836
PI655972_PI655972	PI655972	Durra	25%	miss50	-1303612.7232904	129609	10	1303612.7232904	10.0580416737295
PI655974_PI655974	PI655974	Durra	25%	miss50	-1306816.9402217	133587	10	1306816.9402217	9.78251581532411
PI655975_PI655975	PI655975	Durra	25%	miss50	-1488443.0451547	147791	10	1488443.0451547	10.07126986863
PI655976_PI655976	PI655976	Durra	25%	miss50	-1309158.4174232	130240	10	1309158.4174232	10.0518920256695
PI655982_PI655982	PI655982	Durra	25%	miss50	-1161621.1025301	114983	10	1161621.1025301	10.1025464853944
PI655983_PI655983	PI655983	Durra	25%	miss50	-1306852.4270779	129431	10	1306852.4270779	10.0969043511825
PI655985_PI655985	PI655985	Durra	25%	miss50	-1506134.2001936	149292	10	1506134.2001936	10.0885124467058
PI655987_PI655987	PI655987	Durra	25%	miss50	-1276341.0326523	126141	10	1276341.0326523	10.1183677999405
PI655988_PI655988	PI655988	Durra	25%	miss50	-1332534.9837064	132768	10	1332534.9837064	10.0365674236744
PI655989_PI655989	PI655989	Durra	25%	miss50	-1264207.6670685	128373	10	1264207.6670685	9.84792493023065
PI655991_PI655991	PI655991	Durra	25%	miss50	-1439702.8488483	196646	10	1439702.8488483	7.32129231638732
PI655992_PI655992	PI655992	Durra	25%	miss50	-1277000.0284463	165382	10	1277000.0284463	7.72151762855873
PI655993_PI655993	PI655993	Durra	25%	miss50	-1461144.7849842	150875	10	1461144.7849842	9.68447247711152
PI655994_PI655994	PI655994	Durra	25%	miss50	-1405023.0621614	152121	10	1405023.0621614	9.23622025993386
PI656002_PI656002	PI656002	Durra	25%	miss50	-1283002.0014537	127066	10	1283002.0014537	10.09713063647
PI656003_PI656003	PI656003	Durra	25%	miss50	-1504234.4835126	149327	10	1504234.4835126	10.0734259947136
PI656005_PI656005	PI656005	Durra	25%	miss50	-1371152.9795949	136690	10	1371152.9795949	10.0311140507345
PI656006_PI656006	PI656006	Durra	25%	miss50	-1475126.6246996	148016	10	1475126.6246996	9.96599438371256
PI656007_PI656007	PI656007	Durra	25%	miss50	-1144901.2075748	119471	10	1144901.2075748	9.58308884645479
PI656018_PI656018	PI656018	Durra	25%	miss50	-1658218.0124253	164794	10	1658218.0124253	10.0623688509612
PI656019_PI656019	PI656019	Durra	25%	miss50	-1412127.5472442	142045	10	1412127.5472442	9.94140974511033
