sample	feature	feature_Mb	selected_sites_feature	callable_selected_sites	missing_genotypes_selected_sites	load_raw	n_del_alleles	burden_per_callable_site	n_del_alleles_per_callable_site	burden_per_Mb	n_del_alleles_per_Mb
PI656119_PI656119	downstream_2kb	33.923341	3170	3084	86	7179.378221	1135.0	2.32794365	0.36802853	211.63535222	33.45778943
PI656119_PI656119	intergenic	512.484706	199249	189560	9689	390574.652994	61009.0	2.06042758	0.32184533	762.11962703	119.04550377
PI656120_PI656120	exon	62.252916	5835	5805	30	13814.188969	2050.0	2.37970525	0.35314384	221.90428749	32.93018435
PI656120_PI656120	intron	57.794743	3078	3045	33	7593.444097	1170.0	2.49374190	0.38423645	131.38641515	20.24405576
PI656120_PI656120	upstream_2kb	50.472471	5342	5270	72	12297.089840	1937.0	2.33341363	0.36755218	243.63954442	38.37735624
PI656120_PI656120	downstream_2kb	33.923341	3170	3134	36	7402.126961	1171.0	2.36187842	0.37364391	218.20159050	34.51900566
PI656120_PI656120	intergenic	512.484706	199249	195674	3575	488007.680890	76119.0	2.49398326	0.38900927	952.23852571	148.52931045
PI656121_PI656121	exon	62.252916	5835	5777	58	13709.822821	2036.0	2.37317342	0.35243206	220.22780139	32.70529528
PI656121_PI656121	intron	57.794743	3078	3021	57	6161.037964	954.0	2.03940350	0.31578947	106.60204793	16.50669162
PI656121_PI656121	upstream_2kb	50.472471	5342	5195	147	11029.836791	1742.0	2.12316396	0.33532243	218.53173765	34.51386400
PI656121_PI656121	downstream_2kb	33.923341	3170	3100	70	6436.432376	1017.0	2.07626851	0.32806452	189.73462478	29.97935846
PI656121_PI656121	intergenic	512.484706	199249	189470	9779	392357.211068	61236.0	2.07081444	0.32319628	765.59789292	119.48844382
PI659691_PI659691	exon	62.252916	5835	5807	28	13699.820120	2032.0	2.35919065	0.34992251	220.06712296	32.64104126
PI659691_PI659691	intron	57.794743	3078	3054	24	7186.357061	1105.0	2.35309661	0.36182056	124.34274620	19.11938600
PI659691_PI659691	upstream_2kb	50.472471	5342	5297	45	12352.689608	1947.0	2.33201616	0.36756655	244.74113042	38.57548405
PI659691_PI659691	downstream_2kb	33.923341	3170	3138	32	6928.622678	1096.0	2.20797408	0.34926705	204.24352300	32.30813852
PI659691_PI659691	intergenic	512.484706	199249	197272	1977	429665.815285	67076.0	2.17803751	0.34001784	838.39734192	130.88390583
PI659694_PI659694	exon	62.252916	5835	5795	40	15082.317503	2237.0	2.60264323	0.38602243	242.27487597	35.93405970
PI659694_PI659694	intron	57.794743	3078	3057	21	8389.177306	1310.0	2.74425165	0.42852470	145.15467793	22.66642141
PI659694_PI659694	upstream_2kb	50.472471	5342	5272	70	13322.531005	2111.0	2.52703547	0.40041730	263.95638536	41.82478009
PI659694_PI659694	downstream_2kb	33.923341	3170	3138	32	7278.049691	1156.0	2.31932750	0.36838751	214.54401236	34.07683223
PI659694_PI659694	intergenic	512.484706	199249	195088	4161	566795.396062	88371.0	2.90533193	0.45298019	1105.97524068	172.43636535
PI659695_PI659695	exon	62.252916	5835	5765	70	15283.689029	2271.0	2.65111692	0.39392888	245.50960840	36.48021885
