"genotype"	"LN:daysToFlower"	"LN:plantHeight"	"LN:tillersPerPlant"	"LN:stemDiameterUpper"	"LN:stemDiameterLower"	"HN:daysToFlower"	"HN:extantLeafNumber"	"HN:plantHeight"	"HN:thirdLeafLength"	"HN:thirdLeafWidth"	"HN:tillersPerPlant"	"HN:stemDiameterLower"	"HN:stemDiameterUpper"	"HN:percentMoisture"	"HN:percentProtein"	"HN:percentOil"	"HN:percentAsh"	"HN:percentStarch"	"daysToFlower:NR"	"plantHeight:NR"	"tillersPerPlant:NR"	"stemDiameterUpper:NR"	"stemDiameterLower:NR"	"daysToFlower"	"plantHeight"	"tillersPerPlant"	"stemDiameterUpper"	"stemDiameterLower"
"31"	"PI 533838"	-3.15584577315817	-52.7537570176383	-0.407318512906301	1.76990340868244	7.57081709707954	0.467320464657735	-2.00476076082477	-51.5601952578355	3.66669126341882	1.71336313000141	-1.90917351923387	4.13793088546147	1.94451297769284	0.355838623476199	NA	NA	0.262133713616338	-3.4907510356736	-0.120914293969924	-0.195480226794403	0.0200496527009465	-0.0495932618530337	-0.0641771543001629	-1.46040400204778	-50.8421666173384	-1.17689018860891	1.65003046717513	5.90633782875187
"32"	"PI 533839"	11.9386185573972	-21.4312810572698	-0.0452810144798338	-0.3076146559674	1.71958094803828	15.0241113773023	NA	-25.3385173076848	0.762005044156032	-0.460905680632205	-1.01374990854234	1.45729860298854	-1.27302755129924	NA	-2.39520131967124	NA	NA	NA	-0.105152661397053	-0.187637525019359	0.222873131944303	-0.197613149448733	0.0429537098819964	12.7892510270172	-19.1856173221017	-0.521805355179827	-0.49512488053412	1.62525880984809
"33"	"PI 533841"	15.2614105847234	-56.8140837905514	-1.19450844519092	1.50279900282661	6.95126994258964	14.0814097874258	0.668631194995628	-34.1731257857609	13.0896750610457	2.39027746437358	-1.64544652062904	4.68979296353114	1.40542406852597	0.523345744598596	-3.70326007565573	2.66435370189799	-0.173745788985299	3.50180952094054	-0.151221012700884	0.0220515540665217	0.758358155350415	-0.0775343724033096	-0.0280477603012689	14.6318142086488	-43.697485547624	-1.40894064525367	1.28619956216031	5.83484800044152
"34"	"PI 533842"	22.0314613736774	-58.84449595907	-0.688306316596036	4.68512416819936	11.6261921553419	24.9146579749301	1.52504856185847	-58.2441611504359	13.0165722914797	2.30491819469629	-1.99302661176519	8.19131810676361	5.32921672876655	1.81359978343634	0.903805483154927	2.85273193579684	0.396934491220048	-0.551369781899	-0.0957930120009431	-0.214678877414363	0.123980645759289	-0.00373591406194526	-0.0570022663654007	23.1817080923992	-56.999069158639	-1.29863172668846	4.84795298066172	9.89819545915618
"35"	"PI 533845"	11.1848415365028	-59.5068577799688	-0.404231840690588	1.6546142380847	4.87353118029426	13.5903592153589	1.45355069053855	-46.4822886095825	3.45018239631494	1.0151594489591	-1.51127926965382	6.91652088268257	2.8443773477567	1.61478540002991	1.73286020772021	0.750129110650061	0.233980078845404	-4.16848980660441	-0.11453411116748	-0.0815443002064762	0.196664484381383	0.0478416120282215	0.117149149931909	12.4124349178427	-51.770052997341	-0.958671766986146	2.03631562022794	5.87121679410021
"36"	"PI 533852"	13.9316340685552	-58.5289386294766	-1.21375498670276	4.10142735555412	8.63597213258336	15.9799031295673	1.27289488849904	-59.1741880449799	-6.55988908144796	1.65437672109852	-2.33278392378639	11.4084080755682	4.98092444652931	1.25957688739416	3.57244271617958	1.70469702591982	0.69800561959569	-0.990544434593195	-0.115043779246124	-0.227312487623206	0.299939535467289	0.014474853191134	0.125895210443408	14.6937493602379	-57.0343958457015	-1.71587504683075	4.41359440868798	9.5944562198352
"37"	"PI 533855"	11.9577937673081	4.7314940982601	-0.860503552870367	0.708155027683637	4.97441257989593	13.5696354120075	-0.760254693187327	12.1274028498125	8.18819335621334	1.27034144535334	-1.54608530865611	4.49686346136704	1.02473665617914	0.693035601444532	-1.392407911525	2.27916898727816	-0.0957852720214585	2.08905590261671	-0.123164769335397	-0.0840389392395258	0.484049205803121	-0.0401052853425885	0.0308538311249496	12.7547053902226	10.8649232082936	-1.21191039252744	0.648798687773133	4.68428461562626
"38"	"PI 533856"	23.5932350514827	-49.0280979358192	-0.963533182989078	3.00882892958103	7.05438447324185	25.1511335486486	2.72124272558748	-44.012991178804	18.931761610664	2.5289994192722	-2.24634338017823	6.26769252350106	4.18328547665289	1.17481280382923	-2.00335628657767	2.64038923570389	0.22563899972586	2.51652959090145	-0.108389075962207	-0.151191625455373	0.157417873396534	0.0410043097379025	0.0189742640629627	24.3937108711101	-45.4363010587619	-1.63857142774808	3.3878325494156	6.54451495527647
"39"	"PI 533863"	11.055167458252	-16.6682177624101	-0.432388337568555	1.44203668078687	5.1137457782988	14.0952868450608	-0.473511954585061	-5.0347986099987	3.13833364226152	0.782065621837311	-0.189142423897565	7.00500229807902	2.36748801049479	0.58371196584502	-3.64395656025527	2.48260833279399	0.0162888468958895	2.02033805279875	-0.106863934000259	-0.0659837532185506	0.811021857320184	0.0227969287234538	0.111048532271242	12.1708072929107	-9.64757052448604	-0.36779204203296	1.71317445497862	5.92560874497461
"40"	"PI 533866"	7.59030256303968	-39.9030498896725	-0.905620042525136	2.89778045187798	8.51640319267317	10.0536945764848	-0.176981766683578	-33.8970864696506	20.4370537272124	2.18785383099013	-1.13130321120684	9.14426594662987	4.19458606362252	0.59224154226429	-1.22350432242933	1.92355024005171	0.267022566584171	-2.35198949810622	-0.119109307374044	-0.129999428799782	0.761919389697715	0.0519410945407082	0.0611430291240817	8.63555719249778	-34.146626403365	-1.0029772656161	3.35979058434983	8.91128443594677
"41"	"PI 533869"	12.1684616667028	-31.9931771037598	-0.704331034652977	0.385539547864354	3.67495155329373	14.326268593036	0.681258069612419	-11.705272343751	8.17468309073245	1.4484505381945	-0.120551100542014	2.61572822434639	1.17593535895393	0.483147052267985	-2.51828681701683	2.76355447742594	0.02634588138328	2.25054025374117	-0.116182840468787	-0.0021655096453883	1.1009935913698	0.0105903285302107	0.0115432308977376	13.3095531245251	-21.459802949369	-0.405207358877808	0.581795570946229	3.15153516545306
"42"	"PI 533876"	13.5821188582037	NA	-1.28479012584285	2.45715080924349	6.01116145017198	-0.258701027204352	1.85311803863226	NA	15.8604471697766	0.402342832847207	-2.40803615062972	8.27230851637915	4.51193639343061	NA	NA	0.618216239514162	0.650668681763934	NA	NA	NA	0.312556050633988	0.121894647192845	0.119943073011681	10.2063904491394	NA	-1.84703689193867	3.27281543997488	7.03113328888922
"43"	"PI 533878"	8.70037180325898	-47.8013340802026	-1.32597639042424	5.81187885803937	10.8837290290494	13.1025803084232	2.0075523838837	-33.1095074658608	0.23634676907872	1.00866180289324	-2.34638424168729	7.17289658750508	6.67040271101007	1.26236902182518	1.24129997609892	2.14113104667356	0.281813945135977	-3.33558021086475	-0.0927082221879614	-0.0563248107161032	0.400661858188144	0.0113247124270938	-0.0660303322450183	10.804183613787	-39.037305849042	-1.81379681347336	6.11394123938401	9.77550798373192
"44"	"PI 533901"	10.9264181820783	-47.6431914003808	-0.227392583461675	1.08150742304864	4.8476066861871	15.3728678370931	-0.408822483912737	-45.8780856078936	9.78737605531029	1.32758530640474	-1.07527978236827	1.98374427760986	1.38548086813803	0.0974577137854171	-0.835435871095076	1.26484284856762	0.0486446862427929	-4.42972243834917	-0.0896016106200073	-0.180395596903944	0.289695621684306	-0.0398636157539057	-0.0506837588826419	12.5620116137429	-45.076397911683	-0.668457142636289	1.13348345586271	3.71421315451735
"45"	"PI 533902"	20.1771706526834	-64.1472342581865	-1.31946012932602	2.14371773251455	8.92253915878468	19.0701725090813	-0.304560724671275	-64.7834491892302	17.18993474057	1.90813130727075	-2.33900775894789	14.0358246481896	5.80459952254247	1.56156939268076	-1.90939568417882	1.57010921924054	0.305005263260517	-4.06994797210185	-0.142142370281393	-0.241786166473604	0.399335485645987	0.273454212127124	0.195121373098757	19.4339104686858	-63.006699123223	-1.83601148341443	3.59892441012128	11.0787739599673
"46"	"PI 533903"	11.8095614589378	-54.2659105837459	-1.38532790447712	4.90075797060794	10.5859094897114	14.313083835376	-0.663489931540058	-34.6842905751359	8.3092518497512	3.18124699946693	-1.86668122688998	8.46480318289544	4.61452163286325	1.53655751733823	-1.7150500688881	0.0557363793674835	0.303995330994617	NA	-0.11245504928712	-0.00990463641833429	0.849504124708046	-0.0720518041592083	-0.0211159302614908	12.8927586758985	-43.3221705168739	-1.66814611470968	4.62921114467117	9.65263332239739
"47"	"PI 533910"	7.28654472439553	-63.1608331584327	-1.17341703942972	0.428545712675896	8.77873493161482	12.6121664110556	0.0278919842933769	-44.8455084032227	6.83178607292189	1.29359032214815	-2.45181011858401	8.475341704877	1.19292283343003	0.892102697387048	-0.421402590918693	1.98312174591478	0.112171863436563	-2.49943075922503	-0.0824222741746325	-0.0251914760897514	0.182970159054532	0.00769192469524604	0.032566612996079	9.51021706080181	-52.4737327571883	-1.78845301210542	0.672415863112726	8.66513871748215
"48"	"PI 533911"	8.90242980548144	-62.1925905201083	-1.18521960234547	1.36954422687401	7.84617303758182	9.85253189259743	-1.22986008864232	-62.9486631031351	-1.2920913593407	3.09784901621505	-2.0475845086179	12.0624092091247	4.08680512676964	0.591328938862382	-1.34662861401932	1.93866402770384	0.279172769085443	0.145639904715836	-0.136363626488041	-0.237847798014869	0.470566703371146	0.200807362863128	0.173796382083348	9.36018084675234	-61.1032882899311	-1.62592133894789	2.56685608419002	9.93339859048909
