sample	PI	Race	cutoff	miss	Genetic_load	N_del	Abs_genetic_load
PI534097_PI534097	PI534097	Durra	1%	miss50	-95886.117534	6292	95886.117534
PI534099_PI534099	PI534099	Guinea	1%	miss50	-74612.0313544	4957	74612.0313544
PI534101_PI534101	PI534101	Guinea	1%	miss50	-69082.8564447	5842	69082.8564447
PI534105_PI534105	PI534105	Guinea	1%	miss50	-70018.1087487	4522	70018.1087487
PI534108_PI534108	PI534108	Guinea	1%	miss50	-66280.3394348	4360	66280.3394348
PI534112_PI534112	PI534112	Guinea	1%	miss50	-67317.6353826	6410	67317.6353826
PI534114_PI534114	PI534114	Guinea	1%	miss50	-76197.306252	4983	76197.306252
PI534115_PI534115	PI534115	Milo/Durra-Bicolor	1%	miss50	-76667.5187353	5033	76667.5187353
PI534116_PI534116	PI534116	Caudatum	1%	miss50	-58138.3573703	3889	58138.3573703
PI534117_PI534117	PI534117	Caudatum	1%	miss50	-63468.7245756	4170	63468.7245756
PI534123_PI534123	PI534123	Bicolor	1%	miss50	-71716.3207461	4742	71716.3207461
PI534124_PI534124	PI534124	Caudatum	1%	miss50	-62531.8512632	4208	62531.8512632
PI534127_PI534127	PI534127	Bicolor	1%	miss50	-97154.6889044	6993	97154.6889044
PI534128_PI534128	PI534128	Bicolor	1%	miss50	-98236.654189	6596	98236.654189
PI534132_PI534132	PI534132	Bicolor	1%	miss50	-86420.2752998	6905	86420.2752998
PI534133_PI534133	PI534133	Bicolor	1%	miss50	-94983.1708547	6322	94983.1708547
PI534135_PI534135	PI534135	Bicolor	1%	miss50	-86388.7127293	5682	86388.7127293
PI534137_PI534137	PI534137	Bicolor	1%	miss50	-88600.9866572	5843	88600.9866572
PI534138_PI534138	PI534138	Guinea	1%	miss50	-55738.4179126	3656	55738.4179126
PI534139_PI534139	PI534139	Kafir	1%	miss50	-95170.5005865001	6221	95170.5005865001
PI534144_PI534144	PI534144	Caudatum	1%	miss50	-79953.8455329	5737	79953.8455329
PI534145_PI534145	PI534145	Caudatum	1%	miss50	-63927.1363452	4215	63927.1363452
PI534148_PI534148	PI534148	Bicolor	1%	miss50	-81263.5107126	5370	81263.5107126
PI534155_PI534155	PI534155	Bicolor	1%	miss50	-70699.9291608	4818	70699.9291608
PI534157_PI534157	PI534157	Milo/Durra-Bicolor	1%	miss50	-83553.6083358	7189	83553.6083358
PI534163_PI534163	PI534163	Guinea	1%	miss50	-76980.6724179	5132	76980.6724179
PI534167_PI534167	PI534167	Bicolor	1%	miss50	-84012.9215838	5610	84012.9215838
PI540816_PI540816	PI540816	Kafir	1%	miss50	-90402.0178625	5936	90402.0178625
PI542406_PI542406	PI542406	Guinea	1%	miss50	-61789.302047	4109	61789.302047
PI542718_PI542718	PI542718	Bicolor	1%	miss50	-98288.8350287	6411	98288.8350287
PI548797_PI548797	PI548797	Guinea	1%	miss50	-82608.0416132	5429	82608.0416132
PI552856_PI552856	PI552856	Milo/Durra-Bicolor	1%	miss50	-76464.4223455	4946	76464.4223455
PI552861_PI552861	PI552861	Durra	1%	miss50	-68547.6602885	4438	68547.6602885
PI561071_PI561071	PI561071	Kafir	1%	miss50	-90052.9820658	5882	90052.9820658
PI561072_PI561072	PI561072	Durra	1%	miss50	-83317.7762181	5387	83317.7762181
PI561073_PI561073	PI561073	Durra	1%	miss50	-96762.9629745	6445	96762.9629745
PI561472_PI561472	PI561472	Milo/Durra-Bicolor	1%	miss50	-101659.6374224	7162	101659.6374224
PI562730_PI562730	PI562730	Bicolor	1%	miss50	-67340.5927477	4464	67340.5927477
PI564163_PI564163	PI564163	Durra	1%	miss50	-62999.433106	4152	62999.433106
PI564164_PI564164	PI564164	Bicolor	1%	miss50	-95214.4287557	6869	95214.4287557
PI564165_PI564165	PI564165	Milo/Durra-Bicolor	1%	miss50	-102027.6985815	6738	102027.6985815
PI565121_PI565121	PI565121	Milo/Durra-Bicolor	1%	miss50	-67995.9064855	4373	67995.9064855
PI566819_PI566819	PI566819	Durra	1%	miss50	-74049.1386637	4910	74049.1386637
PI576130_PI576130	PI576130	Milo/Durra-Bicolor	1%	miss50	-88648.2617136	5746	88648.2617136
PI576332_PI576332	PI576332	Durra	1%	miss50	-86644.1371925	5659	86644.1371925
PI576333_PI576333	PI576333	Durra	1%	miss50	-75755.5370804	4912	75755.5370804
PI576337_PI576337	PI576337	Durra	1%	miss50	-66862.4162184001	6362	66862.4162184001
PI576339_PI576339	PI576339	Durra	1%	miss50	-76411.9946065	4949	76411.9946065
PI576340_PI576340	PI576340	Durra	1%	miss50	-75640.1066562	4888	75640.1066562
PI576345_PI576345	PI576345	Durra	1%	miss50	-62546.7358266	4022	62546.7358266
PI576347_PI576347	PI576347	Bicolor	1%	miss50	-71827.5248281	5914	71827.5248281
PI576348_PI576348	PI576348	Bicolor	1%	miss50	-44963.7334765	3464	44963.7334765
PI576349_PI576349	PI576349	Bicolor	1%	miss50	-52397.1819703	3528	52397.1819703
PI576350_PI576350	PI576350	Guinea	1%	miss50	-62641.0720234	6081	62641.0720234
PI576352_PI576352	PI576352	Durra	1%	miss50	-75748.8322685	4917	75748.8322685
PI576359_PI576359	PI576359	Bicolor	1%	miss50	-81659.8696818	5341	81659.8696818
PI576364_PI576364	PI576364	Durra	1%	miss50	-78842.1074032	5126	78842.1074032
PI576366_PI576366	PI576366	Guinea	1%	miss50	-69514.982623	4617	69514.982623
PI576373_PI576373	PI576373	Durra	1%	miss50	-66001.8322479	4277	66001.8322479
PI576375_PI576375	PI576375	Bicolor	1%	miss50	-86179.0463521	5678	86179.0463521
PI576376_PI576376	PI576376	Bicolor	1%	miss50	-85597.5168246	7359	85597.5168246
PI576380_PI576380	PI576380	Milo/Durra-Bicolor	1%	miss50	-76217.9293031	4953	76217.9293031
PI576381_PI576381	PI576381	Bicolor	1%	miss50	-91630.7723388	6064	91630.7723388
PI576385_PI576385	PI576385	Caudatum	1%	miss50	-80896.2636798	5263	80896.2636798
PI576386_PI576386	PI576386	Guinea	1%	miss50	-66566.4622301	4323	66566.4622301
PI576387_PI576387	PI576387	Guinea	1%	miss50	-67070.362079	4343	67070.362079
PI576390_PI576390	PI576390	Bicolor	1%	miss50	-93456.6237758	6114	93456.6237758
PI576391_PI576391	PI576391	Bicolor	1%	miss50	-92908.9708054	6169	92908.9708054
PI576393_PI576393	PI576393	Guinea	1%	miss50	-63589.3184152	4580	63589.3184152
PI576394_PI576394	PI576394	Durra	1%	miss50	-91717.0435415	5971	91717.0435415
PI576396_PI576396	PI576396	Guinea	1%	miss50	-67121.7508249	4358	67121.7508249
PI576399_PI576399	PI576399	Guinea	1%	miss50	-70582.2814388	4692	70582.2814388
PI576401_PI576401	PI576401	Bicolor	1%	miss50	-98435.2731192	6472	98435.2731192
PI576418_PI576418	PI576418	Caudatum	1%	miss50	-68490.4486033001	4511	68490.4486033001
PI576422_PI576422	PI576422	Durra	1%	miss50	-75184.8527536	4842	75184.8527536
PI576425_PI576425	PI576425	Bicolor	1%	miss50	-84794.4674413001	8016	84794.4674413001
PI576426_PI576426	PI576426	Bicolor	1%	miss50	-68754.7221227	4559	68754.7221227
PI576428_PI576428	PI576428	Milo/Durra-Bicolor	1%	miss50	-87990.6369388	5724	87990.6369388
PI576434_PI576434	PI576434	Guinea	1%	miss50	-70851.6459198	4720	70851.6459198
PI576435_PI576435	PI576435	Guinea	1%	miss50	-90460.0073305	5901	90460.0073305
PI576437_PI576437	PI576437	Guinea	1%	miss50	-78145.0696884	5130	78145.0696884
PI585291_PI585291	PI585291	Milo/Durra-Bicolor	1%	miss50	-100697.149335	9697	100697.149335
PI585295_PI585295	PI585295	Caudatum	1%	miss50	-70733.4658024	4586	70733.4658024
PI595699_PI595699	PI595699	Bicolor	1%	miss50	-74412.646535	4835	74412.646535
PI595702_PI595702	PI595702	Durra	1%	miss50	-75292.5102529	4860	75292.5102529
PI595714_PI595714	PI595714	Guinea	1%	miss50	-86248.3666593	5646	86248.3666593
PI595718_PI595718	PI595718	Guinea	1%	miss50	-75249.0045084	4963	75249.0045084
PI595720_PI595720	PI595720	Bicolor	1%	miss50	-82538.2230887	5452	82538.2230887
PI595739_PI595739	PI595739	Guinea	1%	miss50	-64896.2911258	4205	64896.2911258
PI595740_PI595740	PI595740	Guinea	1%	miss50	-83428.0460599	7371	83428.0460599
PI595741_PI595741	PI595741	Caudatum	1%	miss50	-89236.1860173	5830	89236.1860173
PI595743_PI595743	PI595743	Caudatum	1%	miss50	-87350.4852869	7182	87350.4852869
PI595744_PI595744	PI595744	Kafir	1%	miss50	-60796.9406234	3934	60796.9406234
PI595745_PI595745	PI595745	Guinea	1%	miss50	-60347.6171474	3929	60347.6171474
