sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	group	Abs_genetic_load
V65	landrace	-170275.6544919	21294	10	landrace	170275.6544919
V66	landrace	-180841.8701816	22575	10	landrace	180841.8701816
V67	landrace	-354382.0622477	44532	10	landrace	354382.0622477
V68	landrace	-242465.9841681	30379	10	landrace	242465.9841681
V69	landrace	-205742.0996393	25843	10	landrace	205742.0996393
V70	landrace	-157785.89831	19764	10	landrace	157785.89831
V71	landrace	-163374.1061216	20483	10	landrace	163374.1061216
V72	landrace	-250285.7220802	31409	10	landrace	250285.7220802
V73	landrace	-248966.8263354	31202	10	landrace	248966.8263354
V74	landrace	-238215.1137565	29868	10	landrace	238215.1137565
V75	landrace	-230648.919428	28895	10	landrace	230648.919428
V76	landrace	-231314.7378119	29026	10	landrace	231314.7378119
V77	landrace	-169299.7164533	21225	10	landrace	169299.7164533
V78	landrace	-235760.4268383	29610	10	landrace	235760.4268383
V79	landrace	-238690.1993972	29956	10	landrace	238690.1993972
V80	landrace	-218551.6908691	27438	10	landrace	218551.6908691
V81	landrace	-241758.4857243	30382	10	landrace	241758.4857243
V82	landrace	-235131.5127611	29484	10	landrace	235131.5127611
V83	landrace	-217266.8675155	27288	10	landrace	217266.8675155
V84	landrace	-253201.6285129	31830	10	landrace	253201.6285129
V85	landrace	-199271.802575	24980	10	landrace	199271.802575
V86	landrace	-227895.7832345	28551	10	landrace	227895.7832345
V87	landrace	-213212.6985119	26717	10	landrace	213212.6985119
V88	landrace	-237630.98281	29768	10	landrace	237630.98281
V89	landrace	-245211.6568593	30848	10	landrace	245211.6568593
V90	landrace	-168345.7025595	21094	10	landrace	168345.7025595
V91	landrace	-236107.9499259	29729	10	landrace	236107.9499259
V92	landrace	-203456.5891591	25592	10	landrace	203456.5891591
V93	landrace	-246291.4372322	30839	10	landrace	246291.4372322
V94	landrace	-171685.5126131	21589	10	landrace	171685.5126131
V95	landrace	-153760.3535817	19290	10	landrace	153760.3535817
V96	landrace	-139288.6212804	17386	10	landrace	139288.6212804
V97	landrace	-132818.4926263	16605	10	landrace	132818.4926263
V98	landrace	-160808.8724754	20203	10	landrace	160808.8724754
V99	landrace	-185810.0825951	23383	10	landrace	185810.0825951
V100	landrace	-196764.3275894	24721	10	landrace	196764.3275894
V101	landrace	-201048.183326	25255	10	landrace	201048.183326
V102	landrace	-186817.4497042	23528	10	landrace	186817.4497042
V103	landrace	-198408.7101227	24976	10	landrace	198408.7101227
V104	landrace	-217053.9086884	27268	10	landrace	217053.9086884
V105	landrace	-180896.5180061	22678	10	landrace	180896.5180061
V5	wild	-269708.9137608	34014	10	wild	269708.9137608
V6	wild	-355276.1143394	44552	10	wild	355276.1143394
V7	wild	-291402.2976548	36554	10	wild	291402.2976548
V8	wild	-337480.8266785	42461	10	wild	337480.8266785
V9	wild	-376761.9853728	47372	10	wild	376761.9853728
V10	wild	-293371.7554574	36972	10	wild	293371.7554574
V11	wild	-322990.1516216	40597	10	wild	322990.1516216
V12	wild	-322252.9562627	40549	10	wild	322252.9562627
V13	wild	-318806.8265987	40207	10	wild	318806.8265987
V14	wild	-265438.1792008	33305	10	wild	265438.1792008
V15	wild	-225930.7221281	28382	10	wild	225930.7221281
V16	wild	-294965.8898009	37062	10	wild	294965.8898009
V17	wild	-280897.3829572	35272	10	wild	280897.3829572
V18	wild	-427158.2420785	53630	10	wild	427158.2420785
V19	wild	-269942.997979	33851	10	wild	269942.997979
V20	wild	-376447.9947389	47324	10	wild	376447.9947389
V21	wild	-393631.4587557	49493	10	wild	393631.4587557
V22	wild	-438313.4005675	55175	10	wild	438313.4005675
V23	wild	-269224.9989933	33841	10	wild	269224.9989933
V24	wild	-255011.7208454	32042	10	wild	255011.7208454
V25	wild	-230531.8499087	28973	10	wild	230531.8499087
V26	wild	-317837.8815843	39968	10	wild	317837.8815843
V27	wild	-261087.6351184	32838	10	wild	261087.6351184
V28	wild	-266262.501517	33476	10	wild	266262.501517
