"Cluster" "genotype"
"277" "milo/durra-bicolor" "PI585291"
"278" "milo/durra-bicolor" "PI597964"
"279" "milo/durra-bicolor" "PI597967"
"280" "milo/durra-bicolor" "PI601816"
"281" "milo/durra-bicolor" "PI642791"
"282" "milo/durra-bicolor" "PI651492"
"283" "milo/durra-bicolor" "PI655977"
"284" "milo/durra-bicolor" "PI656000"
"285" "milo/durra-bicolor" "PI656001"
"286" "milo/durra-bicolor" "PI656008"
"287" "milo/durra-bicolor" "PI656011"
"288" "milo/durra-bicolor" "PI656016"
"289" "milo/durra-bicolor" "PI656024"
"290" "milo/durra-bicolor" "PI656026"
"291" "milo/durra-bicolor" "PI656034"
"292" "milo/durra-bicolor" "PI656036"
"293" "milo/durra-bicolor" "PI656037"
"294" "milo/durra-bicolor" "PI656039"
"295" "milo/durra-bicolor" "PI656043"
"296" "milo/durra-bicolor" "PI656044"
"297" "milo/durra-bicolor" "PI656048"
"298" "milo/durra-bicolor" "PI656051"
"299" "milo/durra-bicolor" "PI656053"
"300" "milo/durra-bicolor" "PI656055"
"301" "milo/durra-bicolor" "PI656056"
"302" "milo/durra-bicolor" "PI656059"
"303" "milo/durra-bicolor" "PI656062"
"304" "milo/durra-bicolor" "PI656068"
"305" "milo/durra-bicolor" "PI656076"
"306" "milo/durra-bicolor" "PI659691"
"307" "mixed/bicolor" "PI24969"
"308" "mixed/bicolor" "PI533750"
"309" "mixed/bicolor" "PI533754"
"310" "mixed/bicolor" "PI533788"
"311" "mixed/bicolor" "PI533810"
"312" "mixed/bicolor" "PI533814"
"313" "mixed/bicolor" "PI533824"
"314" "mixed/bicolor" "PI533830"
"315" "mixed/bicolor" "PI533842"
"316" "mixed/bicolor" "PI533843"
"317" "mixed/bicolor" "PI533852"
"318" "mixed/bicolor" "PI533856"
"319" "mixed/bicolor" "PI533919"
"320" "mixed/bicolor" "PI533921"
"321" "mixed/bicolor" "PI533943"
"322" "mixed/bicolor" "PI534009"
"323" "mixed/bicolor" "PI534021"
"324" "mixed/bicolor" "PI534028"
"325" "mixed/bicolor" "PI534123"
"326" "mixed/bicolor" "PI534127"
"327" "mixed/bicolor" "PI534128"
"328" "mixed/bicolor" "PI534132"
"329" "mixed/bicolor" "PI534133"
"330" "mixed/bicolor" "PI534135"
"331" "mixed/bicolor" "PI534137"
"332" "mixed/bicolor" "PI534148"
"333" "mixed/bicolor" "PI534155"
"334" "mixed/bicolor" "PI534167"
"335" "mixed/bicolor" "PI542718"
"336" "mixed/bicolor" "PI562730"
"337" "mixed/bicolor" "PI564164"
"338" "mixed/bicolor" "PI576347"
"339" "mixed/bicolor" "PI576348"
"340" "mixed/bicolor" "PI576349"
"341" "mixed/bicolor" "PI576359"
"342" "mixed/bicolor" "PI576375"
"343" "mixed/bicolor" "PI576376"
"344" "mixed/bicolor" "PI576381"
"345" "mixed/bicolor" "PI576390"
"346" "mixed/bicolor" "PI576391"
"347" "mixed/bicolor" "PI576401"
"348" "mixed/bicolor" "PI576425"
"349" "mixed/bicolor" "PI576426"
"350" "mixed/bicolor" "PI595699"
"351" "mixed/bicolor" "PI595720"
"352" "mixed/bicolor" "PI597945"
"353" "mixed/bicolor" "PI597952"
"354" "mixed/bicolor" "PI597957"
"355" "mixed/bicolor" "PI597972"
"356" "mixed/bicolor" "PI597973"
"357" "mixed/bicolor" "PI598069"
"358" "mixed/bicolor" "PI598070"
"359" "mixed/bicolor" "PI613536"
"360" "mixed/bicolor" "PI629040"
"361" "mixed/bicolor" "PI641874"
"362" "mixed/bicolor" "PI642998"
"363" "mixed/bicolor" "PI655971"
"364" "mixed/bicolor" "PI655980"
"365" "mixed/bicolor" "PI655986"
"366" "mixed/bicolor" "PI655990"
"367" "mixed/bicolor" "PI655995"
"368" "mixed/bicolor" "PI655997"
"369" "mixed/bicolor" "PI655999"
"370" "mixed/bicolor" "PI656012"
"371" "mixed/bicolor" "PI656013"
"372" "mixed/bicolor" "PI656017"
"373" "mixed/bicolor" "PI656021"
"374" "mixed/bicolor" "PI656025"
"375" "mixed/bicolor" "PI656029"
"376" "mixed/bicolor" "PI656033"
"377" "mixed/bicolor" "PI656041"
"378" "mixed/bicolor" "PI656046"
"379" "mixed/bicolor" "PI656047"
"380" "mixed/bicolor" "PI656064"
"381" "mixed/bicolor" "PI656066"
"382" "mixed/bicolor" "PI656067"
"383" "mixed/bicolor" "PI656072"
"384" "mixed/bicolor" "PI656077"
"385" "mixed/bicolor" "PI656082"
"386" "mixed/bicolor" "PI656086"
"387" "mixed/bicolor" "PI656088"
"388" "mixed/bicolor" "PI656089"
"389" "mixed/bicolor" "PI656091"
"390" "mixed/bicolor" "PI656092"
"391" "mixed/bicolor" "PI656097"
"392" "mixed/bicolor" "PI656099"
"393" "mixed/bicolor" "PI656100"
"394" "mixed/bicolor" "PI656103"
"395" "mixed/bicolor" "PI656108"
"396" "mixed/bicolor" "PI656110"
"397" "mixed/bicolor" "PI656113"
"398" "mixed/bicolor" "PI656114"
"399" "mixed/bicolor" "PI659695"
"400" "mixed/bicolor" "PI659753"
