id	height_BLUP
PI656034	38.9959774098114
PI656036	32.7240330917903
PI656037	35.9214665811123
PI656038	37.0255878231764
PI656039	38.0341304782099
PI656041	31.5584505194147
PI656043	43.6028037672958
PI656044	37.8858987694537
PI656046	36.248532774926
PI656047	33.1958165139424
PI656049	40.3003198122317
PI656051	23.1773567847141
PI656052	29.5603089667709
PI656053	36.276284740935
PI656055	39.7626736667442
PI656056	41.859955730772
PI656057	36.9423319251496
PI656058	40.7443512683747
PI656059	28.2559665643506
PI656060	39.0514813418292
PI656061	42.3746944849739
PI656062	33.3862699045952
PI656068	33.7231038681123
PI656069	32.7240330917903
PI656070	38.9682254438024
PI656071	35.3604698626399
PI656072	37.247603551248
PI656073	45.4860722243358
PI656075	34.6944226784253
PI656076	33.1125606159155
PI656077	35.277213964613
PI656078	30.0875963209408
PI656079	31.5306985534058
PI656080	32.890544887844
PI656081	38.218922361561
PI656082	29.7268207628245
PI656083	38.8017136477488
PI656084	40.4113276762674
PI656085	37.2753555172569
PI656086	37.2753555172569
PI656087	31.4751946213879
PI656088	37.0255878231764
PI656089	30.5821887320839
PI656090	34.805430542461
PI656091	42.4094692289113
PI656092	37.8420701239283
PI656093	35.1662061005773
PI656094	31.5862024854237
PI656095	40.4668316082853
PI656096	34.4618078885722
PI656097	35.8322532847919
PI656098	32.4465134317009
PI656099	24.9812345752953
PI656101	28.4224783604042
PI656102	34.7499266104431
PI656103	32.862792921835
PI656104	37.1365956872122
PI656105	35.0829502025504
PI656106	41.8266779427235
PI656107	37.6812006026863
PI656108	29.504805034753
PI656109	37.7193869734
PI656110	39.609025383319
PI656111	28.9775176805831
PI656112	34.5834148143895
PI656113	33.390080276005
PI656117	42.7147408550097
PI656118	43.0755164131259
PI656119	31.919226077531
PI656120	30.1153482869497
PI656121	33.0015527518798
PI659691	32.0302339415668
PI659693	31.41969068937
PI659694	36.4592355731008
PI659695	46.5167601982348
PI659696	37.0533397891854
PI659753	37.3586114152837
