sample	group	dataset	Abs_genetic_load	Abs_per_Ndel
PI655996_PI655996	SAP_all	SAP	101464.3439106	15.0295280566731
PI655997_PI655997	SAP_all	SAP	109873.5548082	15.2708206821682
PI655998_PI655998	SAP_all	SAP	80124.8013227	15.2793290089054
PI655999_PI655999	SAP_all	SAP	63866.4092524	14.5980364005486
PI656000_PI656000	SAP_all	SAP	64388.1530101	15.6738444523126
PI656001_PI656001	SAP_all	SAP	66207.3031792	15.5124890298032
PI656002_PI656002	SAP_all	SAP	74872.7800015	15.4887836163633
PI656003_PI656003	SAP_all	SAP	88029.2031046	15.3762800182707
PI656004_PI656004	SAP_all	SAP	106928.8665747	15.1328710125531
PI656005_PI656005	SAP_all	SAP	80936.5102396	15.4076737558728
PI656006_PI656006	SAP_all	SAP	85590.8348524	15.2459627453509
PI656007_PI656007	SAP_all	SAP	65091.4171369	14.6734484077773
PI656008_PI656008	SAP_all	SAP	84703.1507547	15.2700830637642
PI656009_PI656009	SAP_all	SAP	67738.0118241	15.0261783105812
PI656010_PI656010	SAP_all	SAP	95788.7739858	13.567815012153
PI656011_PI656011	SAP_all	SAP	91251.1604776	13.9463794096897
PI656012_PI656012	SAP_all	SAP	108448.2911401	14.9666424427408
PI656013_PI656013	SAP_all	SAP	90820.5026511	10.9992131102216
PI656014_PI656014	SAP_all	SAP	77866.9237118	9.93961242172581
PI656015_PI656015	SAP_all	SAP	86336.912426	15.3953124868046
PI656016_PI656016	SAP_all	SAP	85201.6292487	15.3932482834146
PI656017_PI656017	SAP_all	SAP	113781.1413154	15.15667261428
PI656018_PI656018	SAP_all	SAP	100811.620233	15.3863889244506
PI656019_PI656019	SAP_all	SAP	84493.7356851	15.306836174837
PI656020_PI656020	SAP_all	SAP	83691.4330651	15.0011530856964
PI656021_PI656021	SAP_all	SAP	110958.6327004	13.8008249627363
PI656022_PI656022	SAP_all	SAP	75772.1518435	14.5435992022073
PI656023_PI656023	SAP_all	SAP	75622.9772895	15.5410968535758
PI656024_PI656024	SAP_all	SAP	79539.1069104	14.1654687284773
PI656025_PI656025	SAP_all	SAP	97193.9662597	14.4354620911481
PI656026_PI656026	SAP_all	SAP	76883.8242029	15.585612041942
PI656027_PI656027	SAP_all	SAP	76250.2603467	14.8173844435873
PI656028_PI656028	SAP_all	SAP	74215.0625961	14.6989626849079
PI656029_PI656029	SAP_all	SAP	74683.2304356	14.3235961710012
PI656031_PI656031	SAP_all	SAP	65585.5562625	14.8282966905946
PI656032_PI656032	SAP_all	SAP	88128.0621853	9.86324143092334
PI656033_PI656033	SAP_all	SAP	112697.2130934	15.1271426971007
PI656034_PI656034	SAP_all	SAP	79252.4841775	9.4449391225718
PI656035_PI656035	SAP_all	SAP	72960.8108442	15.3118175958447
PI656036_PI656036	SAP_all	SAP	90973.8719152	14.1615616306351
PI656037_PI656037	SAP_all	SAP	81056.6463448	14.6496740185794
PI656038_PI656038	SAP_all	SAP	74636.5932612	13.7275323268714
PI656039_PI656039	SAP_all	SAP	77599.4158844	14.931578965634
PI656040_PI656040	SAP_all	SAP	97162.4385451	14.356152267302
PI656041_PI656041	SAP_all	SAP	113526.4527792	15.1187179090691
PI656042_PI656042	SAP_all	SAP	98253.4551764	14.6997987995811
PI656043_PI656043	SAP_all	SAP	87758.5976307	15.3612108578155
PI656044_PI656044	SAP_all	SAP	76507.9391997	15.5852391932573
PI656046_PI656046	SAP_all	SAP	91371.1128917	14.5264090447854
PI656047_PI656047	SAP_all	SAP	90018.9053887	14.3000643985226
PI656048_PI656048	SAP_all	SAP	63989.531743	15.5013400540213
PI656049_PI656049	SAP_all	SAP	73404.5283006	10.9379419312472
PI656050_PI656050	SAP_all	SAP	69084.5562134	14.0216269968338
PI656051_PI656051	SAP_all	SAP	86967.2913635	15.4388942594532
PI656052_PI656052	SAP_all	SAP	94131.3420902	14.0999613676153
PI656053_PI656053	SAP_all	SAP	75198.8273962	14.7825491244742
PI656054_PI656054	SAP_all	SAP	81780.9420016	14.1980802086111
PI656055_PI656055	SAP_all	SAP	98436.4561706001	14.4123654715374
PI656056_PI656056	SAP_all	SAP	88936.1647856	15.3975354545706
PI656057_PI656057	SAP_all	SAP	85403.0694482	11.0668743615654
PI656058_PI656058	SAP_all	SAP	76566.6811476	14.2981664141176
PI656059_PI656059	SAP_all	SAP	63843.4384506	15.2370974822434
PI656060_PI656060	SAP_all	SAP	75081.4796043	14.3751636232625
PI656061_PI656061	SAP_all	SAP	68361.2707957	14.8417869725792
PI656062_PI656062	SAP_all	SAP	91580.6186042	14.0074363114408
PI656063_PI656063	SAP_all	SAP	66754.9089303	11.1873485721971
PI656064_PI656064	SAP_all	SAP	104650.3177963	15.1799126481433
PI656065_PI656065	SAP_all	SAP	85809.701492	15.3973984374664
PI656066_PI656066	SAP_all	SAP	83967.5927305	14.4348620819151
PI656067_PI656067	SAP_all	SAP	90724.8534675	13.4967053655906
PI656068_PI656068	SAP_all	SAP	86756.9044138	14.2668811731294
PI656069_PI656069	SAP_all	SAP	64186.1801372	13.2342639458144
PI656070_PI656070	SAP_all	SAP	69245.058017	14.3394197591634
PI656071_PI656071	SAP_all	SAP	75314.6600162	15.2582374425041
PI656072_PI656072	SAP_all	SAP	97870.8529834	15.1549787834314
PI656073_PI656073	SAP_all	SAP	87741.0222924	14.8537366332148
PI656074_PI656074	SAP_all	SAP	69834.4632753	14.1853469988422
PI656075_PI656075	SAP_all	SAP	69229.7374237	14.9653561227194
PI656076_PI656076	SAP_all	SAP	87424.3411635	14.4407567167988
PI656077_PI656077	SAP_all	SAP	75744.603053	13.2212607877466
PI656078_PI656078	SAP_all	SAP	23479.9364026	13.7631514669402
PI656079_PI656079	SAP_all	SAP	72519.3408345	14.2334329410206
PI656080_PI656080	SAP_all	SAP	67808.6578324	14.0857203640216
PI656081_PI656081	SAP_all	SAP	19546.8576634	14.5654677074516
PI656082_PI656082	SAP_all	SAP	96354.4213144	15.0436254979547
PI656083_PI656083	SAP_all	SAP	80298.3624585	8.35918826342911
PI656085_PI656085	SAP_all	SAP	68774.2175809	11.8822075986351
PI656086_PI656086	SAP_all	SAP	77032.4059884	15.0219200445398
PI656087_PI656087	SAP_all	SAP	66502.6698763	14.6999712370248
PI656088_PI656088	SAP_all	SAP	90801.9772763	14.3243377940211
PI656089_PI656089	SAP_all	SAP	90893.1418202	14.2398780855711
PI656090_PI656090	SAP_all	SAP	65836.2506709	14.3778664928805
PI656091_PI656091	SAP_all	SAP	92370.7995303	11.9203509524197
PI656092_PI656092	SAP_all	SAP	86156.3522608	15.2300428249602
PI656093_PI656093	SAP_all	SAP	64272.3665555	14.9089228845975
PI656094_PI656094	SAP_all	SAP	64700.5590761	15.166563308978
PI656095_PI656095	SAP_all	SAP	73965.4649651	14.6640493586638
PI656096_PI656096	SAP_all	SAP	65723.4246265	15.1018898498392
PI656097_PI656097	SAP_all	SAP	82664.6943965	15.3167860656846
PI656098_PI656098	SAP_all	SAP	59168.9976685	14.0443858695704
PI656099_PI656099	SAP_all	SAP	87440.2627343	14.0737586889264
PI656100_PI656100	SAP_all	SAP	98385.0977249	14.2752608422664
PI656101_PI656101	SAP_all	SAP	86610.5723429	15.340165133351
PI656102_PI656102	SAP_all	SAP	58673.5409573	15.3595656956283
PI656103_PI656103	SAP_all	SAP	80565.2024766	14.430450022676
PI656104_PI656104	SAP_all	SAP	88479.7363767	9.12162230687629
PI656105_PI656105	SAP_all	SAP	66025.265473	14.2695624536417
PI656106_PI656106	SAP_all	SAP	63849.7474205	13.9745562312322
PI656107_PI656107	SAP_all	SAP	85427.0234003	11.6069325272147
PI656108_PI656108	SAP_all	SAP	71615.7765306	15.1024412759595
PI656109_PI656109	SAP_all	SAP	81747.1340331	13.7459448517067
PI656110_PI656110	SAP_all	SAP	77919.4557116	12.6451567204804
PI656111_PI656111	SAP_all	SAP	64348.9872959	15.3871323041368
PI656112_PI656112	SAP_all	SAP	75047.1737982	14.5102810901392
PI656113_PI656113	SAP_all	SAP	83733.0159451	14.1345401662897
PI656114_PI656114	SAP_all	SAP	73778.0364291	11.9035231411907
PI656115_PI656115	SAP_all	SAP	100126.2984135	14.774427978973
PI656116_PI656116	SAP_all	SAP	69004.2051923	12.0321194755536
PI656118_PI656118	SAP_all	SAP	66031.7210711	14.4205549401834
PI656119_PI656119	SAP_all	SAP	71951.6613984	12.5351326478049
PI656120_PI656120	SAP_all	SAP	84335.6047224	14.5556791029341
PI656121_PI656121	SAP_all	SAP	70829.327735	14.1319488697127
PI659691_PI659691	SAP_all	SAP	75394.4673219	10.9824424358194
PI659694_PI659694	SAP_all	SAP	96571.9452946	14.3558711601903
PI659695_PI659695	SAP_all	SAP	79179.4926549	14.2434777216945
PI659696_PI659696	SAP_all	SAP	78653.9125447	14.8152029656621
