sample	sub	chrs_n	Genetic_load_sum	N_del_sum	Abs_genetic_load	Abs_per_Ndel
V53	improved	8	-167410.1631224	21199	167410.1631224	7.89707831135431
V54	improved	8	-110597.8854592	13838	110597.8854592	7.9923316562509
V55	improved	8	-139458.9691947	17506	139458.9691947	7.96635263308009
V56	improved	8	-115037.1808664	14433	115037.1808664	7.97042755258089
V57	improved	8	-134319.1852694	16923	134319.1852694	7.9370788435502
V58	improved	8	-110447.6998126	13806	110447.6998126	7.99997825674345
V59	improved	8	-165684.1478766	20828	165684.1478766	7.95487554621663
V60	improved	8	-131608.0177992	16481	131608.0177992	7.98543885681694
V61	improved	8	-173410.5366292	21900	173410.5366292	7.91828934379909
V62	improved	8	-142899.6476937	18037	142899.6476937	7.92258400475134
V63	improved	8	-107058.045508	13438	107058.045508	7.96681392379819
V64	improved	8	-104415.8607605	13111	104415.8607605	7.9639890748608
V65	improved	8	-116233.3797505	14519	116233.3797505	8.00560505203526
V66	improved	8	-142174.8832259	17825	142174.8832259	7.97615053160729
V67	improved	8	-134389.8902588	16901	134389.8902588	7.95159400383409
V68	improved	8	-141787.8149858	17840	141787.8149858	7.94774747678251
V69	improved	8	-183434.5675051	23093	183434.5675051	7.94329742801282
V70	improved	8	-146330.8466629	18375	146330.8466629	7.9635834918585
V71	improved	8	-92711.9829784	11638	92711.9829784	7.96631577405053
V72	improved	8	-143068.1448515	17993	143068.1448515	7.95132245048074
V73	improved	8	-186403.1920483	23446	186403.1920483	7.95031954483921
V74	improved	8	-137066.4496764	17160	137066.4496764	7.98755534244755
V75	improved	8	-136599.6241258	17090	136599.6241258	7.99295635610298
V76	improved	8	-140097.1597407	17630	140097.1597407	7.94652068863868
V77	improved	8	-186852.7282835	23547	186852.7282835	7.93530930834077
V78	improved	8	-132717.0527261	16666	132717.0527261	7.96334169723389
V79	improved	8	-155058.6522794	19516	155058.6522794	7.94520661402951
V80	improved	8	-166909.6633515	21005	166909.6633515	7.94618725786718
V81	improved	8	-155590.2024913	19528	155590.2024913	7.96754416690393
V82	improved	8	-197861.3076327	24900	197861.3076327	7.9462372543253
V83	improved	8	-183253.5525719	22986	183253.5525719	7.97239852831724
V84	improved	8	-188903.4783986	23802	188903.4783986	7.93645401220906
V85	improved	8	-161515.9906092	20284	161515.9906092	7.96272878175902
V86	improved	8	-116836.4825361	14613	116836.4825361	7.99537963019914
V87	improved	8	-123690.7370373	15474	123690.7370373	7.99345592848003
V88	improved	8	-185792.8934313	23360	185792.8934313	7.95346290373716
V89	improved	8	-109017.7498246	13583	109017.7498246	8.02604357097843
V90	improved	8	-184458.6851149	23140	184458.6851149	7.97142113720398
V91	improved	8	-141416.6717252	17766	141416.6717252	7.95996125887651
V92	improved	8	-185630.6170603	23352	185630.6170603	7.94923848322627
V93	improved	8	-158559.8624617	19957	158559.8624617	7.94507503440898
V94	improved	8	-176140.3524093	22147	176140.3524093	7.95323756758478
V95	improved	8	-181867.8232531	22841	181867.8232531	7.96234067042161
V96	improved	8	-160492.8304854	20258	160492.8304854	7.92244202218383
V97	improved	8	-130510.8265211	16350	130510.8265211	7.98231354869113
V98	improved	8	-133527.974231	16751	133527.974231	7.97134345597278
V99	improved	8	-129010.397055	16117	129010.397055	8.0046160609915
V100	improved	8	-151785.131264	19099	151785.131264	7.94728159924603
V101	improved	8	-114544.3115927	14333	114544.3115927	7.99164945180353
V102	improved	8	-140749.2550925	17682	140749.2550925	7.96003026198959
V103	improved	8	-147401.2403562	18524	147401.2403562	7.95731161499676
V104	improved	8	-139924.0577869	17602	139924.0577869	7.94932722343484
V105	improved	8	-132925.900951	16730	132925.900951	7.94536168266587
V106	improved	8	-110761.3201758	13959	110761.3201758	7.93476038224801
V107	improved	8	-129470.1460264	16233	129470.1460264	7.97573745003388
V108	improved	8	-184624.6328396	23283	184624.6328396	7.92958952195164
V109	improved	8	-105082.3053224	13172	105082.3053224	7.97770310677194
V110	improved	8	-91623.5217386	11452	91623.5217386	8.00065680567587
V111	improved	8	-104122.5583202	13059	104122.5583202	7.97324131405161
V112	improved	8	-131432.2913437	16520	131432.2913437	7.95594983920702
V113	improved	8	-114678.8938455	14425	114678.8938455	7.95000997195841
V114	improved	8	-159430.8364357	20053	159430.8364357	7.95047306815439
V115	improved	8	-137917.8165653	17310	137917.8165653	7.96752262075679
V116	improved	8	-124774.284023	15611	124774.284023	7.99271565069502
V117	improved	8	-132010.4114649	16546	132010.4114649	7.97838821859664
V118	improved	8	-109191.5839639	13650	109191.5839639	7.99938344057875
V119	improved	8	-162866.5377273	20517	162866.5377273	7.93812632096798
V120	improved	8	-95712.1624314	11966	95712.1624314	7.9986764525656
V121	improved	8	-131041.307768	16398	131041.307768	7.99129819295036
V122	improved	8	-164980.3625853	20721	164980.3625853	7.96198844579412
