sample	cutoff	miss	Genetic_load	N_del	cutoff_chr	cutoff_num	Abs_genetic_load	Abs_per_Ndel
PI533980_PI533980	1%	miss50	-74578.6156134	4855	1%	0.01	74578.6156134	15.3611978606385
PI533985_PI533985	1%	miss50	-66674.802385	4370	1%	0.01	66674.802385	15.2573918501144
PI533986_PI533986	1%	miss50	-70050.544044	4551	1%	0.01	70050.544044	15.392341033619
PI533987_PI533987	1%	miss50	-66291.0207399	4321	1%	0.01	66291.0207399	15.3415923952557
PI533989_PI533989	1%	miss50	-73443.9909707	5081	1%	0.01	73443.9909707	14.4546331373155
PI533991_PI533991	1%	miss50	-69697.9080553	4544	1%	0.01	69697.9080553	15.3384480755502
PI533996_PI533996	1%	miss50	-65852.5039626	4346	1%	0.01	65852.5039626	15.1524399361712
PI533997_PI533997	1%	miss50	-62380.9694417	4202	1%	0.01	62380.9694417	14.8455424658972
PI534009_PI534009	1%	miss50	-84707.4024602	5635	1%	0.01	84707.4024602	15.0323695581544
PI534021_PI534021	1%	miss50	-76936.0432813	5106	1%	0.01	76936.0432813	15.0677718921465
PI534028_PI534028	1%	miss50	-87114.3472698	5770	1%	0.01	87114.3472698	15.0978071524783
PI534037_PI534037	1%	miss50	-75569.1857785	4966	1%	0.01	75569.1857785	15.2173148969996
PI534046_PI534046	1%	miss50	-70490.5755455	4627	1%	0.01	70490.5755455	15.2346175806138
PI534047_PI534047	1%	miss50	-71719.3102682	4756	1%	0.01	71719.3102682	15.0797540513457
PI534053_PI534053	1%	miss50	-78432.8229324	5119	1%	0.01	78432.8229324	15.3219032882204
PI534054_PI534054	1%	miss50	-64562.6756665	4171	1%	0.01	64562.6756665	15.4789440581395
PI534063_PI534063	1%	miss50	-74209.0542987	4861	1%	0.01	74209.0542987	15.2662115405678
PI534070_PI534070	1%	miss50	-75217.6567305	4909	1%	0.01	75217.6567305	15.3223990080464
PI534075_PI534075	1%	miss50	-66639.5930653	4471	1%	0.01	66639.5930653	14.9048519492955
PI534079_PI534079	1%	miss50	-66229.1743518	4387	1%	0.01	66229.1743518	15.0966889336221
PI534088_PI534088	1%	miss50	-70101.8816325	4584	1%	0.01	70101.8816325	15.2927315952225
PI534092_PI534092	1%	miss50	-80227.6963225	5709	1%	0.01	80227.6963225	14.0528457387458
PI534096_PI534096	1%	miss50	-23430.4843749	1586	1%	0.01	23430.4843749	14.773319277995
PI534097_PI534097	1%	miss50	-95886.117534	6292	1%	0.01	95886.117534	15.2393702374444
PI534099_PI534099	1%	miss50	-74612.0313544	4957	1%	0.01	74612.0313544	15.0518521997983
PI534101_PI534101	1%	miss50	-69082.8564447	5842	1%	0.01	69082.8564447	11.8252065122732
PI534105_PI534105	1%	miss50	-70018.1087487	4522	1%	0.01	70018.1087487	15.4838807493808
PI534108_PI534108	1%	miss50	-66280.3394348	4360	1%	0.01	66280.3394348	15.2019127144037
PI534112_PI534112	1%	miss50	-67317.6353826	6410	1%	0.01	67317.6353826	10.5019711985335
PI534114_PI534114	1%	miss50	-76197.306252	4983	1%	0.01	76197.306252	15.2914521878387
PI534115_PI534115	1%	miss50	-76667.5187353	5033	1%	0.01	76667.5187353	15.2329661703358
PI534116_PI534116	1%	miss50	-58138.3573703	3889	1%	0.01	58138.3573703	14.9494361970429
PI534117_PI534117	1%	miss50	-63468.7245756	4170	1%	0.01	63468.7245756	15.2203176440288
PI534123_PI534123	1%	miss50	-71716.3207461	4742	1%	0.01	71716.3207461	15.1236441893927
PI534124_PI534124	1%	miss50	-62531.8512632	4208	1%	0.01	62531.8512632	14.8602308134981
PI534127_PI534127	1%	miss50	-97154.6889044	6993	1%	0.01	97154.6889044	13.8931344064636
PI534128_PI534128	1%	miss50	-98236.654189	6596	1%	0.01	98236.654189	14.8933678273196
PI534132_PI534132	1%	miss50	-86420.2752998	6905	1%	0.01	86420.2752998	12.5156082983056
PI534133_PI534133	1%	miss50	-94983.1708547	6322	1%	0.01	94983.1708547	15.0242282275704
PI534135_PI534135	1%	miss50	-86388.7127293	5682	1%	0.01	86388.7127293	15.2039269146955
PI534137_PI534137	1%	miss50	-88600.9866572	5843	1%	0.01	88600.9866572	15.1636122979976
PI534138_PI534138	1%	miss50	-55738.4179126	3656	1%	0.01	55738.4179126	15.2457379410832
PI534139_PI534139	1%	miss50	-95170.5005865001	6221	1%	0.01	95170.5005865001	15.2982640389809
PI534144_PI534144	1%	miss50	-79953.8455329	5737	1%	0.01	79953.8455329	13.9365252802684
PI534145_PI534145	1%	miss50	-63927.1363452	4215	1%	0.01	63927.1363452	15.1665803903203
PI534148_PI534148	1%	miss50	-81263.5107126	5370	1%	0.01	81263.5107126	15.1328697788827
PI534155_PI534155	1%	miss50	-70699.9291608	4818	1%	0.01	70699.9291608	14.6741239437111
PI534157_PI534157	1%	miss50	-83553.6083358	7189	1%	0.01	83553.6083358	11.6224243059953
PI534163_PI534163	1%	miss50	-76980.6724179	5132	1%	0.01	76980.6724179	15.0001310245323
PI534167_PI534167	1%	miss50	-84012.9215838	5610	1%	0.01	84012.9215838	14.9755653447059
PI540816_PI540816	1%	miss50	-90402.0178625	5936	1%	0.01	90402.0178625	15.2294504485344
PI542406_PI542406	1%	miss50	-61789.302047	4109	1%	0.01	61789.302047	15.0375522139207
PI542718_PI542718	1%	miss50	-98288.8350287	6411	1%	0.01	98288.8350287	15.3312798360162
PI548797_PI548797	1%	miss50	-82608.0416132	5429	1%	0.01	82608.0416132	15.2160695548351
PI552856_PI552856	1%	miss50	-76464.4223455	4946	1%	0.01	76464.4223455	15.4598508583704
PI552861_PI552861	1%	miss50	-68547.6602885	4438	1%	0.01	68547.6602885	15.4456197134971
PI561071_PI561071	1%	miss50	-90052.9820658	5882	1%	0.01	90052.9820658	15.3099255467188
PI561072_PI561072	1%	miss50	-83317.7762181	5387	1%	0.01	83317.7762181	15.4664518689623
PI561073_PI561073	1%	miss50	-96762.9629745	6445	1%	0.01	96762.9629745	15.0136482505043
PI561472_PI561472	1%	miss50	-101659.6374224	7162	1%	0.01	101659.6374224	14.1943084923764
PI562730_PI562730	1%	miss50	-67340.5927477	4464	1%	0.01	67340.5927477	15.0852582320116
PI564163_PI564163	1%	miss50	-62999.433106	4152	1%	0.01	62999.433106	15.1732738694605
PI564164_PI564164	1%	miss50	-95214.4287557	6869	1%	0.01	95214.4287557	13.8614687371815
PI564165_PI564165	1%	miss50	-102027.6985815	6738	1%	0.01	102027.6985815	15.1421339539181
PI565121_PI565121	1%	miss50	-67995.9064855	4373	1%	0.01	67995.9064855	15.5490296102218
PI566819_PI566819	1%	miss50	-74049.1386637	4910	1%	0.01	74049.1386637	15.0812909702037
PI576130_PI576130	1%	miss50	-88648.2617136	5746	1%	0.01	88648.2617136	15.4278213911591
PI576332_PI576332	1%	miss50	-86644.1371925	5659	1%	0.01	86644.1371925	15.3108565457678
PI576333_PI576333	1%	miss50	-75755.5370804	4912	1%	0.01	75755.5370804	15.4225441938925
PI576337_PI576337	1%	miss50	-66862.4162184001	6362	1%	0.01	66862.4162184001	10.5096536023892
PI576339_PI576339	1%	miss50	-76411.9946065	4949	1%	0.01	76411.9946065	15.4398857560113
PI576340_PI576340	1%	miss50	-75640.1066562	4888	1%	0.01	75640.1066562	15.4746535712357
PI576345_PI576345	1%	miss50	-62546.7358266	4022	1%	0.01	62546.7358266	15.5511526172551
PI576347_PI576347	1%	miss50	-71827.5248281	5914	1%	0.01	71827.5248281	12.1453373060703
PI576348_PI576348	1%	miss50	-44963.7334765	3464	1%	0.01	44963.7334765	12.9802925740473
PI576349_PI576349	1%	miss50	-52397.1819703	3528	1%	0.01	52397.1819703	14.8518089484977
PI576350_PI576350	1%	miss50	-62641.0720234	6081	1%	0.01	62641.0720234	10.3011136364743
PI576352_PI576352	1%	miss50	-75748.8322685	4917	1%	0.01	75748.8322685	15.405497715782
PI576359_PI576359	1%	miss50	-81659.8696818	5341	1%	0.01	81659.8696818	15.2892472723834
PI576364_PI576364	1%	miss50	-78842.1074032	5126	1%	0.01	78842.1074032	15.3808246982442
PI576366_PI576366	1%	miss50	-69514.982623	4617	1%	0.01	69514.982623	15.0563098598657
PI576373_PI576373	1%	miss50	-66001.8322479	4277	1%	0.01	66001.8322479	15.4318055290858
PI576375_PI576375	1%	miss50	-86179.0463521	5678	1%	0.01	86179.0463521	15.1777115801515
PI576376_PI576376	1%	miss50	-85597.5168246	7359	1%	0.01	85597.5168246	11.6316777856502
PI576380_PI576380	1%	miss50	-76217.9293031	4953	1%	0.01	76217.9293031	15.3882352721785
PI576381_PI576381	1%	miss50	-91630.7723388	6064	1%	0.01	91630.7723388	15.1106154912269
