sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V14	improved	10%	-1164026.4630631	10	1164026.4630631
V15	improved	10%	-825976.7663719	10	825976.7663719
V16	improved	10%	-1274071.9005827	10	1274071.9005827
V17	improved	10%	-718713.1355305	10	718713.1355305
V18	improved	10%	-1275905.8189131	10	1275905.8189131
V19	improved	10%	-1047558.8045142	10	1047558.8045142
V20	improved	10%	-1074238.5813626	10	1074238.5813626
V21	improved	10%	-1348344.9098706	10	1348344.9098706
V22	improved	10%	-1041661.4920483	10	1041661.4920483
V23	improved	10%	-1067873.7926484	10	1067873.7926484
V24	improved	10%	-1318487.3683961	10	1318487.3683961
V25	improved	10%	-945169.6195359	10	945169.6195359
V26	improved	10%	-1543798.0798815	10	1543798.0798815
V27	improved	10%	-790816.7095897	10	790816.7095897
V28	improved	10%	-650081.3373937	10	650081.3373937
V29	improved	10%	-1108420.5419856	10	1108420.5419856
V30	improved	10%	-1107548.3331647	10	1107548.3331647
V31	improved	10%	-1131727.1980515	10	1131727.1980515
V32	improved	10%	-1201365.209504	10	1201365.209504
V33	improved	10%	-1115573.8358605	10	1115573.8358605
V34	improved	10%	-1195918.4091479	10	1195918.4091479
V35	improved	10%	-1218363.2157934	10	1218363.2157934
V36	improved	10%	-1352954.8710217	10	1352954.8710217
V37	improved	10%	-1277240.3996436	10	1277240.3996436
V38	improved	10%	-983110.4320175	10	983110.4320175
V39	improved	10%	-970048.0115452	10	970048.0115452
V40	improved	10%	-1497354.1475777	10	1497354.1475777
V41	improved	10%	-1332030.095089	10	1332030.095089
V42	improved	10%	-962332.8988039	10	962332.8988039
V43	improved	10%	-968983.2146841	10	968983.2146841
V44	improved	10%	-915603.1470524	10	915603.1470524
V45	improved	10%	-1073065.6084876	10	1073065.6084876
V46	improved	10%	-1118837.4187278	10	1118837.4187278
V47	improved	10%	-1063836.0129491	10	1063836.0129491
V48	improved	10%	-1070821.3236663	10	1070821.3236663
V49	improved	10%	-1134722.6752012	10	1134722.6752012
V50	improved	10%	-937448.9294696	10	937448.9294696
V51	improved	10%	-1220339.9558646	10	1220339.9558646
V52	improved	10%	-1027034.3848434	10	1027034.3848434
V53	improved	10%	-1312724.5447967	10	1312724.5447967
V54	improved	10%	-813645.0535623	10	813645.0535623
V55	improved	10%	-1125185.9938874	10	1125185.9938874
V56	improved	10%	-860811.7151239	10	860811.7151239
V57	improved	10%	-1084874.4828749	10	1084874.4828749
V58	improved	10%	-773306.3924193	10	773306.3924193
V59	improved	10%	-1208261.5461625	10	1208261.5461625
V60	improved	10%	-957270.1157223	10	957270.1157223
V61	improved	10%	-1328076.2090041	10	1328076.2090041
V62	improved	10%	-1081755.1629149	10	1081755.1629149
V63	improved	10%	-842628.0148451	10	842628.0148451
V64	improved	10%	-788816.1433371	10	788816.1433371
V65	improved	10%	-842813.178223	10	842813.178223
V66	improved	10%	-1116598.2844069	10	1116598.2844069
V67	improved	10%	-1026385.3621523	10	1026385.3621523
V68	improved	10%	-1088137.9008902	10	1088137.9008902
V69	improved	10%	-1431943.9941207	10	1431943.9941207
V70	improved	10%	-1100301.5131707	10	1100301.5131707
V71	improved	10%	-680766.2002436	10	680766.2002436
V72	improved	10%	-1170168.6678968	10	1170168.6678968
V73	improved	10%	-1428214.7521902	10	1428214.7521902
V74	improved	10%	-1075737.6957612	10	1075737.6957612
V75	improved	10%	-984955.8378718	10	984955.8378718
V76	improved	10%	-1002462.8069463	10	1002462.8069463
V77	improved	10%	-1525042.7456605	10	1525042.7456605
V78	improved	10%	-999927.0531126	10	999927.0531126
V79	improved	10%	-1233927.8429185	10	1233927.8429185
V80	improved	10%	-1345813.6805938	10	1345813.6805938
V81	improved	10%	-1266509.649257	10	1266509.649257
V82	improved	10%	-1619714.6956047	10	1619714.6956047
V83	improved	10%	-1452199.2835768	10	1452199.2835768
V84	improved	10%	-1538937.6538276	10	1538937.6538276
V85	improved	10%	-1175332.8536973	10	1175332.8536973
V86	improved	10%	-846860.050353	10	846860.050353
V87	improved	10%	-884400.6849491	10	884400.6849491
V88	improved	10%	-1438297.129722	10	1438297.129722
V89	improved	10%	-815840.5875809	10	815840.5875809
V90	improved	10%	-1458947.3661294	10	1458947.3661294
V91	improved	10%	-1045001.6990511	10	1045001.6990511
V92	improved	10%	-1426048.1268261	10	1426048.1268261
V93	improved	10%	-1230154.8637509	10	1230154.8637509
V94	improved	10%	-1354736.8336492	10	1354736.8336492
V95	improved	10%	-1384827.592124	10	1384827.592124
V96	improved	10%	-1252252.0017103	10	1252252.0017103
V97	improved	10%	-1010472.7993036	10	1010472.7993036
V98	improved	10%	-971803.769464	10	971803.769464
V99	improved	10%	-938173.3921042	10	938173.3921042
V100	improved	10%	-1167901.3255654	10	1167901.3255654
V101	improved	10%	-831385.6905682	10	831385.6905682
V102	improved	10%	-1035257.9978356	10	1035257.9978356
V103	improved	10%	-1094184.1893844	10	1094184.1893844
V104	improved	10%	-1023522.3665362	10	1023522.3665362
V105	improved	10%	-1004674.1429504	10	1004674.1429504
V106	improved	10%	-808593.5579638	10	808593.5579638
V107	improved	10%	-975950.2548003	10	975950.2548003
V108	improved	10%	-1499875.5147755	10	1499875.5147755
V109	improved	10%	-768197.3051713	10	768197.3051713
V110	improved	10%	-690849.6822049	10	690849.6822049
