sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
[157]282set_I29:GT	improved	-74843.433505	10	improved	74843.433505
[158]282set_IA2132Goodman-Buckler:GT	improved	-75966.998832	10	improved	75966.998832
[159]282set_Ia5125:GT	improved	-77788.702643	10	improved	77788.702643
[160]282set_IDS28:GT	improved	-76479.355582	10	improved	76479.355582
[161]282set_IDS69:GT	improved	-77648.388664	10	improved	77648.388664
[162]282set_IDS91:GT	improved	-77537.314333	10	improved	77537.314333
[163]282set_Il101:GT	improved	-79491.02643	10	improved	79491.02643
[164]282set_Il14H:GT	improved	-79166.412521	10	improved	79166.412521
[165]282set_ILLHy:GT	improved	-67129.715946	10	improved	67129.715946
[166]282set_K148:GT	improved	-76117.719841	10	improved	76117.719841
[167]282set_K4:GT	improved	-74338.49264	10	improved	74338.49264
[168]282set_K55:GT	improved	-74843.614266	10	improved	74843.614266
[169]282set_K64:GT	improved	-73839.063107	10	improved	73839.063107
[170]282set_Ki11:GT	improved	-78887.449076	10	improved	78887.449076
[171]282set_Ki14:GT	improved	-78648.660319	10	improved	78648.660319
[172]282set_Ki2021:GT	improved	-78679.555358	10	improved	78679.555358
[173]282set_Ki21:GT	improved	-79958.923866	10	improved	79958.923866
[174]282set_Ki43:GT	improved	-78807.017892	10	improved	78807.017892
[175]282set_Ki44:GT	improved	-76369.512499	10	improved	76369.512499
[176]282set_Ky21:GT	improved	-73901.661119	10	improved	73901.661119
[177]282set_KY226:GT	improved	-71421.365367	10	improved	71421.365367
[178]282set_KY228:GT	improved	-76784.758356	10	improved	76784.758356
[179]282set_L317:GT	improved	-78881.706865	10	improved	78881.706865
[180]282set_L578:GT	improved	-74847.177586	10	improved	74847.177586
[181]282set_M14:GT	improved	-73330.935886	10	improved	73330.935886
[182]282set_M162W:GT	improved	-76754.288604	10	improved	76754.288604
[183]282set_M37W:GT	improved	-79592.151251	10	improved	79592.151251
[184]282set_MEF156-55-2:GT	improved	-78231.347844	10	improved	78231.347844
[185]282set_Mo17:GT	improved	-83330.598204	10	improved	83330.598204
[186]282set_Mo18W:GT	improved	-76734.530354	10	improved	76734.530354
[187]282set_MO1W:GT	improved	-76556.860359	10	improved	76556.860359
[188]282set_Mo24W:GT	improved	-76465.144743	10	improved	76465.144743
[189]282set_Mo44:GT	improved	-75174.499474	10	improved	75174.499474
[190]282set_Mo45:GT	improved	-78787.958863	10	improved	78787.958863
[191]282set_Mo46:GT	improved	-75432.988617	10	improved	75432.988617
[192]282set_Mo47:GT	improved	-72923.5123	10	improved	72923.5123
[193]282set_MoG:GT	improved	-77212.913471	10	improved	77212.913471
[194]282set_Mp339:GT	improved	-76076.036295	10	improved	76076.036295
[195]282set_MS1334:GT	improved	-75534.522719	10	improved	75534.522719
[196]282set_MS153:GT	improved	-76408.659989	10	improved	76408.659989
[197]282set_Mt42:GT	improved	-77629.893178	10	improved	77629.893178
[198]282set_N192:GT	improved	-21834.049812	10	improved	21834.049812
[199]282set_N28Ht:GT	improved	-65240.574703	10	improved	65240.574703
[200]282set_NC222:GT	improved	-75601.563507	10	improved	75601.563507
[201]282set_NC230:GT	improved	-75454.14211	10	improved	75454.14211
[202]282set_NC232:GT	improved	-74797.234727	10	improved	74797.234727
[203]282set_NC236:GT	improved	-74282.603755	10	improved	74282.603755
[204]282set_NC238:GT	improved	-75436.886567	10	improved	75436.886567
[205]282set_NC250:GT	improved	-69022.622974	10	improved	69022.622974
[206]282set_NC258:GT	improved	-82296.508838	10	improved	82296.508838
[207]282set_NC260:GT	improved	-76848.576865	10	improved	76848.576865
[208]282set_NC262:GT	improved	-80869.695394	10	improved	80869.695394
[209]282set_NC264:GT	improved	-76800.438114	10	improved	76800.438114
[210]282set_NC290A:GT	improved	-80240.54954	10	improved	80240.54954
[211]282set_NC294:GT	improved	-32829.169962	10	improved	32829.169962
[212]282set_NC296:GT	improved	-78564.875429	10	improved	78564.875429
[213]282set_NC296A:GT	improved	-77185.587107	10	improved	77185.587107
[214]282set_NC298:GT	improved	-39358.951995	10	improved	39358.951995
[215]282set_NC300:GT	improved	-76720.870038	10	improved	76720.870038
[216]282set_NC302:GT	improved	-78890.318742	10	improved	78890.318742
[217]282set_NC304:GT	improved	-77576.980944	10	improved	77576.980944
[218]282set_NC306:GT	improved	-28441.340365	10	improved	28441.340365
[219]282set_NC310:GT	improved	-13401.583522	10	improved	13401.583522
[220]282set_NC314:GT	improved	-44199.258309	10	improved	44199.258309
[221]282set_NC318:GT	improved	-74903.319703	10	improved	74903.319703
[222]282set_NC320:GT	improved	-75523.655693	10	improved	75523.655693
[223]282set_NC324:GT	improved	-47422.611837	10	improved	47422.611837
[224]282set_NC326:GT	improved	-5885.652831	10	improved	5885.652831
[225]282set_NC328:GT	improved	-11787.325713	10	improved	11787.325713
[226]282set_NC33:GT	improved	-75324.367613	10	improved	75324.367613
[227]282set_NC336:GT	improved	-77479.822697	10	improved	77479.822697
[228]282set_NC338:GT	improved	-76523.546483	10	improved	76523.546483
[229]282set_NC340:GT	improved	-77788.331482	10	improved	77788.331482
[230]282set_NC342:GT	improved	-79679.881933	10	improved	79679.881933
[231]282set_NC344:GT	improved	-80995.717363	10	improved	80995.717363
[232]282set_NC346:GT	improved	-78604.633481	10	improved	78604.633481
[233]282set_NC348:GT	improved	-77751.122292	10	improved	77751.122292
[234]282set_NC350:GT	improved	-76823.046256	10	improved	76823.046256
[235]282set_NC352:GT	improved	-77349.10102	10	improved	77349.10102
[236]282set_NC354:GT	improved	-75277.259454	10	improved	75277.259454
[237]282set_NC356:GT	improved	-76496.200187	10	improved	76496.200187
[238]282set_NC358:GT	improved	-76177.922045	10	improved	76177.922045
[239]282set_NC360:GT	improved	-77793.880361	10	improved	77793.880361
[240]282set_NC362:GT	improved	-79827.304271	10	improved	79827.304271
[241]282set_NC364:GT	improved	-79513.711397	10	improved	79513.711397
[242]282set_NC366:GT	improved	-78015.553694	10	improved	78015.553694
[243]282set_NC368:GT	improved	-34248.981923	10	improved	34248.981923
[244]282set_ND246:GT	improved	-73775.024871	10	improved	73775.024871
[245]282set_Oh40B:GT	improved	-79301.347843	10	improved	79301.347843
[246]282set_Oh43E:GT	improved	-80336.935903	10	improved	80336.935903
[247]282set_Oh603:GT	improved	-76615.938529	10	improved	76615.938529
[248]282set_OH7B:GT	improved	-74534.683379	10	improved	74534.683379
[249]282set_Os420:GT	improved	-73918.237911	10	improved	73918.237911
[250]282set_P39Goodman-Buckler:GT	improved	-82345.413983	10	improved	82345.413983
