sample	PI	Race	cutoff	Abs_genetic_load
PI533877_PI533877	PI533877	Caudatum	10%	593123.5771671
PI533878_PI533878	PI533878	Caudatum	10%	593764.9297302
PI533882_PI533882	PI533882	Caudatum	10%	555177.5289578
PI533901_PI533901	PI533901	Guinea	10%	621185.2221633
PI533902_PI533902	PI533902	Durra	10%	642844.0135242
PI533903_PI533903	PI533903	Caudatum	10%	455216.4498973
PI533910_PI533910	PI533910	Guinea	10%	543260.6219474
PI533911_PI533911	PI533911	Guinea	10%	749917.1428881
PI533912_PI533912	PI533912	Guinea	10%	500842.2291457
PI533913_PI533913	PI533913	Guinea	10%	548548.4690835
PI533915_PI533915	PI533915	Kafir	10%	657140.2252213
PI533919_PI533919	PI533919	Bicolor	10%	566302.7407109
PI533921_PI533921	PI533921	Bicolor	10%	862949.8468135
PI533924_PI533924	PI533924	Caudatum	10%	587787.0171909
PI533927_PI533927	PI533927	Caudatum	10%	607953.084021201
PI533936_PI533936	PI533936	Durra	10%	603534.430893
PI533937_PI533937	PI533937	Durra	10%	615476.8024086
PI533938_PI533938	PI533938	Durra	10%	590728.8750733
PI533939_PI533939	PI533939	Guinea	10%	627191.5511451
PI533940_PI533940	PI533940	Durra	10%	646499.7498393
PI533943_PI533943	PI533943	Bicolor	10%	708969.073942
PI533948_PI533948	PI533948	Durra	10%	628132.1383908
PI533949_PI533949	PI533949	Guinea	10%	546147.8514609
PI533954_PI533954	PI533954	Durra	10%	709113.061636001
PI533955_PI533955	PI533955	Durra	10%	625719.1475897
PI533956_PI533956	PI533956	Durra	10%	579779.8490129
PI533957_PI533957	PI533957	Caudatum	10%	664756.6783665
PI533961_PI533961	PI533961	Guinea	10%	638118.9025436
PI533962_PI533962	PI533962	Guinea	10%	529237.2233698
PI533964_PI533964	PI533964	Guinea	10%	621480.0263516
PI533965_PI533965	PI533965	Guinea	10%	694552.008043
PI533967_PI533967	PI533967	Guinea	10%	655122.2669289
PI533970_PI533970	PI533970	Guinea	10%	656472.5575739
PI533972_PI533972	PI533972	Guinea	10%	504734.4105695
PI533976_PI533976	PI533976	Guinea	10%	597496.8748451
PI533979_PI533979	PI533979	Durra	10%	730269.6082875
PI533980_PI533980	PI533980	Guinea	10%	598396.0644184
PI533985_PI533985	PI533985	Guinea	10%	530116.987212
PI533986_PI533986	PI533986	Guinea	10%	551548.9853918
PI533987_PI533987	PI533987	Guinea	10%	531042.8753078
PI533989_PI533989	PI533989	Guinea	10%	573718.8223107
PI533991_PI533991	PI533991	Milo/Durra-Bicolor	10%	562387.9797473
PI533996_PI533996	PI533996	Guinea	10%	546356.5026467
PI533997_PI533997	PI533997	Durra	10%	497144.4461265
PI534009_PI534009	PI534009	Bicolor	10%	670974.6397305
PI534021_PI534021	PI534021	Bicolor	10%	619423.1024181
PI534028_PI534028	PI534028	Bicolor	10%	704243.551903901
PI534037_PI534037	PI534037	Caudatum	10%	611332.166078
PI534046_PI534046	PI534046	Guinea	10%	571055.6156534
PI534047_PI534047	PI534047	Guinea	10%	589261.7089173
PI534053_PI534053	PI534053	Kafir	10%	633180.0503936
PI534054_PI534054	PI534054	Durra	10%	538240.0787181
PI534063_PI534063	PI534063	Caudatum	10%	605904.563776
PI534070_PI534070	PI534070	Caudatum	10%	613866.6088995
PI534075_PI534075	PI534075	Caudatum	10%	559683.8706409
PI534079_PI534079	PI534079	Guinea	10%	537839.5134283
PI534088_PI534088	PI534088	Caudatum	10%	572415.8773136
PI534092_PI534092	PI534092	Caudatum	10%	640812.4573553
PI534096_PI534096	PI534096	Caudatum	10%	198606.422701
PI534097_PI534097	PI534097	Durra	10%	786194.5968433
PI534099_PI534099	PI534099	Guinea	10%	592291.6014542
PI534101_PI534101	PI534101	Guinea	10%	558115.1310325
PI534105_PI534105	PI534105	Guinea	10%	545751.2297654
PI534108_PI534108	PI534108	Guinea	10%	530901.8376158
PI534112_PI534112	PI534112	Guinea	10%	542483.3757033
PI534114_PI534114	PI534114	Guinea	10%	607816.4084524
PI534115_PI534115	PI534115	Milo/Durra-Bicolor	10%	623148.1439563
PI534116_PI534116	PI534116	Caudatum	10%	478545.3423793
PI534117_PI534117	PI534117	Caudatum	10%	513870.3276514
PI534123_PI534123	PI534123	Bicolor	10%	572640.2883881
PI534124_PI534124	PI534124	Caudatum	10%	501864.4321753
PI534127_PI534127	PI534127	Bicolor	10%	772439.0884315
PI534128_PI534128	PI534128	Bicolor	10%	791413.4332546
PI534132_PI534132	PI534132	Bicolor	10%	693843.2296415
PI534133_PI534133	PI534133	Bicolor	10%	763586.8166397
PI534135_PI534135	PI534135	Bicolor	10%	682099.2710309
PI534137_PI534137	PI534137	Bicolor	10%	701551.9977932
PI534138_PI534138	PI534138	Guinea	10%	461738.3593871
PI534139_PI534139	PI534139	Kafir	10%	766010.4102181
PI534144_PI534144	PI534144	Caudatum	10%	660727.5855275
PI534145_PI534145	PI534145	Caudatum	10%	524830.6527175
PI534148_PI534148	PI534148	Bicolor	10%	653094.4630466
PI534155_PI534155	PI534155	Bicolor	10%	572320.1294574
PI534157_PI534157	PI534157	Milo/Durra-Bicolor	10%	689873.6033626
PI534163_PI534163	PI534163	Guinea	10%	621754.9252988
PI534167_PI534167	PI534167	Bicolor	10%	662278.3016568
PI540816_PI540816	PI540816	Kafir	10%	723913.6869145
PI542406_PI542406	PI542406	Guinea	10%	505073.6597911
PI542718_PI542718	PI542718	Bicolor	10%	797454.9649417
PI548797_PI548797	PI548797	Guinea	10%	663745.0602697
PI552856_PI552856	PI552856	Milo/Durra-Bicolor	10%	617970.7459991
PI552861_PI552861	PI552861	Durra	10%	548822.3483822
PI561071_PI561071	PI561071	Kafir	10%	725246.004915399
PI561072_PI561072	PI561072	Durra	10%	668136.0713203
PI561073_PI561073	PI561073	Durra	10%	784296.3980768
PI561472_PI561472	PI561472	Milo/Durra-Bicolor	10%	808345.2781727
PI562730_PI562730	PI562730	Bicolor	10%	557607.2193666
PI564163_PI564163	PI564163	Durra	10%	529107.1024427
PI564164_PI564164	PI564164	Bicolor	10%	762298.5922981
PI564165_PI564165	PI564165	Milo/Durra-Bicolor	10%	805267.4100692
PI565121_PI565121	PI565121	Milo/Durra-Bicolor	10%	544914.1671983
PI566819_PI566819	PI566819	Durra	10%	606469.5537655
PI576130_PI576130	PI576130	Milo/Durra-Bicolor	10%	713626.0611253
PI576332_PI576332	PI576332	Durra	10%	710228.2088862
PI576333_PI576333	PI576333	Durra	10%	618050.7397315
PI576337_PI576337	PI576337	Durra	10%	548266.0499638
PI576339_PI576339	PI576339	Durra	10%	619248.5237979
PI576340_PI576340	PI576340	Durra	10%	614336.5480348
PI576345_PI576345	PI576345	Durra	10%	513702.8985071
PI576347_PI576347	PI576347	Bicolor	10%	575584.2777993
PI576348_PI576348	PI576348	Bicolor	10%	374382.5809838
PI576349_PI576349	PI576349	Bicolor	10%	424963.7918147
PI576350_PI576350	PI576350	Guinea	10%	506969.0841071
PI576352_PI576352	PI576352	Durra	10%	614998.4963586
PI576359_PI576359	PI576359	Bicolor	10%	649400.645419
PI576364_PI576364	PI576364	Durra	10%	639667.1120401
PI576366_PI576366	PI576366	Guinea	10%	564060.9280062
PI576373_PI576373	PI576373	Durra	10%	525339.7014442
PI576375_PI576375	PI576375	Bicolor	10%	683924.3353414
PI576376_PI576376	PI576376	Bicolor	10%	699086.7628634
PI576380_PI576380	PI576380	Milo/Durra-Bicolor	10%	622328.0090109
PI576381_PI576381	PI576381	Bicolor	10%	744606.671687
PI576385_PI576385	PI576385	Caudatum	10%	660995.7333328
PI576386_PI576386	PI576386	Guinea	10%	532400.7079453
PI576387_PI576387	PI576387	Guinea	10%	535962.896437
PI576390_PI576390	PI576390	Bicolor	10%	741941.613875099
PI576391_PI576391	PI576391	Bicolor	10%	750809.6923685
PI576393_PI576393	PI576393	Guinea	10%	518514.3730486
PI576394_PI576394	PI576394	Durra	10%	754146.8477796
PI576396_PI576396	PI576396	Guinea	10%	534875.6081481
PI576399_PI576399	PI576399	Guinea	10%	550857.4684021
PI576401_PI576401	PI576401	Bicolor	10%	787033.8841668
PI576418_PI576418	PI576418	Caudatum	10%	560003.2222491
PI576422_PI576422	PI576422	Durra	10%	613617.791742
PI576425_PI576425	PI576425	Bicolor	10%	678344.865713
PI576426_PI576426	PI576426	Bicolor	10%	554214.0595536
PI576428_PI576428	PI576428	Milo/Durra-Bicolor	10%	697726.0458099
PI576434_PI576434	PI576434	Guinea	10%	566708.4865738
PI576435_PI576435	PI576435	Guinea	10%	724362.2351998
PI576437_PI576437	PI576437	Guinea	10%	620322.7297471
PI585291_PI585291	PI585291	Milo/Durra-Bicolor	10%	806209.693218801
PI585295_PI585295	PI585295	Caudatum	10%	570086.386435
PI595699_PI595699	PI595699	Bicolor	10%	602957.7294937
PI595702_PI595702	PI595702	Durra	10%	619690.2597
PI595714_PI595714	PI595714	Guinea	10%	689681.0184015
PI595718_PI595718	PI595718	Guinea	10%	614092.5600835
PI595720_PI595720	PI595720	Bicolor	10%	653376.0913561
PI595739_PI595739	PI595739	Guinea	10%	522410.0375399
PI595740_PI595740	PI595740	Guinea	10%	680033.3908681
PI595741_PI595741	PI595741	Caudatum	10%	712308.9218232
PI595743_PI595743	PI595743	Caudatum	10%	717830.3363916
PI595744_PI595744	PI595744	Kafir	10%	501268.1985696
PI595745_PI595745	PI595745	Guinea	10%	483530.7732472
PI597945_PI597945	PI597945	Bicolor	10%	719294.5034843
PI597946_PI597946	PI597946	Guinea	10%	651255.4362631
PI597949_PI597949	PI597949	Durra	10%	619395.2202069
PI597950_PI597950	PI597950	Guinea	10%	477346.6616463
PI597951_PI597951	PI597951	Caudatum	10%	739324.7317239
PI597952_PI597952	PI597952	Bicolor	10%	711770.2430644
PI597957_PI597957	PI597957	Bicolor	10%	628346.7715288
PI597958_PI597958	PI597958	Durra	10%	670130.456315
PI597960_PI597960	PI597960	Caudatum	10%	462142.9500007
PI597961_PI597961	PI597961	Guinea	10%	532362.5792228
PI597964_PI597964	PI597964	Milo/Durra-Bicolor	10%	577124.7969293
PI597965_PI597965	PI597965	Guinea	10%	576167.3520951
PI597966_PI597966	PI597966	Guinea	10%	641530.7980905
PI597967_PI597967	PI597967	Milo/Durra-Bicolor	10%	576770.572080901
PI597968_PI597968	PI597968	Guinea	10%	660713.9549172
PI597971_PI597971	PI597971	Guinea	10%	529336.6647789
PI597972_PI597972	PI597972	Bicolor	10%	543438.2407857
PI597973_PI597973	PI597973	Bicolor	10%	527607.3217052
PI597976_PI597976	PI597976	Caudatum	10%	549910.2520997
PI597980_PI597980	PI597980	Guinea	10%	519814.4154222
PI597982_PI597982	PI597982	Guinea	10%	500723.5595526
PI598069_PI598069	PI598069	Bicolor	10%	704467.7653402
PI598070_PI598070	PI598070	Bicolor	10%	687214.0166756
PI601816_PI601816	PI601816	Milo/Durra-Bicolor	10%	562607.4468856
PI607931_PI607931	PI607931	Guinea	10%	534747.3413659
PI609456_PI609456	PI609456	Caudatum	10%	197689.2721639
PI613536_PI613536	PI613536	Bicolor	10%	550416.5710337
PI629034_PI629034	PI629034	Guinea	10%	562358.8193588
PI629040_PI629040	PI629040	Bicolor	10%	903334.6328223
PI629059_PI629059	PI629059	Durra	10%	552859.7812721
PI641824_PI641824	PI641824	Durra	10%	733026.9851973
PI641836_PI641836	PI641836	Durra	10%	617448.9361331
PI641849_PI641849	PI641849	Durra	10%	836371.0099874
PI641874_PI641874	PI641874	Bicolor	10%	987852.4419987
PI642791_PI642791	PI642791	Milo/Durra-Bicolor	10%	694214.5438923
PI642793_PI642793	PI642793	Durra	10%	626777.0914918
PI642992_PI642992	PI642992	Guinea	10%	707102.9903324
PI642998_PI642998	PI642998	Bicolor	10%	584585.6431389
PI651492_PI651492	PI651492	Milo/Durra-Bicolor	10%	715427.2672038
PI651496_PI651496	PI651496	Guinea	10%	555296.7557467
PI653616_PI653616	PI653616	Guinea	10%	614379.5285067
PI653617_PI653617	PI653617	Guinea	10%	558930.9173291
PI655970_PI655970	PI655970	Durra	10%	629167.0997906
PI655971_PI655971	PI655971	Bicolor	10%	905813.31473
PI655972_PI655972	PI655972	Durra	10%	621279.2729101
PI655973_PI655973	PI655973	Kafir	10%	683773.6173989
PI655974_PI655974	PI655974	Durra	10%	620947.3528327
PI655975_PI655975	PI655975	Durra	10%	724080.27864
PI655976_PI655976	PI655976	Durra	10%	622872.3575842
PI655977_PI655977	PI655977	Milo/Durra-Bicolor	10%	645088.2959397
PI655978_PI655978	PI655978	Caudatum	10%	825755.489253999
PI655979_PI655979	PI655979	Caudatum	10%	693268.4987744
PI655980_PI655980	PI655980	Bicolor	10%	593457.7879059
PI655981_PI655981	PI655981	Caudatum	10%	695763.8230394
PI655982_PI655982	PI655982	Durra	10%	547501.3122217
PI655983_PI655983	PI655983	Durra	10%	618974.4700695
PI655984_PI655984	PI655984	Kafir	10%	823180.9445368
PI655985_PI655985	PI655985	Durra	10%	722049.6546451
PI655986_PI655986	PI655986	Bicolor	10%	722488.005116099
PI655987_PI655987	PI655987	Durra	10%	605810.4481156
PI655988_PI655988	PI655988	Durra	10%	635563.6981927
PI655989_PI655989	PI655989	Durra	10%	600644.2761116
PI655990_PI655990	PI655990	Bicolor	10%	915368.6871653
PI655991_PI655991	PI655991	Durra	10%	690953.2015977
PI655992_PI655992	PI655992	Durra	10%	609370.65195
PI655993_PI655993	PI655993	Durra	10%	709618.9325359
PI655994_PI655994	PI655994	Durra	10%	666294.9740912
PI655995_PI655995	PI655995	Bicolor	10%	616461.9473593
PI655996_PI655996	PI655996	Caudatum	10%	810529.7152497
PI655997_PI655997	PI655997	Bicolor	10%	870673.375423199
PI655998_PI655998	PI655998	Caudatum	10%	647713.6857018
PI655999_PI655999	PI655999	Bicolor	10%	519660.1249046
PI656000_PI656000	PI656000	Milo/Durra-Bicolor	10%	536011.2829641
PI656001_PI656001	PI656001	Milo/Durra-Bicolor	10%	538022.6187536
PI656002_PI656002	PI656002	Durra	10%	610311.2529536
PI656003_PI656003	PI656003	Durra	10%	717593.5319194
PI656004_PI656004	PI656004	Caudatum	10%	854290.070911
PI656005_PI656005	PI656005	Durra	10%	653524.0411583
PI656006_PI656006	PI656006	Durra	10%	710636.2157886
PI656007_PI656007	PI656007	Durra	10%	541968.3956438
PI656008_PI656008	PI656008	Milo/Durra-Bicolor	10%	698740.7694183
PI656009_PI656009	PI656009	Guinea	10%	536510.8313996
PI656010_PI656010	PI656010	Caudatum	10%	772530.7983107
PI656011_PI656011	PI656011	Milo/Durra-Bicolor	10%	723289.7898845
PI656012_PI656012	PI656012	Bicolor	10%	872672.0184502
PI656013_PI656013	PI656013	Bicolor	10%	741700.3202031
PI656014_PI656014	PI656014	Caudatum	10%	637579.1730046
PI656015_PI656015	PI656015	Kafir	10%	685719.2220369
PI656016_PI656016	PI656016	Milo/Durra-Bicolor	10%	690282.1456781
PI656017_PI656017	PI656017	Bicolor	10%	907306.6923827
PI656018_PI656018	PI656018	Durra	10%	809823.6186341
PI656019_PI656019	PI656019	Durra	10%	680103.977718799
PI656020_PI656020	PI656020	Durra	10%	673660.8976089
PI656021_PI656021	PI656021	Bicolor	10%	878143.8132204
PI656022_PI656022	PI656022	Durra	10%	618045.2847995
PI656023_PI656023	PI656023	Durra	10%	614008.5556631
PI656024_PI656024	PI656024	Milo/Durra-Bicolor	10%	635324.861283801
PI656025_PI656025	PI656025	Bicolor	10%	789135.8286863
PI656026_PI656026	PI656026	Milo/Durra-Bicolor	10%	613744.257669
PI656027_PI656027	PI656027	Guinea	10%	614718.7466078
PI656028_PI656028	PI656028	Durra	10%	600759.6166666
PI656029_PI656029	PI656029	Bicolor	10%	598789.7827315
PI656031_PI656031	PI656031	Guinea	10%	514127.6774379
PI656032_PI656032	PI656032	Caudatum	10%	718512.4813997
PI656033_PI656033	PI656033	Bicolor	10%	903887.1549287
PI656034_PI656034	PI656034	Milo/Durra-Bicolor	10%	645110.4939715
PI656035_PI656035	PI656035	Guinea	10%	581630.8417689
PI656036_PI656036	PI656036	Milo/Durra-Bicolor	10%	730951.9890066
PI656037_PI656037	PI656037	Milo/Durra-Bicolor	10%	639399.2226555
PI656038_PI656038	PI656038	Durra	10%	613622.0128305
PI656039_PI656039	PI656039	Milo/Durra-Bicolor	10%	640063.1499645
PI656040_PI656040	PI656040	Caudatum	10%	770749.0309183
PI656041_PI656041	PI656041	Bicolor	10%	907459.9328024
PI656042_PI656042	PI656042	Durra	10%	803743.254545299
PI656043_PI656043	PI656043	Milo/Durra-Bicolor	10%	708522.986153
PI656044_PI656044	PI656044	Milo/Durra-Bicolor	10%	611974.0445653
PI656046_PI656046	PI656046	Bicolor	10%	732897.5147884
PI656047_PI656047	PI656047	Bicolor	10%	737780.2337915
PI656048_PI656048	PI656048	Milo/Durra-Bicolor	10%	530258.4521049
PI656049_PI656049	PI656049	Durra	10%	593205.511257301
PI656050_PI656050	PI656050	Guinea	10%	559356.872657599
PI656051_PI656051	PI656051	Milo/Durra-Bicolor	10%	695095.8427815
PI656052_PI656052	PI656052	Durra	10%	763147.894893
PI656053_PI656053	PI656053	Milo/Durra-Bicolor	10%	623850.5329161
PI656054_PI656054	PI656054	Caudatum	10%	661934.9480722
PI656055_PI656055	PI656055	Milo/Durra-Bicolor	10%	794883.2211979
PI656056_PI656056	PI656056	Milo/Durra-Bicolor	10%	719759.2016084
PI656057_PI656057	PI656057	Guinea	10%	680284.8336695
PI656058_PI656058	PI656058	Durra	10%	627635.6145768
PI656059_PI656059	PI656059	Milo/Durra-Bicolor	10%	531517.5849079
PI656060_PI656060	PI656060	Durra	10%	613788.6933884
PI656061_PI656061	PI656061	Durra	10%	552286.5318924
PI656062_PI656062	PI656062	Milo/Durra-Bicolor	10%	722670.0291676
PI656063_PI656063	PI656063	Durra	10%	550506.5406482
PI656064_PI656064	PI656064	Bicolor	10%	827321.2102311
PI656065_PI656065	PI656065	Kafir	10%	686988.0144678
PI656066_PI656066	PI656066	Bicolor	10%	696107.4402312
PI656067_PI656067	PI656067	Bicolor	10%	727105.364504
PI656068_PI656068	PI656068	Milo/Durra-Bicolor	10%	710782.8823755
PI656069_PI656069	PI656069	Guinea	10%	520013.2589327
PI656070_PI656070	PI656070	Guinea	10%	554442.8108374
PI656071_PI656071	PI656071	Guinea	10%	596021.7396255
PI656072_PI656072	PI656072	Bicolor	10%	787619.8287625
PI656073_PI656073	PI656073	Kafir	10%	701908.7601618
PI656074_PI656074	PI656074	Kafir	10%	572630.8288239
PI656075_PI656075	PI656075	Guinea	10%	563146.9636219
PI656076_PI656076	PI656076	Milo/Durra-Bicolor	10%	701080.512772101
PI656077_PI656077	PI656077	Bicolor	10%	617196.6019703
PI656078_PI656078	PI656078	Caudatum	10%	196259.647122
PI656079_PI656079	PI656079	Caudatum	10%	586763.4756999
PI656080_PI656080	PI656080	Durra	10%	542728.6485532
PI656081_PI656081	PI656081	Caudatum	10%	168870.2186184
PI656082_PI656082	PI656082	Bicolor	10%	772915.3946386
PI656083_PI656083	PI656083	Caudatum	10%	655400.662111901
PI656085_PI656085	PI656085	Guinea	10%	555527.5857894
PI656086_PI656086	PI656086	Bicolor	10%	619329.7479663
PI656087_PI656087	PI656087	Guinea	10%	533655.9693472
PI656088_PI656088	PI656088	Bicolor	10%	736548.5858758
PI656089_PI656089	PI656089	Bicolor	10%	730667.8538859
PI656090_PI656090	PI656090	Guinea	10%	534369.7020771
PI656091_PI656091	PI656091	Bicolor	10%	753491.6283192
PI656092_PI656092	PI656092	Bicolor	10%	690858.0883429
PI656093_PI656093	PI656093	Caudatum	10%	528350.1262382
PI656094_PI656094	PI656094	Caudatum	10%	532333.9169867
PI656095_PI656095	PI656095	Caudatum	10%	620049.4215328
PI656096_PI656096	PI656096	Caudatum	10%	537476.5767184
PI656097_PI656097	PI656097	Bicolor	10%	655640.1757058
PI656098_PI656098	PI656098	Guinea	10%	468469.100931
PI656099_PI656099	PI656099	Bicolor	10%	713783.7299316
PI656100_PI656100	PI656100	Bicolor	10%	789210.7997963
PI656101_PI656101	PI656101	Kafir	10%	695943.9575086
PI656102_PI656102	PI656102	Guinea	10%	471871.2095802
PI656103_PI656103	PI656103	Bicolor	10%	655514.7882654
PI656104_PI656104	PI656104	Caudatum	10%	722014.789510101
PI656105_PI656105	PI656105	Guinea	10%	529683.8855361
PI656106_PI656106	PI656106	Guinea	10%	513277.2658461
PI656107_PI656107	PI656107	Kafir	10%	693523.3514774
PI656108_PI656108	PI656108	Bicolor	10%	579996.0799163
PI656109_PI656109	PI656109	Kafir	10%	649071.0816758
PI656110_PI656110	PI656110	Bicolor	10%	633424.8503433
PI656111_PI656111	PI656111	Guinea	10%	520432.2950257
PI656112_PI656112	PI656112	Durra	10%	595763.9320748
PI656113_PI656113	PI656113	Bicolor	10%	673946.3009744
PI656114_PI656114	PI656114	Bicolor	10%	598881.3734704
PI656115_PI656115	PI656115	Kafir	10%	794641.2809844
PI656116_PI656116	PI656116	Guinea	10%	568679.7885198
PI656118_PI656118	PI656118	Guinea	10%	523795.2233258
PI656119_PI656119	PI656119	Caudatum	10%	583172.9075617
PI656120_PI656120	PI656120	Guinea	10%	675520.3809392
PI656121_PI656121	PI656121	Guinea	10%	574050.9201951
PI659691_PI659691	PI659691	Milo/Durra-Bicolor	10%	609818.529152
PI659694_PI659694	PI659694	Guinea	10%	771612.5848505
PI659695_PI659695	PI659695	Bicolor	10%	639426.1891547
PI659696_PI659696	PI659696	Guinea	10%	637162.7403763
PI659753_PI659753	PI659753	Bicolor	10%	757543.8297215
