sample	PI	Race	cutoff	Abs_genetic_load
PI656029_PI656029	PI656029	Bicolor	1%	74683.2304356
PI656031_PI656031	PI656031	Guinea	1%	65585.5562625
PI656032_PI656032	PI656032	Caudatum	1%	88128.0621853
PI656033_PI656033	PI656033	Bicolor	1%	112697.2130934
PI656034_PI656034	PI656034	Milo/Durra-Bicolor	1%	79252.4841775
PI656035_PI656035	PI656035	Guinea	1%	72960.8108442
PI656036_PI656036	PI656036	Milo/Durra-Bicolor	1%	90973.8719152
PI656037_PI656037	PI656037	Milo/Durra-Bicolor	1%	81056.6463448
PI656038_PI656038	PI656038	Durra	1%	74636.5932612
PI656039_PI656039	PI656039	Milo/Durra-Bicolor	1%	77599.4158844
PI656040_PI656040	PI656040	Caudatum	1%	97162.4385451
PI656041_PI656041	PI656041	Bicolor	1%	113526.4527792
PI656042_PI656042	PI656042	Durra	1%	98253.4551764
PI656043_PI656043	PI656043	Milo/Durra-Bicolor	1%	87758.5976307
PI656044_PI656044	PI656044	Milo/Durra-Bicolor	1%	76507.9391997
PI656046_PI656046	PI656046	Bicolor	1%	91371.1128917
PI656047_PI656047	PI656047	Bicolor	1%	90018.9053887
PI656048_PI656048	PI656048	Milo/Durra-Bicolor	1%	63989.531743
PI656049_PI656049	PI656049	Durra	1%	73404.5283006
PI656050_PI656050	PI656050	Guinea	1%	69084.5562134
PI656051_PI656051	PI656051	Milo/Durra-Bicolor	1%	86967.2913635
PI656052_PI656052	PI656052	Durra	1%	94131.3420902
PI656053_PI656053	PI656053	Milo/Durra-Bicolor	1%	75198.8273962
PI656054_PI656054	PI656054	Caudatum	1%	81780.9420016
PI656055_PI656055	PI656055	Milo/Durra-Bicolor	1%	98436.4561706001
PI656056_PI656056	PI656056	Milo/Durra-Bicolor	1%	88936.1647856
PI656057_PI656057	PI656057	Guinea	1%	85403.0694482
PI656058_PI656058	PI656058	Durra	1%	76566.6811476
PI656059_PI656059	PI656059	Milo/Durra-Bicolor	1%	63843.4384506
PI656060_PI656060	PI656060	Durra	1%	75081.4796043
PI656061_PI656061	PI656061	Durra	1%	68361.2707957
PI656062_PI656062	PI656062	Milo/Durra-Bicolor	1%	91580.6186042
PI656063_PI656063	PI656063	Durra	1%	66754.9089303
PI656064_PI656064	PI656064	Bicolor	1%	104650.3177963
PI656065_PI656065	PI656065	Kafir	1%	85809.701492
PI656066_PI656066	PI656066	Bicolor	1%	83967.5927305
PI656067_PI656067	PI656067	Bicolor	1%	90724.8534675
PI656068_PI656068	PI656068	Milo/Durra-Bicolor	1%	86756.9044138
PI656069_PI656069	PI656069	Guinea	1%	64186.1801372
PI656070_PI656070	PI656070	Guinea	1%	69245.058017
PI656071_PI656071	PI656071	Guinea	1%	75314.6600162
PI656072_PI656072	PI656072	Bicolor	1%	97870.8529834
PI656073_PI656073	PI656073	Kafir	1%	87741.0222924
PI656074_PI656074	PI656074	Kafir	1%	69834.4632753
PI656075_PI656075	PI656075	Guinea	1%	69229.7374237
PI656076_PI656076	PI656076	Milo/Durra-Bicolor	1%	87424.3411635
PI656077_PI656077	PI656077	Bicolor	1%	75744.603053
PI656078_PI656078	PI656078	Caudatum	1%	23479.9364026
PI656079_PI656079	PI656079	Caudatum	1%	72519.3408345
PI656080_PI656080	PI656080	Durra	1%	67808.6578324
PI656081_PI656081	PI656081	Caudatum	1%	19546.8576634
PI656082_PI656082	PI656082	Bicolor	1%	96354.4213144
