sample	PI	Race	Abs_genetic_load
PI565121_PI565121	PI565121	Milo/Durra-Bicolor	67995.9064855
PI566819_PI566819	PI566819	Durra	74049.1386637
PI576130_PI576130	PI576130	Milo/Durra-Bicolor	88648.2617136
PI576332_PI576332	PI576332	Durra	86644.1371925
PI576333_PI576333	PI576333	Durra	75755.5370804
PI576337_PI576337	PI576337	Durra	66862.4162184001
PI576339_PI576339	PI576339	Durra	76411.9946065
PI576340_PI576340	PI576340	Durra	75640.1066562
PI576345_PI576345	PI576345	Durra	62546.7358266
PI576347_PI576347	PI576347	Bicolor	71827.5248281
PI576348_PI576348	PI576348	Bicolor	44963.7334765
PI576349_PI576349	PI576349	Bicolor	52397.1819703
PI576350_PI576350	PI576350	Guinea	62641.0720234
PI576352_PI576352	PI576352	Durra	75748.8322685
PI576359_PI576359	PI576359	Bicolor	81659.8696818
PI576364_PI576364	PI576364	Durra	78842.1074032
PI576366_PI576366	PI576366	Guinea	69514.982623
PI576373_PI576373	PI576373	Durra	66001.8322479
PI576375_PI576375	PI576375	Bicolor	86179.0463521
PI576376_PI576376	PI576376	Bicolor	85597.5168246
PI576380_PI576380	PI576380	Milo/Durra-Bicolor	76217.9293031
PI576381_PI576381	PI576381	Bicolor	91630.7723388
PI576385_PI576385	PI576385	Caudatum	80896.2636798
PI576386_PI576386	PI576386	Guinea	66566.4622301
PI576387_PI576387	PI576387	Guinea	67070.362079
PI576390_PI576390	PI576390	Bicolor	93456.6237758
PI576391_PI576391	PI576391	Bicolor	92908.9708054
PI576393_PI576393	PI576393	Guinea	63589.3184152
PI576394_PI576394	PI576394	Durra	91717.0435415
PI576396_PI576396	PI576396	Guinea	67121.7508249
PI576399_PI576399	PI576399	Guinea	70582.2814388
PI576401_PI576401	PI576401	Bicolor	98435.2731192
PI576418_PI576418	PI576418	Caudatum	68490.4486033001
PI576422_PI576422	PI576422	Durra	75184.8527536
PI576425_PI576425	PI576425	Bicolor	84794.4674413001
PI576426_PI576426	PI576426	Bicolor	68754.7221227
PI576428_PI576428	PI576428	Milo/Durra-Bicolor	87990.6369388
PI576434_PI576434	PI576434	Guinea	70851.6459198
PI576435_PI576435	PI576435	Guinea	90460.0073305
PI576437_PI576437	PI576437	Guinea	78145.0696884
PI585291_PI585291	PI585291	Milo/Durra-Bicolor	100697.149335
PI585295_PI585295	PI585295	Caudatum	70733.4658024
PI595699_PI595699	PI595699	Bicolor	74412.646535
PI595702_PI595702	PI595702	Durra	75292.5102529
PI595714_PI595714	PI595714	Guinea	86248.3666593
PI595718_PI595718	PI595718	Guinea	75249.0045084
PI595720_PI595720	PI595720	Bicolor	82538.2230887
PI595739_PI595739	PI595739	Guinea	64896.2911258
PI595740_PI595740	PI595740	Guinea	83428.0460599
PI595741_PI595741	PI595741	Caudatum	89236.1860173
PI595743_PI595743	PI595743	Caudatum	87350.4852869
PI595744_PI595744	PI595744	Kafir	60796.9406234
PI595745_PI595745	PI595745	Guinea	60347.6171474
PI597945_PI597945	PI597945	Bicolor	88242.1509454
