"Taxa"	"HN"	"LN"
"51"	"PI533871"	25.7140511306733	30.4278438376875
"52"	"PI533876"	28.1666666666727	20.4999999999996
"53"	"PI533877"	35.8884965634475	17.8786986196381
"54"	"PI533878"	33.5897903452146	23.4482535115267
"55"	"PI533882"	NA	NA
"56"	"PI533901"	28.1666666666709	14.388021588243
"57"	"PI533902"	41.7380357933495	14.9017386042614
"58"	"PI533903"	34.0333333333372	23.3333333333329
"59"	"PI533910"	34.366666666666	23.2278438376875
"60"	"PI533911"	27.3539953804594	25.7355111425886
"61"	"PI533912"	46.5563727749388	20.4902301271903
"62"	"PI533913"	NA	NA
"63"	"PI533915"	42.6898152869371	23.0453652863048
"64"	"PI533919"	43.0872333207839	24.5235634605237
"65"	"PI533921"	NA	20.0999999999997
"66"	"PI533924"	31.9172702624071	15.6039024663786
"67"	"PI533927"	32.3114155761184	20.1666666666663
"68"	"PI533936"	37.4666666666658	18.9453652863048
"69"	"PI533937"	32.5372504310923	24.982040071304
"70"	"PI533938"	33.3517127221992	20.7350719375947
"71"	"PI533939"	35.7907597974119	24.1666666666663
"72"	"PI533940"	39.7218298967805	15.3149201781934
"73"	"PI533943"	36.8478656458814	23.0999999999996
"74"	"PI533948"	39.0872333207834	22.4666666666665
"75"	"PI533949"	41.8850460555327	20.9355111425886
"76"	"PI533954"	39.612807769793	25.1350719375947
"77"	"PI533955"	33.3000000000062	24.0999999999997
"78"	"PI533956"	NA	NA
"79"	"PI533957"	37.9739111879735	25.1611771710208
"80"	"PI533961"	42.6244837518734	25.2945105043542
"81"	"PI533962"	39.4	18.5350719375948
"82"	"PI533964"	45.8666666667336	22.1175665917715
"83"	"PI533965"	41.7405778546398	18.3175665917715
"84"	"PI533967"	35.0072445213069	16.8999999999999
"85"	"PI533970"	31.5230893382662	27.2999999999999
"86"	"PI533972"	46.9872333207832	20.3999999999996
"87"	"PI533976"	34.5000000000024	15.1333333333332
"88"	"PI533979"	44.4139084176796	19.768844475922
"89"	"PI533980"	30.527006436023	16.2999999999999
"90"	"PI533985"	42.3380357933487	20.6854658199428
"91"	"PI533986"	30.4447489095132	23.05
"92"	"PI533987"	37.9000000000044	20.3453652863048
"93"	"PI533989"	39.65389998745	22.4333333333331
"94"	"PI533991"	40.4000000000049	23.5815868448601
"95"	"PI533996"	32.7736430373433	17.6666666666663
"96"	"PI533997"	42.5333333333381	21.2355111425886
"97"	"PI534009"	49.1333744239054	23.956896793857
"98"	"PI534021"	27.5772818814579	16.7407276194934
"99"	"PI534028"	22.9390414359883	23.4149201781934
"100"	"PI534037"	33.1000000000057	20.4453652863048
"101"	"PI534046"	20.5807177973399	23.1611771710208
"102"	"PI534047"	31.5000000000026	18.4333333333332
"103"	"PI534053"	28.9131282983121	19.9372357997119
"104"	"PI534054"	35.7999999999994	23.1445105043542
"105"	"PI534063"	35.4691388593655	19.2815868448601
"106"	"PI534070"	38.3333333334005	21.7187991532761
"107"	"PI534075"	31.1805158023425	18.4153734046374
"108"	"PI534079"	31.3312772619136	27.2187991532761
"109"	"PI534088"	NA	NA
"110"	"PI534092"	43.9401313882532	24.3487067379707
"111"	"PI534096"	39.533333333401	17.956896793857
"112"	"PI534097"	38.2333333333374	21.8705691330453
"113"	"PI534099"	29.7384965634477	23.5487067379707
"114"	"PI534101"	23.5807177973392	22.0153734046373
"115"	"PI534105"	34.2230893382665	20.3073942861601
"116"	"PI534108"	33.5380357933494	23.8355111425886
"117"	"PI534112"	35.8439485481253	22.6684052709281
"118"	"PI534114"	41.3774190605838	21.2842332584382
"119"	"PI534115"	37.4000842369423	24.7499999999997
"120"	"PI534116"	34.5858472113936	20.9333333333332
"121"	"PI534117"	40.511415576117	24.2854658199428
"122"	"PI534123"	35.318660097419	23.1999999999996
"123"	"PI534124"	34.3517127221994	25.1982535115267
"124"	"PI534127"	33.7666666666689	20.5333333333333
"125"	"PI534128"	43.8230893382664	24.3333333333331
"126"	"PI534132"	36.9961411031258	17.088021588243
"127"	"PI534133"	36.6517127221994	19.9153734046374
"128"	"PI534135"	47.2666666666708	20.488021588243
"129"	"PI534137"	35.7333333334008	20.3372357997119
"130"	"PI534138"	NA	NA
"131"	"PI534139"	32.3000842369472	16.6213549215763
"132"	"PI534144"	35.4333333333392	19.7333333333332
"133"	"PI534145"	34.4666666666703	24.6546882549096
"134"	"PI534148"	29.8873287137945	26.688021588243
"135"	"PI534155"	28.5862314008074	14.1499999999997
"136"	"PI534157"	53.14057785464	23.5342332584382
"137"	"PI534163"	28.8608022905786	20.4333333333329
"138"	"PI534167"	40.1859563900587	21.4999999999999
"139"	"PI540816"	NA	NA
"140"	"PI542406"	NA	NA
"141"	"PI542718"	45.1745620345723	21.6666666666666
"142"	"PI548797"	35.7384965634473	17.068844475922
"143"	"PI552856"	44.5538999874498	18.9740609528267
"144"	"PI552861"	NA	NA
"145"	"PI561071"	37.677281881458	14.3487067379707
"146"	"PI561072"	39.3279065684285	21.9235634605237
"147"	"PI561073"	33.7667509036117	21.5487067379707
"148"	"PI561472"	34.0714775947489	24.5684052709281
"149"	"PI562730"	NA	NA
"150"	"PI564163"	38.7643734576441	19.2973316203106
"151"	"PI564164"	48.2961411031214	22.1372357997119
"152"	"PI564165"	39.0372504310956	20.6333333333333
"153"	"PI565121"	34.1106152147914	15.1499999999999
"154"	"PI566819"	35.7039170978238	19.9902301271903
"155"	"PI576130"	18.0165233233691	19.282040071304
"156"	"PI576332"	40.3380357933494	21.4666666666666
"157"	"PI576333"	34.7333333334003	17.1666666666664
"158"	"PI576337"	37.4539953804598	16.456896793857
"159"	"PI576339"	25.9889631532893	19.9453652863048
"160"	"PI576340"	26.3666666666711	15.082040071304
"161"	"PI576345"	43.988496563447	23.4666666666666
"162"	"PI576347"	39.5172702624093	19.6333333333332
"163"	"PI576348"	37.937250431092	25.9453652863048
"164"	"PI576349"	NA	NA
"165"	"PI576350"	NA	NA
"166"	"PI576352"	32.9588449676347	14.8999999999999
"167"	"PI576359"	34.8862314008088	17.1333333333332
