"Taxa"	"HN"	"LN"
"135"	"PI534155"	4.50000000036151	3.57853199213018
"136"	"PI534157"	6	3.75000000000007
"137"	"PI534163"	5.74999999987981	4
"138"	"PI534167"	6.2499999999922	4.3333333333333
"139"	"PI540816"	NA	NA
"140"	"PI542406"	NA	NA
"141"	"PI542718"	5.16666666688046	3.66666666666672
"142"	"PI548797"	5.5	3.16666666666667
"143"	"PI552856"	5.83333333333333	3.49999999999998
"144"	"PI552861"	NA	NA
"145"	"PI561071"	6.16666666666667	4.16666666666667
"146"	"PI561072"	5.50000000021379	3.51410472622633
"147"	"PI561073"	5.9999999999922	4.50000000000001
"148"	"PI561472"	4.66666666687266	3.77804176449092
"149"	"PI562730"	NA	NA
"150"	"PI564163"	5.31573380437932	3.58477580921627
"151"	"PI564164"	6.7499999999922	4.16666666666663
"152"	"PI564165"	5.49999999969675	3.66666666666666
"153"	"PI565121"	5	3.00000000000006
"154"	"PI566819"	5.33333333303008	3.50000000000006
"155"	"PI576130"	4.66666666651114	3.3333333333334
"156"	"PI576332"	6	4.28732635747795
"157"	"PI576333"	5.5	4.23489725013378
"158"	"PI576337"	5.33333333354712	3.33333333333334
"159"	"PI576339"	5.49999999969675	4.16666666666666
"160"	"PI576340"	5	4
"161"	"PI576345"	5.5	3.91363797161169
"162"	"PI576347"	5.83333333300668	3.50000000000001
"163"	"PI576348"	5.83333333303008	3.40156391680044
"164"	"PI576349"	NA	NA
"165"	"PI576350"	NA	NA
"166"	"PI576352"	4.66666666651114	3.50000000000007
"167"	"PI576359"	7.16666666702818	4.5
"168"	"PI576364"	4.83333333353932	4.00000000000007
"169"	"PI576366"	NA	NA
"170"	"PI576373"	5.83333333333333	4.3333333333333
"171"	"PI576375"	4	2.54762776614103
"172"	"PI576376"	5.00000000020599	3.77804176449092
"173"	"PI576380"	6.33333333333334	3.58030463827836
"174"	"PI576381"	5.83333333303008	3.680771392893
"175"	"PI576385"	6	3.98784612350096
"176"	"PI576386"	NA	4.65451279016763
"177"	"PI576387"	NA	NA
"178"	"PI576390"	5.33333333354712	3.16666666666666
"179"	"PI576391"	NA	NA
"180"	"PI576393"	5.33333333333334	3.66666666666666
"181"	"PI576394"	6.33333333333333	4.49999999999997
"182"	"PI576396"	6	5.49999999999997
"183"	"PI576399"	6.16666666666667	4.16666666666667
"184"	"PI576401"	NA	NA
"185"	"PI576418"	NA	NA
"186"	"PI576422"	5.16666666666667	3.83333333333335
"187"	"PI576425"	6	3.45399302414462
"188"	"PI576426"	4.25	3.54762776614103
"189"	"PI576428"	4.66666666666667	3.16666666666672
"190"	"PI576434"	6.33333333333334	4.76672354015335
"191"	"PI576435"	NA	NA
"192"	"PI576437"	NA	NA
"193"	"PI585291"	NA	NA
"194"	"PI585295"	NA	NA
"195"	"PI595699"	5.5	3.99999999999998
"196"	"PI595702"	5.33333333353932	3.32117945683429
"197"	"PI595714"	5.16666666702818	3.99999999999996
"198"	"PI595718"	5.16666666654648	4.23489725013378
"199"	"PI595720"	4.83333333317781	3.58030463827836
"200"	"PI595739"	5.83333333321314	3.95399302414462
"201"	"PI595740"	4.66666666666667	3.83333333333335
"202"	"PI595741"	6.00000000036151	3.66666666666663
"203"	"PI595743"	5.49999999984448	4.14126250813739
"204"	"PI595744"	5.75000000036151	4.12065969081129
"205"	"PI595745"	5.4999999999922	3.50000000000006
"206"	"PI597945"	6	4.23489725013378
"207"	"PI597946"	6.00000000036151	3.82117945683429
"208"	"PI597949"	NA	NA
"209"	"PI597950"	4.5	3.99999999999998
"210"	"PI597951"	6	3.83333333333332
"211"	"PI597952"	6.4999999999922	4.33333333333332
"212"	"PI597957"	5.5	3.66666666666665
"213"	"PI597958"	5.66666666666667	3.23489725013377
"214"	"PI597960"	5.16666666702818	3.66666666666665
"215"	"PI597961"	5.33333333303008	4.11137509782425
"216"	"PI597964"	5.16666666666667	3.50000000000001
"217"	"PI597965"	4.6666666668066	3.99999999999996
"218"	"PI597966"	5.33333333333333	3.49519865879685
"219"	"PI597967"	NA	NA
"220"	"PI597968"	4.1666666668066	3.2142944328077
"221"	"PI597971"	5.66666666687266	4.16666666666666
"222"	"PI597972"	5.16666666666667	4
"223"	"PI597973"	5.9999999999922	3.83333333333332
"224"	"PI597976"	5	3.76672354015336
"225"	"PI597980"	4.66666666666667	3.66666666666667
"226"	"PI597982"	6.66666666666667	3.93339020682002
"227"	"PI598069"	NA	NA
