species	sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	abs_per_ndel	wild_median_abs_per_ndel	ratio_vs_wild	total_snp	abs_load	abs_per_total_snp	abs_per_1k_snp
maize	[157]282set_I29:GT	improved	-74843.433505	13255	10	5.64643029083365	5.59556210133887	1.009090809569	22982800	74843.433505	0.00325649762017683	3.25649762017683
maize	[158]282set_IA2132Goodman-Buckler:GT	improved	-75966.998832	13444	10	5.65062472716454	5.59556210133887	1.00984041010151	22982800	75966.998832	0.00330538484571071	3.30538484571071
maize	[159]282set_Ia5125:GT	improved	-77788.702643	13757	10	5.65448154706695	5.59556210133887	1.01052967417053	22982800	77788.702643	0.00338464863476165	3.38464863476165
maize	[160]282set_IDS28:GT	improved	-76479.355582	13545	10	5.64631639586563	5.59556210133887	1.00907045505127	22982800	76479.355582	0.00332767789747115	3.32767789747115
maize	[161]282set_IDS69:GT	improved	-77648.388664	13686	10	5.67356339792489	5.59556210133887	1.01393985004069	22982800	77648.388664	0.00337854346137111	3.37854346137111
maize	[162]282set_IDS91:GT	improved	-77537.314333	13701	10	5.65924489694183	5.59556210133887	1.01138094698077	22982800	77537.314333	0.00337371052843866	3.37371052843866
maize	[163]282set_Il101:GT	improved	-79491.02643	14076	10	5.64727382992327	5.59556210133887	1.00924156101708	22982800	79491.02643	0.0034587181035383	3.4587181035383
maize	[164]282set_Il14H:GT	improved	-79166.412521	14032	10	5.64184809870296	5.59556210133887	1.00827191201274	22982800	79166.412521	0.00344459389286771	3.44459389286771
maize	[165]282set_ILLHy:GT	improved	-67129.715946	11829	10	5.67501191529292	5.59556210133887	1.01419871900538	22982800	67129.715946	0.00292086760299006	2.92086760299006
maize	[166]282set_K148:GT	improved	-76117.719841	13469	10	5.65132673851065	5.59556210133887	1.00996586869413	22982800	76117.719841	0.00331194283729572	3.31194283729572
maize	[167]282set_K4:GT	improved	-74338.49264	13143	10	5.6561281777372	5.59556210133887	1.01082394856878	22982800	74338.49264	0.00323452723950084	3.23452723950084
maize	[168]282set_K55:GT	improved	-74843.614266	13201	10	5.66954126702523	5.59556210133887	1.01322104273825	22982800	74843.614266	0.00325650548523244	3.25650548523244
maize	[169]282set_K64:GT	improved	-73839.063107	13084	10	5.6434624814277	5.59556210133887	1.00856042328212	22982800	73839.063107	0.00321279666128583	3.21279666128583
maize	[170]282set_Ki11:GT	improved	-78887.449076	13980	10	5.64287904692418	5.59556210133887	1.00845615591935	22982800	78887.449076	0.00343245597037785	3.43245597037785
maize	[171]282set_Ki14:GT	improved	-78648.660319	13959	10	5.63426178945483	5.59556210133887	1.00691613950754	22982800	78648.660319	0.00342206608067772	3.42206608067772
maize	[172]282set_Ki2021:GT	improved	-78679.555358	13954	10	5.63849472251684	5.59556210133887	1.0076726199085	22982800	78679.555358	0.0034234103485215	3.4234103485215
