species	sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	abs_per_ndel	wild_median_abs_per_ndel	ratio_vs_wild
maize	[657]ji444:GT	improved	-87114.822831	15365	10	5.66969234175073	5.59556210133887	1.01324804176405
maize	[658]ji53:GT	improved	-80612.2047	14252	10	5.65620296800449	5.59556210133887	1.01083731456597
maize	[659]ji533:GT	improved	-83101.27564	14659	10	5.66895938604271	5.59556210133887	1.01311705300997
maize	[660]ji63:GT	improved	-74701.899525	13206	10	5.65666360177192	5.59556210133887	1.01091963583398
maize	[661]ji833:GT	improved	-75052.033948	13283	10	5.65023217255138	5.59556210133887	1.00977025546717
maize	[662]ji846:GT	improved	-79997.927126	14105	10	5.67160064700461	5.59556210133887	1.01358908082667
maize	[663]ji853:GT	improved	-82403.402817	14530	10	5.67125965705437	5.59556210133887	1.01352814147079
maize	[664]ji870:GT	improved	-57114.598261	10073	10	5.67006832731063	5.59556210133887	1.01331523529226
maize	[665]jian1495a:GT	improved	-77338.447736	13678	10	5.65422194297412	5.59556210133887	1.0104832795299
maize	[666]jian1495b:GT	improved	-77070.291982	13613	10	5.66152148549181	5.59556210133887	1.01178780307651
maize	[667]jiao05:GT	improved	-74741.77879	13214	10	5.65625690858181	5.59556210133887	1.01084695445135
maize	[668]jiao3:GT	improved	-79715.198588	14096	10	5.65516448552781	5.59556210133887	1.01065172418955
maize	[669]jiao51:GT	improved	-83386.765121	14790	10	5.63805038005409	5.59556210133887	1.00759321010932
maize	[670]jingnuo2:GT	improved	-81116.432252	14310	10	5.66851378420685	5.59556210133887	1.01303741814438
maize	[671]jinsui54:GT	improved	-84465.467739	14873	10	5.67911435076985	5.59556210133887	1.01493187778418
maize	[672]jiu138-5:GT	improved	-79366.723736	14011	10	5.66460093754907	5.59556210133887	1.01233814136272
maize	[673]jiu22:GT	improved	-77197.695454	13677	10	5.64434418761424	5.59556210133887	1.00871799568871
maize	[674]jiutai1:GT	improved	-68898.456192	12137	10	5.67672869671253	5.59556210133887	1.01450553025839
maize	[675]K10:GT	improved	-76495.505627	13481	10	5.67431982990876	5.59556210133887	1.01407503431175
maize	[676]K12:GT	improved	-84527.985245	14905	10	5.67111608487085	5.59556210133887	1.0135024832472
maize	[677]K14:GT	improved	-80270.978495	14107	10	5.69015229992203	5.59556210133887	1.01690450340289
maize	[678]K22:GT	improved	-77177.07501	13606	10	5.67228244965456	5.59556210133887	1.01371092786145
maize	[679]K514:GT	improved	-83332.465704	14719	10	5.66155755852979	5.59556210133887	1.01179424979934
maize	[680]Ki11:GT	improved	-79492.516458	14078	10	5.64657738727092	5.59556210133887	1.00911709762275
maize	[681]Ki21:GT	improved	-79609.079382	14066	10	5.65968145755723	5.59556210133887	1.01145896606223
maize	[682]KI3:GT	improved	-80559.071643	14251	10	5.65287149273735	5.59556210133887	1.01024193644188
maize	[683]KP3130:GT	improved	-74082.634279	13103	10	5.653868143097	5.59556210133887	1.01042005087285
maize	[684]Ky21:GT	improved	-74368.954834	13116	10	5.67009414714852	5.59556210133887	1.01331984963438
maize	[685]L005:GT	improved	-85217.559347	14996	10	5.68268600606829	5.59556210133887	1.01557017921552
maize	[686]L05-6:GT	improved	-48841.841798	8553	10	5.71049243516895	5.59556210133887	1.0205395511208
maize	[687]L061F:GT	improved	-74303.340309	13065	10	5.68720553455798	5.59556210133887	1.01637787796103
maize	[688]L061M:GT	improved	-73430.946842	12937	10	5.67604134204221	5.59556210133887	1.01438269100509
maize	[689]L069:GT	improved	-83072.638146	14679	10	5.65928456611486	5.59556210133887	1.01138803637989
maize	[690]L-1:GT	improved	-85229.954952	15069	10	5.65597949114075	5.59556210133887	1.01079737633283
maize	[691]L105:GT	improved	-73939.908785	13065	10	5.65938834940681	5.59556210133887	1.0114065838091
maize	[692]L127:GT	improved	-75941.416952	13416	10	5.6605111025641	5.59556210133887	1.01160723445634
maize	[693]L135:GT	improved	-77288.064386	13650	10	5.66212925904762	5.59556210133887	1.01189642014568
maize	[694]L139:GT	improved	-78180.756072	13792	10	5.66855829988399	5.59556210133887	1.01304537367705
maize	[695]L473:GT	improved	-75266.813469	13289	10	5.6638432891113	5.59556210133887	1.01220273969546
maize	[696]L578:GT	improved	-74643.700789	13162	10	5.6711518605835	5.59556210133887	1.01350887683412
maize	[697]La2-4:GT	improved	-50254.456211	8856	10	5.67462242671635	5.59556210133887	1.0141291123118
maize	[698]lan766-4-2:GT	improved	-70248.227365	12399	10	5.66563653238164	5.59556210133887	1.01252321567944
maize	[699]LD61:GT	improved	-80376.520314	14229	10	5.64878208686485	5.59556210133887	1.00951110622349
maize	[700]LH1:GT	improved	-70774.119952	12473	10	5.67418583756915	5.59556210133887	1.01405108813134
maize	[701]LH119:GT	improved	-11936.120368	2126	10	5.61435577046096	5.59556210133887	1.00335867403162
maize	[702]LH123HT:GT	improved	-75863.725434	13376	10	5.671630190939	5.59556210133887	1.01359436071345
maize	[703]LH127:GT	improved	-78309.202056	13834	10	5.66063337111465	5.59556210133887	1.01162908544259
maize	[704]LH128:GT	improved	-79771.508143	14090	10	5.66156906621718	5.59556210133887	1.01179630637332
maize	[705]LH132:GT	improved	-18412.604003	3268	10	5.63421175122399	5.59556210133887	1.00690719702242
maize	[706]LH143:GT	improved	-61657.903484	10873	10	5.67073516821484	5.59556210133887	1.01343440846774
maize	[707]LH145:GT	improved	-65275.659392	11508	10	5.67219841779632	5.59556210133887	1.0136959102713
maize	[708]LH146HT:GT	improved	-43735.657464	7772	10	5.62733626659805	5.59556210133887	1.00567845815733
maize	[709]LH149:GT	improved	-18684.905756	3297	10	5.66724469396421	5.59556210133887	1.01281061514949
maize	[710]LH150:GT	improved	-78412.584835	13879	10	5.64972871496506	5.59556210133887	1.00968028102364
maize	[711]LH156:GT	improved	-78651.269896	13838	10	5.68371657002457	5.59556210133887	1.01575435444897
maize	[712]LH160:GT	improved	-75364.798057	13289	10	5.67121664963504	5.59556210133887	1.01352045548347
maize	[713]LH162:GT	improved	-77143.473618	13622	10	5.6631532534136	5.59556210133887	1.01207942130757
maize	[714]LH190:GT	improved	-16273.527095	2887	10	5.63682961378594	5.59556210133887	1.00737504323957
maize	[715]LH191:GT	improved	-42780.904802	7590	10	5.63648284611331	5.59556210133887	1.00731307132927
maize	[716]LH192:GT	improved	-26511.040264	4679	10	5.6659628689891	5.59556210133887	1.01258153629166
maize	[717]LH193:GT	improved	-26884.09761	4721	10	5.69457691378945	5.59556210133887	1.01769523966625
maize	[718]LH194:GT	improved	-27880.179933	4938	10	5.6460469690158	5.59556210133887	1.00902230495572
maize	[719]LH196:GT	improved	-12986.85765	2307	10	5.62932711313394	5.59556210133887	1.00603424842466
maize	[720]LH202:GT	improved	-8507.651595	1487	10	5.72135278749159	5.59556210133887	1.02248043786747
maize	[721]LH205:GT	improved	-21979.024854	3905	10	5.62843146069142	5.59556210133887	1.00587418364005
maize	[722]LH208:GT	improved	-36769.861843	6468	10	5.68488896768708	5.59556210133887	1.01596387721742
maize	[723]LH215:GT	improved	-80529.975948	14181	10	5.67872335857838	5.59556210133887	1.01486200237499
maize	[724]LH220Ht:GT	improved	-44880.32664	7922	10	5.66527728351426	5.59556210133887	1.01245901321669
maize	[725]LH295:GT	improved	-80783.207154	14206	10	5.68655548036041	5.59556210133887	1.01626170478919
maize	[726]LH38:GT	improved	-81012.485702	14286	10	5.67076058392832	5.59556210133887	1.01343895058755
maize	[727]LH39:GT	improved	-79979.671786	14107	10	5.66950250131141	5.59556210133887	1.01321411479909
maize	[728]LH51:GT	improved	-83834.777404	14755	10	5.68178769257879	5.59556210133887	1.01540963886707
