sample	cutoff	miss	Genetic_load	N_del
PI576396_PI576396	25%	miss50	-1128124.0737649	112685
PI576399_PI576399	25%	miss50	-1153073.0801814	118186
PI576401_PI576401	25%	miss50	-1612682.796891	162485
PI576418_PI576418	25%	miss50	-1182619.5778362	120299
PI576422_PI576422	25%	miss50	-1291592.7711733	128043
PI576425_PI576425	25%	miss50	-1400418.5712353	205844
PI576426_PI576426	25%	miss50	-1172651.8647304	119589
PI576428_PI576428	25%	miss50	-1442512.2927005	144218
PI576434_PI576434	25%	miss50	-1194009.2708346	121468
PI576435_PI576435	25%	miss50	-1506948.0505912	150086
PI576437_PI576437	25%	miss50	-1295105.1081581	130451
PI585291_PI585291	25%	miss50	-1654013.8444047	245324
PI585295_PI585295	25%	miss50	-1209228.9804259	120510
PI595699_PI595699	25%	miss50	-1267759.9191417	127002
PI595702_PI595702	25%	miss50	-1299496.470749	128998
PI595714_PI595714	25%	miss50	-1424970.234062	142489
PI595718_PI595718	25%	miss50	-1299881.8159218	130625
PI595720_PI595720	25%	miss50	-1343498.2835833	137037
PI595739_PI595739	25%	miss50	-1106478.1229737	110181
PI595740_PI595740	25%	miss50	-1418677.899142	192155
PI595741_PI595741	25%	miss50	-1462067.0930124	147048
PI595743_PI595743	25%	miss50	-1484518.0960989	188536
PI595744_PI595744	25%	miss50	-1075369.6410364	107593
PI595745_PI595745	25%	miss50	-1031646.3660327	103810
PI597945_PI597945	25%	miss50	-1482532.3105326	150764
PI597946_PI597946	25%	miss50	-1355616.5722833	136487
PI597949_PI597949	25%	miss50	-1295739.3237667	130086
PI597950_PI597950	25%	miss50	-1026472.6698757	105407
PI597951_PI597951	25%	miss50	-1541307.0337967	154669
PI597952_PI597952	25%	miss50	-1485167.6312749	262826
PI597957_PI597957	25%	miss50	-1303816.6352918	188508
PI597958_PI597958	25%	miss50	-1400118.8073021	139667
PI597960_PI597960	25%	miss50	-1003188.2198564	102057
PI597961_PI597961	25%	miss50	-1125426.6169353	112995
PI597964_PI597964	25%	miss50	-1208702.013072	120892
PI597965_PI597965	25%	miss50	-1214668.8782996	121393
PI597966_PI597966	25%	miss50	-1359274.3002133	134385
PI597967_PI597967	25%	miss50	-1212703.4286295	120916
PI597968_PI597968	25%	miss50	-1385962.2864303	138853
PI597971_PI597971	25%	miss50	-1122358.1122221	112611
PI597972_PI597972	25%	miss50	-1151847.8181993	117805
PI597973_PI597973	25%	miss50	-1124493.8542397	114059
