"SorghumAccessionYellow"	"PanicleGrainWeight_HN"	"PanicleGrainWeight_LN"	"NR_PanicleGrainWeight"
"PI 533961"	57.55	25.9	1.22200772200772
"PI 533962"	30.75	25.5	0.205882352941176
"PI 533964"	40.1	28.5	0.407017543859649
"PI 533965"	26.2666666666667	19.65	0.336726039016115
"PI 533972"	41.9333333333333	26	0.612820512820513
"PI 533976"	50.6	40.7	0.243243243243243
"PI 533979"	30.55	40.9	-0.253056234718826
"PI 533980"	35.7666666666667	33.8	0.0581854043392506
"PI 533985"	46.2	42.7	0.0819672131147541
"PI 533986"	62.4333333333333	48.8	0.279371584699454
"PI 533987"	40.8	41.1	-0.0072992700729928
"PI 533991"	46	21	1.19047619047619
"PI 533996"	51.5333333333333	50.3	0.024519549370444
"PI 533997"	35.4333333333333	29.25	0.211396011396011
"PI 533998"	6.4	4.2	0.523809523809524
"PI 534009"	15.9333333333333	5.15	2.09385113268608
"PI 534021"	29.8333333333333	11.9	1.50700280112045
"PI 534037"	14.5666666666667	16.8	-0.132936507936508
"PI 534046"	25.6	19.4	0.31958762886598
"PI 534047"	42.0333333333333	34.35	0.223677826297914
"PI 534053"	21.0666666666667	53.1	-0.603264281230383
"PI 534054"	37.05	36.4	0.0178571428571428
"PI 534063"	8.96666666666667	7.15	0.254079254079254
"PI 534070"	23.1333333333333	23.7	-0.0239099859353024
"PI 534097"	27.7333333333333	20.5	0.352845528455285
"PI 534099"	35.7333333333333	40.65	-0.120951209512095
"PI 534101"	41.3333333333333	54.6	-0.242979242979243
"PI 534104"	50	28.7	0.742160278745645
"PI 534105"	29.5333333333333	24.2	0.22038567493113
"PI 534108"	46.2	48.55	-0.0484037075180227
"PI 534112"	44.5333333333333	47.3	-0.058491895701198
"PI 534114"	25.5333333333333	28.2	-0.094562647754137
"PI 534115"	48.9666666666667	37.3	0.31277926720286
"PI 534116"	18.8	37.9	-0.503957783641161
"PI 534117"	23.8333333333333	32.25	-0.260981912144703
"PI 534123"	15.2	23.55	-0.354564755838641
"PI 534127"	9.3	4.5	1.06666666666667
"PI 534128"	14.2	9.55	0.486910994764398
"PI 534132"	41.3666666666667	26.1	0.58492975734355
"PI 534133"	21.8333333333333	9.1	1.3992673992674
"PI 534135"	8.93333333333333	24.2	-0.630853994490358
"PI 534139"	13.15	10.7	0.228971962616823
"PI 534144"	36.6666666666667	29	0.264367816091954
"PI 534145"	17.3	13.25	0.305660377358491
"PI 534148"	26.3333333333333	9.45	1.78659611992945
"PI 534155"	24.4333333333333	21.6	0.131172839506173
"PI 534157"	48.8666666666667	47.3	0.0331219168428471
"PI 534163"	19.1666666666667	33.8	-0.432938856015779
"PI 542406"	5.5	2.15	1.55813953488372
"PI 542718"	40.3666666666667	48.15	-0.161647628937349
"PI 548797"	31.2	60.1	-0.480865224625624
"PI 552861"	55.8333333333333	54.55	0.0235258172930035
"PI 561073"	32	46.65	-0.314040728831726
"PI 561472"	50.7666666666667	63	-0.194179894179894
"PI 564163"	50.3026086956522	51.6794117647059	-0.0266412294962302
"PI 564164"	43.3666666666667	32.85	0.320142059868087
"PI 564165"	36.55	18.6	0.96505376344086
"PI 565121"	78.15	48.1	0.624740124740125
"PI 574455"	31.2	93.4	-0.665952890792291
"PI 576130"	28.1	20.65	0.360774818401937
"PI 576332"	28.7	47.3	-0.39323467230444
"PI 576333"	42.35	46.7	-0.0931477516059957
"PI 576337"	20.45	5	3.09
"PI 576339"	29	23.4	0.239316239316239
"PI 576340"	39.55	39.45	0.00253485424588072
"PI 576345"	52.5333333333333	59	-0.109604519774011
"PI 576348"	4.9	3.85	0.272727272727273
"PI 576349"	3.1	3.4	-0.0882352941176471
"PI 576352"	28.7	41.7	-0.311750599520384
"PI 576364"	26.1666666666667	17.45	0.499522445081184
"PI 576366"	29.1	28.1	0.0355871886120996
"PI 576373"	36	41.6	-0.134615384615384
"PI 576375"	59.5	55.2	0.0778985507246376
"PI 576376"	28.8333333333333	40.8	-0.293300653594771
"PI 576381"	23.6	28.7	-0.177700348432056
"PI 576385"	37.5	53.3	-0.296435272045028
"PI 576386"	21.65	16.25	0.332307692307692
"PI 576387"	49.0333333333333	68.4	-0.283138401559454
"PI 576390"	24	26.8	-0.104477611940299
"PI 576393"	23.45	19.7	0.190355329949239
"PI 576394"	54.1	45.7	0.183807439824945
"PI 576396"	37.4333333333333	24.9	0.50334672021419
"PI 576399"	34.1666666666667	23.5	0.453900709219858
"PI 576401"	29.6	43.3	-0.316397228637413
"PI 576418"	33.2	36.3	-0.0853994490358125
"PI 576422"	53.95	72.1	-0.251733703190014
"PI 576425"	36.8	64.2	-0.426791277258567
"PI 576426"	35.6	71.8	-0.504178272980501
"PI 576428"	26.3333333333333	17.6	0.496212121212121
"PI 576435"	49.55	63.7	-0.222135007849294
"PI 576437"	21.4333333333333	33.85	-0.366814377154111
"PI 595699"	38.85	36.9	0.0528455284552846
"PI 595702"	27.6666666666667	27.55	0.00423472474289186
"PI 595714"	36.3	41.7	-0.129496402877698
"PI 595718"	27	30.3	-0.108910891089109
"PI 595720"	33.8	26.8	0.261194029850746
"PI 595739"	44.4	68.5	-0.351824817518248
"PI 595740"	30.7333333333333	13.05	1.35504469987229
"PI 595741"	19.1666666666667	10.3	0.86084142394822
"PI 595743"	10.3333333333333	7.2	0.435185185185185
"PI 595744"	47.6333333333333	48.75	-0.0229059829059829
"PI 595745"	27.5	18.85	0.458885941644562
"PI 597946"	24	18.3	0.311475409836066
"PI 597949"	5.45	1.8	2.02777777777778
"PI 597950"	7.43333333333333	15.75	-0.528042328042328
"PI 597951"	20.5666666666667	14.8	0.38963963963964
"PI 597952"	51.65	31.3	0.650159744408946
"PI 597957"	22.85	27.85	-0.179533213644524
"PI 597958"	26.5	18.9	0.402116402116402
"PI 597960"	44.5	28.3	0.57243816254417
"PI 597961"	40.7	33	0.233333333333333
"PI 597964"	49.9666666666667	50.9	-0.0183366077275705
"PI 597965"	50.7333333333333	66.35	-0.235367997990455
"PI 597968"	40.95	34.9	0.173352435530086
"PI 597971"	46.1666666666667	36.8	0.254528985507246
"PI 597973"	15.9666666666667	7.55	1.11479028697572
"PI 597976"	31.1333333333333	34.45	-0.096274794388002
"PI 597980"	34	36.45	-0.0672153635116599
"PI 597982"	39.65	47.45	-0.164383561643836
"PI 598069"	3.3	3.15	0.0476190476190474
"PI 601816"	38.1666666666667	75.7	-0.495816820783796
"PI 607931"	40.85	29.5	0.384745762711864
"PI 609456"	5.45	7.7	-0.292207792207792
"PI 629059"	39.5	34.45	0.146589259796807
"PI 641849"	7.43333333333333	6.1	0.218579234972678
"PI 641874"	31.1333333333333	24.2	0.286501377410468
"PI 642791"	31.6666666666667	49.65	-0.362202081235314
"PI 642793"	38.9333333333333	20.55	0.894566098945661
"PI 642998"	9.45	15.6	-0.394230769230769
"PI 651496"	21.45	21.7	-0.0115207373271889
"PI 655970"	27.6	26.35	0.0474383301707781
"PI 655971"	40.5333333333333	43.9	-0.076689445709947
"PI 655972"	41.1666666666667	44.9	-0.0831477357089829
"PI 655973"	50.3	56	-0.101785714285714
"PI 655974"	51.0333333333333	52.2	-0.0223499361430397
"PI 655975"	58.1	57.9	0.00345423143350609
"PI 655976"	40.3666666666667	40.3	0.00165425971877593
"PI 655977"	48.8333333333333	54.1	-0.0973505853357979
"PI 655978"	30	36.3	-0.173553719008264
"PI 655979"	29.7	63.6	-0.533018867924528
"PI 655981"	27.1666666666667	2.1	11.9365079365079
"PI 655992"	34	32.3	0.0526315789473685
"PI 655993"	34.4666666666667	51.7	-0.333333333333333
"PI 655994"	23.75	21.05	0.128266033254157
"PI 655995"	9.8	6.35	0.543307086614173
"PI 655996"	38.25	53.55	-0.285714285714286
"PI 655997"	43.9	60.05	-0.268942547876769
"PI 655998"	32.3333333333333	34.9	-0.0735434574976121
"PI 655999"	1.5	1.35	0.111111111111111
"PI 656000"	34.7333333333333	44.8	-0.224702380952381
"PI 656001"	45.4666666666667	38.3	0.187119234116623
"PI 656002"	62.3	55.95	0.113494191242181
"PI 656003"	21.25	26.2	-0.188931297709924
"PI 656004"	36.7	36.4	0.00824175824175836
"PI 656005"	41.1333333333333	50.75	-0.189490968801314
"PI 656006"	43.2333333333333	25.65	0.685510071474984
"PI 656007"	29.95	46.3	-0.353131749460043
"PI 656008"	119	56.1	1.12121212121212
"PI 656009"	37	16.05	1.30529595015576
"PI 656010"	36.95	34.5	0.0710144927536233
"PI 656011"	65.3	46.15	0.414951245937161
"PI 656012"	70.85	19.5	2.63333333333333
"PI 656013"	37.2	55.85	-0.333930170098478
"PI 656014"	12.9	11.3	0.141592920353982
"PI 656016"	24.8	57.1	-0.565674255691769
"PI 656018"	40.3333333333333	25	0.613333333333333
"PI 656019"	37.8333333333333	47.3	-0.200140944326991
"PI 656020"	25.9666666666667	23.3	0.11444921316166
"PI 656021"	32.0666666666667	42.85	-0.251653053286659
"PI 656022"	37.85	40.2	-0.0584577114427863
"PI 656023"	30.35	32.25	-0.0589147286821706
"PI 656024"	47.05	18.4	1.5570652173913
"PI 656025"	36.8666666666667	24.35	0.514031485284052
"PI 656026"	28.65	27.7	0.0342960288808664
"PI 656027"	40.0333333333333	16.7	1.39720558882236
"PI 656028"	38	15.25	1.49180327868852
"PI 656029"	28.8666666666667	14.05	1.05456702253855
"PI 656030"	21.9333333333333	20.35	0.0778050778050777
"PI 656031"	43.8	49.7	-0.118712273641851
"PI 656032"	22.05	24.15	-0.0869565217391305
"PI 656034"	47.45	54.3	-0.126151012891344
"PI 656036"	45.45	28.4	0.600352112676056
"PI 656037"	72.0333333333333	69.55	0.0357057272945124
"PI 656039"	56.8	90.8	-0.374449339207048
"PI 656040"	39.6666666666667	21	0.888888888888889
"PI 656041"	32	43.05	-0.256678281068525
"PI 656042"	33.3	54.3	-0.386740331491713
"PI 656043"	75.1666666666667	74.1	0.014394961763383
"PI 656044"	44.1	52.15	-0.154362416107382
"PI 656048"	48.9666666666667	32.55	0.504352278545827
"PI 656049"	33.3666666666667	41.8	-0.201754385964912
"PI 656050"	27.2	57.7	-0.528596187175043
"PI 656051"	38.3333333333333	30.15	0.271420674405749
"PI 656052"	41.0666666666667	43.95	-0.0656048540007586
"PI 656053"	53.4333333333333	78.1	-0.315834400341443
"PI 656055"	35.4	42.65	-0.169988276670574
"PI 656056"	30.9666666666667	13.05	1.37292464878672
"PI 656058"	56.8666666666667	24.5	1.32108843537415
"PI 656059"	44.3	32.35	0.369397217928902
"PI 656060"	38.3666666666667	31.3	0.225772097976571
"PI 656061"	22.25	15.3	0.454248366013072
"PI 656062"	32	62	-0.483870967741935
"PI 656068"	45.7	56.4	-0.189716312056738
"PI 656070"	27.5	21.15	0.300236406619385
"PI 656071"	69.5	64.35	0.0800310800310801
"PI 656072"	57.95	6.2	8.34677419354839
"PI 656074"	17	8.45	1.01183431952663
"PI 656075"	38.5	17.2	1.23837209302326
"PI 656076"	42.4	17.65	1.40226628895184
"PI 656077"	16.7333333333333	21.1	-0.20695102685624
"PI 656078"	10.05	3.6	1.79166666666667
"PI 656079"	25.2333333333333	17.3	0.458574181117534
"PI 656080"	19.5333333333333	24.65	-0.207572684246112
"PI 656082"	8.4	16.75	-0.498507462686567
"PI 656085"	28.7	26.45	0.0850661625708886
"PI 656086"	70.8	30.8	1.2987012987013
"PI 656087"	44.8333333333333	20.9	1.1451355661882
"PI 656088"	39.45	52.7	-0.251423149905123
"PI 656089"	17.7333333333333	18.3	-0.0309653916211293
"PI 656090"	18.3333333333333	14.2	0.291079812206573
"PI 656091"	22.4666666666667	22.7	-0.010279001468429
"PI 656092"	25.35	19.3	0.313471502590674
"PI 656093"	14.6333333333333	10.2	0.434640522875817
"PI 656094"	25.9	22.15	0.169300225733634
"PI 656095"	38.2666666666667	28.1	0.361803084223013
"PI 656096"	17.6	11.25	0.564444444444445
"PI 656097"	20.2	11.85	0.70464135021097
"PI 656099"	21.6	17.95	0.203342618384401
"PI 656102"	40.5	25.5	0.588235294117647
"PI 656104"	13.3333333333333	4.3	2.10077519379845
"PI 656105"	31.2	33.1	-0.0574018126888218
"PI 656106"	35.2	41.1	-0.143552311435523
"PI 656107"	47.4	63.15	-0.249406175771971
"PI 656108"	23.7666666666667	26.1	-0.0893997445721584
"PI 656109"	18.7	24.5	-0.236734693877551
"PI 656110"	21.6	10.1	1.13861386138614
"PI 656111"	32.8	20.6	0.592233009708738
"PI 656114"	37.6	22.35	0.682326621923937
"PI 656115"	3.5	1.5	1.33333333333333
"PI 656116"	12.2333333333333	9.7	0.261168384879725
"PI 656117"	60.2	45.2	0.331858407079646
"PI 656118"	28.3	15.9	0.779874213836478
"PI 656119"	27.2666666666667	26.9	0.0136307311028501
"PI 656120"	23.4	24.9	-0.0602409638554217
"PI 656121"	32.45	30.9	0.0501618122977348
"PI 659691"	11.55	6.7	0.723880597014925
"PI 659694"	40	32.85	0.21765601217656
"PI 659695"	26.0333333333333	19.5	0.335042735042735
"PI 659696"	43.9666666666667	46.15	-0.0473094980137233
"PI 659753"	23.3	3.75	5.21333333333333
"TX430"	12.3	22.2	-0.445945945945946
