"SorghumAccessionYellow"	"RachisLength_HN"	"RachisLength_LN"	"NR_RachisLength"
"PI 534105"	18.8866666666667	17.1	0.10448343079922
"PI 534108"	13.4666666666667	15.465	-0.129216510399828
"PI 534112"	15.2766666666667	14.7	0.0392290249433108
"PI 534114"	21.0166666666667	19.6	0.0722789115646259
"PI 534115"	14.8433333333333	13.43	0.105237031521469
"PI 534116"	27.28	29.03	-0.0602824664140544
"PI 534117"	14.5233333333333	14.73	-0.014030323602625
"PI 534123"	17.7766666666667	23.03	-0.228108264582429
"PI 534124"	25.37	19	0.335263157894737
"PI 534127"	18.4566666666667	18	0.0253703703703704
"PI 534128"	12.37	12.27	0.00814995925020386
"PI 534133"	17.4333333333333	19.37	-0.0999827912579591
"PI 534138"	23.9333333333333	21.65	0.105465742879138
"PI 534144"	7.07	4.7	0.504255319148936
"PI 534145"	35.4	38.6	-0.0829015544041452
"PI 534148"	26.29	22.93	0.146532926297427
"PI 534155"	23.7	21.9	0.0821917808219178
"PI 534157"	16.71	14.57	0.146877144818119
"PI 534163"	17.2	13.95	0.232974910394265
"PI 542406"	22.43	22.8	-0.0162280701754386
"PI 542718"	19.8433333333333	20.2	-0.0176567656765676
"PI 548797"	26.98	23.4	0.152991452991453
"PI 552861"	27.51	31.23	-0.11911623439001
"PI 561072"	24.4233333333333	24	0.0176388888888888
"PI 561073"	20.2366666666667	18.13	0.116197830483545
"PI 564163"	26.766393442623	25.7474358974359	0.0395751075658967
"PI 564164"	21.49	21.93	-0.0200638394892841
"PI 564165"	17.9333333333333	18.75	-0.0435555555555555
"PI 565121"	18.9566666666667	17.73	0.0691859372062418
"PI 574455"	25.8566666666667	26.93	-0.0398564178734992
"PI 576130"	19.2	18.87	0.0174880763116056
"PI 576332"	27.4366666666667	27.63	-0.00699722523826752
"PI 576337"	31.11	30.63	0.0156709108716944
"PI 576339"	19.9533333333333	19.93	0.00117076434186319
"PI 576340"	23.1333333333333	23.73	-0.0251439808961933
"PI 576345"	14.4766666666667	14.03	0.0318365407460205
"PI 576348"	29.09	30.8	-0.0555194805194805
"PI 576349"	33.285	32.1	0.0369158878504671
"PI 576352"	23.2766666666667	22.77	0.0222515005123701
"PI 576364"	13.2333333333333	14.17	-0.0661020936250295
"PI 576366"	18.8966666666667	14.43	0.30954030954031
"PI 576373"	16.3	18	-0.0944444444444444
"PI 576375"	26.1	22.4	0.165178571428572
"PI 576376"	23.5	24.63	-0.0458790093382054
"PI 576380"	13.4	13.3	0.00751879699248118
"PI 576381"	23.315	22.97	0.0150195907705703
"PI 576385"	15.87	18.77	-0.154501864677677
"PI 576386"	12.3666666666667	5.63	1.19656601539372
"PI 576390"	17.25	16.5	0.0454545454545455
"PI 576394"	19.1133333333333	20.1	-0.0490878938640133
"PI 576399"	17.4433333333333	18.25	-0.044200913242009
"PI 576401"	18.0433333333333	21	-0.140793650793651
"PI 576418"	31.49	29.3	0.0747440273037543
"PI 576422"	23.5	22.63	0.03844454264251
"PI 576425"	23.085	24	-0.038125
"PI 576426"	22.2433333333333	21.3	0.0442879499217527
"PI 576428"	9.42666666666667	10.9	-0.135168195718655
"PI 576435"	15.5	13.93	0.112706389088299
"PI 576437"	32.2233333333333	31.77	0.0142692267338159
"PI 585295"	31.05	27.6	0.125
"PI 595699"	18.98	17.3	0.0971098265895954
"PI 595702"	17.5666666666667	19.63	-0.105111224316522
"PI 595720"	22.115	22.17	-0.00248082995038339
"PI 595739"	17.35	15.73	0.102987921169739
"PI 595740"	9.45666666666667	8.87	0.0661405486659152
"PI 595743"	25.8466666666667	23.1	0.118903318903319
"PI 595744"	20.5466666666667	16.97	0.21076409349833
"PI 595745"	29.8	29.17	0.0215975317106616
"PI 597949"	19.965	21.3	-0.0626760563380282
"PI 597950"	10.2633333333333	10.53	-0.0253244697689141
"PI 597951"	28.21	33.2	-0.150301204819277
"PI 597952"	24.6833333333333	20.7	0.192431561996779
"PI 597957"	19.2666666666667	20.57	-0.0633608815426998
"PI 597958"	23.81	21.63	0.10078594544614
"PI 597960"	16.2933333333333	12.8	0.272916666666667
"PI 597961"	19.7666666666667	19	0.0403508771929824
"PI 597964"	19.61	18.37	0.0675013609145345
"PI 597965"	14.0566666666667	13.67	0.0282857839551329
"PI 597967"	10.4133333333333	8.7	0.196934865900383
"PI 597971"	22.38	21.33	0.049226441631505
"PI 597972"	22.6666666666667	21.5	0.0542635658914728
"PI 597973"	23.8466666666667	22.7	0.0505139500734215
"PI 597976"	29.2	26.17	0.11578142911731
"PI 597980"	21.135	21.13	0.000236630383341174
"PI 597982"	25.585	25.07	0.0205424810530515
"PI 598069"	15.75	15.63	0.00767754318618037
"PI 601816"	26.5	26.5	0
"PI 607931"	29.15	26.13	0.115575966322235
"PI 613536"	18.6	17	0.0941176470588236
"PI 629040"	29.6166666666667	25.83	0.146599561233708
"PI 629059"	24.41	25.9	-0.0575289575289575
"PI 641874"	14.21	13.1	0.084732824427481
"PI 642791"	18.2	19.83	-0.0821986888552697
"PI 642793"	20.08	19.13	0.0496602195504445
"PI 642992"	21.76	24.3	-0.104526748971194
"PI 642998"	20.28	5.03	3.03180914512922
"PI 655970"	14.6	13.67	0.0680321872713972
"PI 655971"	12.8766666666667	13.5	-0.0461728395061728
"PI 655973"	13.4233333333333	14.03	-0.0432406747445948
"PI 655974"	19.01	17.2	0.105232558139535
"PI 655975"	18.7666666666667	17.2	0.0910852713178295
"PI 655976"	20.3566666666667	17.3	0.176685934489403
"PI 655977"	18.0566666666667	17.33	0.0419311406039623
"PI 655978"	27.4233333333333	26.93	0.0183190988983785
"PI 655979"	25.235	22.27	0.13313875168388
"PI 655981"	27.0666666666667	29.2	-0.0730593607305936
"PI 655992"	15.935	14.93	0.0673141326188882
"PI 655993"	22.67	22.13	0.0244012652507907
"PI 655994"	19.75	23.13	-0.146130566364029
"PI 655995"	9.83333333333333	12.17	-0.192002191180499
"PI 655996"	26.89	25.1	0.0713147410358565
"PI 655997"	17.435	18.63	-0.0641438539989265
"PI 655998"	27.7666666666667	23.13	0.200461161550656
"PI 656000"	27.7	23.37	0.18528027385537
"PI 656002"	20.0866666666667	18.7	0.0741532976827095
"PI 656003"	19.7466666666667	24.4	-0.190710382513661
"PI 656004"	25.31	25.9	-0.0227799227799228
"PI 656005"	23.6	20.93	0.127568084089823
"PI 656006"	28.2566666666667	26.5	0.0662893081761007
"PI 656007"	17.1	18.95	-0.0976253298153033
"PI 656009"	17.9	18.23	-0.0181020296215031
"PI 656010"	22.085	22	0.0038636363636364
"PI 656011"	25.2366666666667	26	-0.0293589743589743
"PI 656012"	12.3233333333333	12.3	0.00189701897018971
"PI 656013"	11.95	12.87	-0.0714840714840715
"PI 656014"	23.65	10.37	1.28061716489875
"PI 656016"	27.9333333333333	21.13	0.321975074932955
"PI 656017"	12.31	11.67	0.05484147386461
"PI 656020"	16.5666666666667	16.27	0.0182339684490883
"PI 656021"	24.8233333333333	22.47	0.104732235573357
"PI 656022"	13	13.7	-0.0510948905109489
"PI 656023"	24.335	26.07	-0.0665515918680475
"PI 656024"	22.5466666666667	19.6	0.150340136054422
"PI 656025"	18.8766666666667	18.97	-0.00492004920049203
"PI 656026"	16.9666666666667	17.05	-0.00488758553274675
"PI 656028"	19.12	18.13	0.0546056260341974
"PI 656029"	18.8333333333333	17.2	0.0949612403100775
"PI 656030"	14.51	12.97	0.118735543562066
"PI 656031"	20.8466666666667	22.57	-0.0763550435681583
"PI 656032"	27.385	29.3	-0.0653583617747441
"PI 656034"	23.35	21.37	0.0926532522227422
"PI 656035"	21.885	28.6	-0.23479020979021
"PI 656036"	20.115	29.1	-0.308762886597938
"PI 656037"	20.7666666666667	16.83	0.23390770449594
"PI 656039"	29.6666666666667	31.23	-0.0500587042373786
"PI 656040"	24.6766666666667	24.1	0.0239280774550483
"PI 656041"	13.7	17.73	-0.227298364354202
"PI 656043"	17	17.1	-0.00584795321637435
"PI 656044"	22.7266666666667	16.23	0.40028753337441
"PI 656048"	22.2	18.53	0.198057204533189
"PI 656049"	22.6	24.63	-0.0824198132358911
"PI 656050"	25.49	22.6	0.12787610619469
"PI 656051"	24.7033333333333	20.1	0.229021558872305
"PI 656052"	21.0366666666667	22.15	-0.0502633559066968
"PI 656053"	22.7266666666667	21.27	0.0684845635480332
"PI 656055"	24	22.73	0.0558732952045754
"PI 656056"	18.1466666666667	19.4	-0.0646048109965634
"PI 656057"	16.9666666666667	15.77	0.0758824772775311
"PI 656058"	24.7	24.7	0
"PI 656059"	23.62	23.9	-0.011715481171548
"PI 656061"	15.1766666666667	14.7	0.0324263038548754
"PI 656068"	19.885	21.27	-0.0651151857075694
"PI 656069"	16.61	15.97	0.0400751408891671
"PI 656070"	13.9766666666667	13.67	0.022433552792002
"PI 656071"	7.81333333333333	7.87	-0.00720033883947491
"PI 656072"	14.59	12.63	0.155186064924782
"PI 656074"	23.3866666666667	25.37	-0.0781763237419525
"PI 656075"	18.05	16.23	0.112138016019717
"PI 656076"	12.165	13.7	-0.112043795620438
"PI 656077"	19.22	18.47	0.0406063887384949
"PI 656078"	24.7866666666667	21.6	0.147530864197531
"PI 656079"	40.3433333333333	42.33	-0.0469328293566422
"PI 656080"	24.7	26.07	-0.0525508247027235
"PI 656081"	26.9333333333333	31.05	-0.132581857219538
"PI 656082"	30.115	30.8	-0.0222402597402598
"PI 656085"	14.835	16.53	-0.102540834845735
"PI 656086"	21.59	22.73	-0.0501539815222174
"PI 656087"	23.91	29.53	-0.190314933965459
"PI 656088"	21.585	22.1	-0.0233031674208145
"PI 656089"	5.62333333333333	4.75	0.183859649122807
"PI 656091"	13.7133333333333	14.47	-0.0522920985947939
"PI 656092"	14.2	11.97	0.186299081035923
"PI 656093"	21.9633333333333	19.9	0.103685092127303
"PI 656094"	36.9233333333333	31.9	0.157471264367816
"PI 656095"	27.0333333333333	28.7	-0.0580720092915214
"PI 656096"	31	29.13	0.0641949879848953
"PI 656097"	17.4333333333333	14.37	0.213175597309209
"PI 656099"	16.885	16.53	0.0214761040532363
"PI 656100"	20.2	18.17	0.111722619702807
"PI 656102"	14.9	11.13	0.338724168912848
"PI 656105"	15.0233333333333	15.4	-0.0244588744588745
"PI 656107"	19.635	17.83	0.101233875490746
"PI 656108"	10.8766666666667	11.47	-0.0517291485033421
"PI 656109"	12.2566666666667	10.8	0.134876543209876
"PI 656110"	17.0433333333333	12.1	0.408539944903581
"PI 656114"	23.8333333333333	26.63	-0.105019401677306
"PI 656115"	27.57	23.4	0.178205128205128
"PI 656116"	22.3866666666667	21.8	0.0269113149847094
"PI 656117"	12.61	11.9	0.0596638655462184
"PI 656118"	20.21	17.73	0.139875916525663
"PI 656119"	30.3466666666667	30.53	-0.00600502238235616
"PI 656121"	26.98	26.1	0.0337164750957854
"PI 659691"	22.3833333333333	21.47	0.0425399782642447
"PI 659693"	15.5	17.43	-0.110728628800918
"PI 659694"	21.3433333333333	20.03	0.0655683141953736
"PI 659695"	27.0433333333333	20.5	0.319186991869919
"PI 659696"	11.52	11.13	0.0350404312668463
"PI 659753"	15.81	16.17	-0.0222634508348796
