"SorghumAccessionYellow"	"ExtantLeafNumber_HN"	"ExtantLeafNumber_LN"	"NR_ExtantLeafNumber"
"PI 533937"	11	10	0.1
"PI 533938"	12.3333333333333	11	0.121212121212121
"PI 533939"	10	12	-0.166666666666667
"PI 533940"	10.6666666666667	11	-0.0303030303030304
"PI 533943"	13.3333333333333	12	0.111111111111111
"PI 533948"	11.3333333333333	11	0.0303030303030304
"PI 533949"	9.33333333333333	10	-0.0666666666666666
"PI 533955"	11.6666666666667	11	0.0606060606060606
"PI 533956"	10	11	-0.0909090909090909
"PI 533957"	9.33333333333333	12	-0.222222222222222
"PI 533961"	10.5	15	-0.3
"PI 533962"	12	14	-0.142857142857143
"PI 533964"	14	15	-0.0666666666666667
"PI 533965"	12.3333333333333	15	-0.177777777777778
"PI 533970"	12.5	10	0.25
"PI 533972"	13	14	-0.0714285714285714
"PI 533976"	13	12	0.0833333333333333
"PI 533979"	11	12	-0.0833333333333333
"PI 533980"	11.6666666666667	16	-0.270833333333333
"PI 533986"	10.6666666666667	12	-0.111111111111111
"PI 533987"	11.3333333333333	8	0.416666666666667
"PI 533991"	12.3333333333333	13	-0.0512820512820512
"PI 533996"	10.3333333333333	12	-0.138888888888889
"PI 533997"	8.66666666666667	9	-0.0370370370370371
"PI 533998"	12	12	0
"PI 534009"	13.6666666666667	16	-0.145833333333333
"PI 534021"	13.3333333333333	15	-0.111111111111111
"PI 534037"	8.33333333333333	11	-0.242424242424242
"PI 534047"	9	10	-0.1
"PI 534053"	12.3333333333333	14	-0.119047619047619
"PI 534054"	11.5	15	-0.233333333333333
"PI 534063"	10	11	-0.0909090909090909
"PI 534070"	8	11	-0.272727272727273
"PI 534097"	11	9	0.222222222222222
"PI 534099"	14.3333333333333	13	0.102564102564103
"PI 534101"	12.6666666666667	13	-0.0256410256410257
"PI 534104"	12.5	12	0.0416666666666667
"PI 534105"	12.3333333333333	11	0.121212121212121
"PI 534108"	12.6666666666667	13	-0.0256410256410257
"PI 534112"	11.6666666666667	12	-0.0277777777777778
"PI 534114"	13	11	0.181818181818182
"PI 534115"	13	13	0
"PI 534116"	10.3333333333333	9	0.148148148148148
"PI 534117"	10.3333333333333	10	0.0333333333333334
"PI 534123"	11.3333333333333	11	0.0303030303030304
"PI 534124"	10.5	12	-0.125
"PI 534127"	11	12	-0.0833333333333333
"PI 534128"	12.5	14	-0.107142857142857
"PI 534133"	13.3333333333333	15	-0.111111111111111
"PI 534135"	14.3333333333333	9	0.592592592592593
"PI 534138"	13	16	-0.1875
"PI 534144"	12	15	-0.2
"PI 534145"	8	9	-0.111111111111111
"PI 534148"	13.3333333333333	15	-0.111111111111111
"PI 534155"	12.6666666666667	13	-0.0256410256410257
"PI 534157"	14.3333333333333	13	0.102564102564103
"PI 534163"	14.6666666666667	14	0.0476190476190476
"PI 542406"	13	15	-0.133333333333333
"PI 542718"	10.3333333333333	11	-0.0606060606060606
"PI 548797"	13	13	0
"PI 552861"	12.3333333333333	12	0.0277777777777778
"PI 561072"	13	12	0.0833333333333333
"PI 561073"	16	17	-0.0588235294117647
"PI 564163"	11.5081967213115	11.9428571428571	-0.0363950113734412
"PI 564164"	14	13	0.0769230769230769
"PI 564165"	13	14	-0.0714285714285714
"PI 565121"	13.3333333333333	15	-0.111111111111111
"PI 576130"	14.6666666666667	13	0.128205128205128
"PI 576332"	12.6666666666667	14	-0.0952380952380953
"PI 576337"	10.3333333333333	10	0.0333333333333334
"PI 576339"	11.3333333333333	11	0.0303030303030304
"PI 576340"	12.3333333333333	12	0.0277777777777778
"PI 576345"	14.6666666666667	16	-0.0833333333333334
"PI 576348"	10.6666666666667	11	-0.0303030303030304
"PI 576352"	12	15	-0.2
"PI 576364"	8.66666666666667	11	-0.212121212121212
"PI 576366"	10.3333333333333	10	0.0333333333333334
"PI 576373"	12.3333333333333	12	0.0277777777777778
"PI 576375"	12.3333333333333	13	-0.0512820512820512
"PI 576376"	12	11	0.0909090909090909
"PI 576380"	15.6666666666667	13	0.205128205128205
"PI 576381"	13	13	0
"PI 576385"	10.6666666666667	11	-0.0303030303030304
"PI 576386"	13	14	-0.0714285714285714
"PI 576390"	8	11	-0.272727272727273
"PI 576394"	12	11	0.0909090909090909
"PI 576399"	9	12	-0.25
"PI 576401"	15	14	0.0714285714285714
"PI 576418"	11.6666666666667	12	-0.0277777777777778
"PI 576422"	12	13	-0.0769230769230769
"PI 576425"	13.5	15	-0.1
"PI 576426"	14.3333333333333	8	0.791666666666667
"PI 576428"	12	13	-0.0769230769230769
"PI 576435"	10.5	10	0.05
"PI 576437"	12	13	-0.0769230769230769
"PI 585295"	11.3333333333333	12	-0.0555555555555555
"PI 595699"	11	13	-0.153846153846154
"PI 595702"	9.66666666666667	11	-0.121212121212121
"PI 595718"	11	11	0
"PI 595720"	13.3333333333333	12	0.111111111111111
"PI 595739"	12	14	-0.142857142857143
"PI 595740"	16	13	0.230769230769231
"PI 595743"	14	17	-0.176470588235294
"PI 595744"	12	11	0.0909090909090909
"PI 595745"	9.5	14	-0.321428571428571
"PI 597945"	8	13	-0.384615384615385
"PI 597949"	12	12	0
"PI 597950"	10	11	-0.0909090909090909
"PI 597951"	9.66666666666667	10	-0.0333333333333334
"PI 597952"	13	14	-0.0714285714285714
"PI 597957"	12.6666666666667	11	0.151515151515151
"PI 597958"	11.3333333333333	12	-0.0555555555555555
"PI 597960"	12.3333333333333	15	-0.177777777777778
"PI 597961"	9.33333333333333	13	-0.282051282051282
"PI 597964"	13	13	0
"PI 597965"	13.3333333333333	16	-0.166666666666667
"PI 597967"	12	13	-0.0769230769230769
"PI 597971"	9.66666666666667	13	-0.256410256410256
"PI 597972"	12	14	-0.142857142857143
"PI 597973"	13.3333333333333	12	0.111111111111111
"PI 597976"	9.66666666666667	11	-0.121212121212121
"PI 597980"	11	13	-0.153846153846154
"PI 597982"	9.5	11	-0.136363636363636
"PI 598069"	13	16	-0.1875
"PI 601816"	14	14	0
"PI 607931"	12	16	-0.25
"PI 613536"	8.5	9	-0.0555555555555556
"PI 629040"	12	12	0
"PI 629059"	12	12	0
"PI 641874"	10.3333333333333	10	0.0333333333333334
"PI 642791"	14	14	0
"PI 642793"	12	13	-0.0769230769230769
"PI 642992"	14.6666666666667	13	0.128205128205128
"PI 642998"	11	12	-0.0833333333333333
"PI 655970"	12.5	14	-0.107142857142857
"PI 655971"	11.3333333333333	12	-0.0555555555555555
"PI 655974"	12	12	0
"PI 655975"	13.5	13	0.0384615384615385
"PI 655976"	13.3333333333333	14	-0.0476190476190476
"PI 655977"	11.6666666666667	11	0.0606060606060606
"PI 655978"	12.3333333333333	11	0.121212121212121
"PI 655979"	11.6666666666667	11	0.0606060606060606
"PI 655981"	12.6666666666667	13	-0.0256410256410257
"PI 655993"	11.6666666666667	12	-0.0277777777777778
"PI 655994"	11.5	11	0.0454545454545455
"PI 655995"	11.3333333333333	13	-0.128205128205128
"PI 655996"	12.3333333333333	14	-0.119047619047619
"PI 655997"	11	12	-0.0833333333333333
"PI 655998"	10.6666666666667	10	0.0666666666666666
"PI 655999"	9	8	0.125
"PI 656000"	11	11	0
"PI 656002"	13	13	0
"PI 656003"	11	15	-0.266666666666667
"PI 656004"	13	14	-0.0714285714285714
"PI 656005"	11.3333333333333	12	-0.0555555555555555
"PI 656006"	14.3333333333333	15	-0.0444444444444444
"PI 656007"	10	14	-0.285714285714286
"PI 656009"	12	10	0.2
"PI 656010"	12	11	0.0909090909090909
"PI 656011"	13.6666666666667	13	0.0512820512820512
"PI 656012"	14	17	-0.176470588235294
"PI 656013"	12	11	0.0909090909090909
"PI 656014"	12.3333333333333	13	-0.0512820512820512
"PI 656016"	12.3333333333333	15	-0.177777777777778
"PI 656017"	18.5	13	0.423076923076923
"PI 656019"	10.6666666666667	12	-0.111111111111111
"PI 656020"	11	11	0
"PI 656021"	11.3333333333333	13	-0.128205128205128
"PI 656022"	12	13	-0.0769230769230769
"PI 656023"	13.5	12	0.125
"PI 656024"	13.3333333333333	14	-0.0476190476190476
"PI 656025"	10.6666666666667	13	-0.17948717948718
"PI 656026"	11.6666666666667	15	-0.222222222222222
"PI 656028"	15.5	15	0.0333333333333333
"PI 656029"	14	14	0
"PI 656030"	7.66666666666667	6	0.277777777777778
"PI 656031"	13.6666666666667	15	-0.0888888888888889
"PI 656032"	13	15	-0.133333333333333
"PI 656034"	13	15	-0.133333333333333
"PI 656035"	13.6666666666667	12	0.138888888888889
"PI 656036"	13	11	0.181818181818182
"PI 656037"	13.6666666666667	14	-0.0238095238095239
"PI 656039"	14.3333333333333	14	0.0238095238095239
"PI 656041"	16	13	0.230769230769231
"PI 656043"	13.6666666666667	14	-0.0238095238095239
"PI 656044"	11.5	14	-0.178571428571429
"PI 656048"	12	12	0
"PI 656049"	14	15	-0.0666666666666667
"PI 656050"	12	13	-0.0769230769230769
"PI 656051"	14	14	0
"PI 656052"	11.6666666666667	13	-0.102564102564103
"PI 656053"	13	15	-0.133333333333333
"PI 656055"	13.3333333333333	15	-0.111111111111111
"PI 656056"	13	13	0
"PI 656057"	15.3333333333333	16	-0.0416666666666666
"PI 656058"	10.3333333333333	12	-0.138888888888889
"PI 656059"	12	14	-0.142857142857143
"PI 656061"	13.6666666666667	12	0.138888888888889
"PI 656068"	14	14	0
"PI 656069"	12.6666666666667	13	-0.0256410256410257
"PI 656070"	13	13	0
"PI 656071"	15	15	0
"PI 656072"	15.6666666666667	16	-0.0208333333333334
"PI 656074"	9.5	12	-0.208333333333333
"PI 656075"	15.5	16	-0.03125
"PI 656076"	12	12	0
"PI 656077"	11.3333333333333	12	-0.0555555555555555
"PI 656079"	12	14	-0.142857142857143
"PI 656080"	10.3333333333333	9	0.148148148148148
"PI 656081"	8.33333333333333	8	0.0416666666666667
"PI 656082"	16	17	-0.0588235294117647
"PI 656085"	8.5	10	-0.15
"PI 656086"	13.6666666666667	14	-0.0238095238095239
"PI 656087"	10.3333333333333	9	0.148148148148148
"PI 656088"	11.5	13	-0.115384615384615
"PI 656089"	11.3333333333333	12	-0.0555555555555555
"PI 656091"	16.3333333333333	16	0.0208333333333333
"PI 656092"	15.5	17	-0.0882352941176471
"PI 656094"	10.3333333333333	11	-0.0606060606060606
"PI 656095"	11	12	-0.0833333333333333
"PI 656096"	10.6666666666667	14	-0.238095238095238
"PI 656097"	13	13	0
"PI 656099"	15	14	0.0714285714285714
"PI 656100"	10.5	13	-0.192307692307692
"PI 656102"	9.5	9	0.0555555555555556
"PI 656105"	11	12	-0.0833333333333333
"PI 656107"	14.5	15	-0.0333333333333333
"PI 656108"	10.3333333333333	12	-0.138888888888889
"PI 656109"	8	9	-0.111111111111111
"PI 656110"	12.6666666666667	12	0.0555555555555555
"PI 656114"	10.3333333333333	12	-0.138888888888889
"PI 656115"	13	13	0
"PI 656116"	7.66666666666667	11	-0.303030303030303
"PI 656117"	13	13	0
"PI 656118"	13	14	-0.0714285714285714
"PI 656119"	10	10	0
"PI 656121"	10	10	0
"PI 659691"	15.3333333333333	17	-0.0980392156862745
"PI 659693"	9.66666666666667	10	-0.0333333333333334
"PI 659694"	12.3333333333333	14	-0.119047619047619
"PI 659695"	12	13	-0.0769230769230769
"PI 659696"	12.3333333333333	13	-0.0512820512820512
"PI 659753"	15	16	-0.0625
