"SorghumAccessionYellow"	"PlantHeight_HN"	"PlantHeight_LN"	"NR_PlantHeight"
"PI 533948"	88.3333333333333	81	0.0905349794238682
"PI 533949"	81.6666666666667	88	-0.0719696969696969
"PI 533955"	79	128	-0.3828125
"PI 533956"	88.3333333333333	128	-0.309895833333333
"PI 533957"	73.6666666666667	79	-0.0675105485232067
"PI 533961"	82.5	81	0.0185185185185185
"PI 533962"	104	137	-0.240875912408759
"PI 533964"	76	80	-0.05
"PI 533965"	82	89	-0.0786516853932584
"PI 533970"	76	75	0.0133333333333333
"PI 533972"	111.666666666667	91	0.227106227106227
"PI 533976"	78.5	68	0.154411764705882
"PI 533979"	86.5	83	0.0421686746987952
"PI 533980"	68.6666666666667	75	-0.0844444444444444
"PI 533986"	108.333333333333	101	0.0726072607260726
"PI 533987"	90	78	0.153846153846154
"PI 533991"	98	120	-0.183333333333333
"PI 533996"	77	81	-0.0493827160493827
"PI 533997"	119.666666666667	145	-0.174712643678161
"PI 533998"	102	81	0.259259259259259
"PI 534009"	80.6666666666667	92	-0.123188405797101
"PI 534021"	80.3333333333333	80	0.00416666666666661
"PI 534037"	121	128	-0.0546875
"PI 534047"	75.3333333333333	73	0.0319634703196346
"PI 534053"	82.6666666666667	81	0.0205761316872429
"PI 534054"	59	75	-0.213333333333333
"PI 534063"	135.666666666667	120	0.130555555555555
"PI 534070"	81.6666666666667	72	0.134259259259259
"PI 534097"	76	72	0.0555555555555556
"PI 534099"	78.6666666666667	85	-0.0745098039215686
"PI 534101"	113.666666666667	80	0.420833333333333
"PI 534104"	78	78	0
"PI 534105"	109	83	0.313253012048193
"PI 534108"	104.666666666667	112	-0.0654761904761904
"PI 534112"	93.3333333333333	83	0.124497991967871
"PI 534114"	79.3333333333333	80	-0.00833333333333339
"PI 534115"	92.3333333333333	97	-0.0481099656357389
"PI 534116"	83	87	-0.0459770114942529
"PI 534117"	79.6666666666667	80	-0.00416666666666661
"PI 534123"	108.333333333333	95	0.140350877192982
"PI 534124"	116	105	0.104761904761905
"PI 534127"	124.666666666667	142	-0.12206572769953
"PI 534128"	112	110	0.0181818181818182
"PI 534133"	82	92	-0.108695652173913
"PI 534135"	60.6666666666667	80	-0.241666666666667
"PI 534138"	79.5	87	-0.0862068965517241
"PI 534144"	178.666666666667	183	-0.0236794171220401
"PI 534145"	89.3333333333333	98	-0.0884353741496599
"PI 534148"	107.666666666667	101	0.066006600660066
"PI 534155"	86.6666666666667	98	-0.115646258503401
"PI 534157"	84.3333333333333	97	-0.130584192439863
"PI 534163"	76.6666666666667	79	-0.0295358649789029
"PI 542406"	153	160	-0.04375
"PI 542718"	102.666666666667	160	-0.358333333333333
"PI 548797"	95.6666666666667	89	0.0749063670411986
"PI 552861"	85.6666666666667	95	-0.0982456140350877
"PI 561072"	95.3333333333333	92	0.036231884057971
"PI 561073"	120	120	0
"PI 564163"	99.3688524590164	98.9142857142857	0.00459556212177179
"PI 564164"	89	90	-0.0111111111111111
"PI 564165"	91.3333333333333	85	0.0745098039215686
"PI 565121"	111.666666666667	115	-0.0289855072463768
"PI 576130"	248.666666666667	242	0.0275482093663911
"PI 576332"	96	90	0.0666666666666667
"PI 576337"	109.333333333333	110	-0.0060606060606061
"PI 576339"	106.666666666667	102	0.0457516339869282
"PI 576340"	118.333333333333	117	0.0113960113960114
"PI 576345"	129	132	-0.0227272727272727
"PI 576348"	101.333333333333	92	0.101449275362319
"PI 576352"	76.5	78	-0.0192307692307692
"PI 576364"	92.6666666666667	90	0.0296296296296297
"PI 576366"	62.6666666666667	58	0.0804597701149425
"PI 576373"	78.6666666666667	76	0.0350877192982457
"PI 576375"	108	121	-0.107438016528926
"PI 576376"	84.3333333333333	85	-0.00784313725490202
"PI 576380"	122.333333333333	112	0.0922619047619047
"PI 576381"	74.5	70	0.0642857142857143
"PI 576385"	142	165	-0.139393939393939
"PI 576386"	129.666666666667	181	-0.283609576427256
"PI 576390"	107.5	92	0.168478260869565
"PI 576394"	83.6666666666667	88	-0.0492424242424242
"PI 576399"	163.666666666667	147	0.113378684807256
"PI 576401"	130	113	0.150442477876106
"PI 576418"	121.333333333333	123	-0.0135501355013551
"PI 576422"	85	92	-0.0760869565217391
"PI 576425"	82	92	-0.108695652173913
"PI 576426"	97	75	0.293333333333333
"PI 576428"	87	100	-0.13
"PI 576435"	93	95	-0.0210526315789474
"PI 576437"	163	155	0.0516129032258065
"PI 585295"	90.3333333333333	110	-0.178787878787879
"PI 595699"	76.6666666666667	75	0.0222222222222223
"PI 595702"	123	135	-0.0888888888888889
"PI 595718"	76	88	-0.136363636363636
"PI 595720"	74.3333333333333	62	0.198924731182796
"PI 595739"	87.5	87	0.00574712643678161
"PI 595740"	104.666666666667	90	0.162962962962963
"PI 595743"	80.3333333333333	81	-0.00823045267489718
"PI 595744"	118.333333333333	120	-0.0138888888888889
"PI 595745"	134.5	120	0.120833333333333
"PI 597945"	76	98	-0.224489795918367
"PI 597949"	110.5	108	0.0231481481481481
"PI 597950"	153	180	-0.15
"PI 597951"	111.666666666667	130	-0.141025641025641
"PI 597952"	102.666666666667	72	0.425925925925926
"PI 597957"	104.666666666667	72	0.453703703703704
"PI 597958"	91	89	0.0224719101123595
"PI 597960"	173	225	-0.231111111111111
"PI 597961"	70.6666666666667	80	-0.116666666666667
"PI 597964"	102.333333333333	98	0.0442176870748299
"PI 597965"	94	128	-0.265625
"PI 597967"	85.6666666666667	80	0.0708333333333334
"PI 597971"	87.6666666666667	85	0.0313725490196079
"PI 597972"	94.6666666666667	80	0.183333333333333
"PI 597973"	108	102	0.0588235294117647
"PI 597976"	186.666666666667	207	-0.0982286634460548
"PI 597980"	102	85	0.2
"PI 597982"	105.5	112	-0.0580357142857143
"PI 598069"	217	211	0.028436018957346
"PI 601816"	193.666666666667	200	-0.0316666666666667
"PI 607931"	80.5	85	-0.0529411764705882
"PI 613536"	110.5	80	0.38125
"PI 629040"	78	73	0.0684931506849315
"PI 629059"	87	83	0.0481927710843374
"PI 641874"	70	72	-0.0277777777777778
"PI 642791"	89.6666666666667	95	-0.0561403508771929
"PI 642793"	83.6666666666667	80	0.0458333333333334
"PI 642992"	211.666666666667	198	0.069023569023569
"PI 642998"	304.333333333333	300	0.0144444444444444
"PI 655970"	159	172	-0.0755813953488372
"PI 655971"	104.666666666667	82	0.276422764227642
"PI 655974"	153	154	-0.00649350649350649
"PI 655975"	81	86	-0.0581395348837209
"PI 655976"	86.3333333333333	83	0.0401606425702811
"PI 655977"	70	60	0.166666666666667
"PI 655978"	88.3333333333333	73	0.210045662100457
"PI 655981"	226.666666666667	300	-0.244444444444444
"PI 655993"	83.3333333333333	91	-0.0842490842490843
"PI 655994"	242.5	234	0.0363247863247863
"PI 655995"	201.333333333333	222	-0.093093093093093
"PI 655996"	86	95	-0.0947368421052632
"PI 655997"	66.5	78	-0.147435897435897
"PI 655998"	69.3333333333333	68	0.0196078431372548
"PI 655999"	177.333333333333	132	0.343434343434343
"PI 656000"	86.3333333333333	80	0.0791666666666666
"PI 656002"	82	80	0.025
"PI 656003"	103	140	-0.264285714285714
"PI 656004"	86.3333333333333	80	0.0791666666666666
"PI 656005"	72.6666666666667	77	-0.0562770562770562
"PI 656006"	76.6666666666667	80	-0.0416666666666666
"PI 656007"	67.5	88	-0.232954545454545
"PI 656009"	87	75	0.16
"PI 656010"	81	78	0.0384615384615385
"PI 656011"	114	105	0.0857142857142857
"PI 656012"	108	130	-0.169230769230769
"PI 656013"	200	231	-0.134199134199134
"PI 656014"	155.666666666667	200	-0.221666666666667
"PI 656016"	94	92	0.0217391304347826
"PI 656017"	142.5	125	0.14
"PI 656019"	98.3333333333333	100	-0.0166666666666667
"PI 656020"	81.3333333333333	82	-0.00813008130081307
"PI 656021"	82.3333333333333	79	0.0421940928270042
"PI 656022"	91.5	100	-0.085
"PI 656023"	158.5	161	-0.015527950310559
"PI 656024"	157.666666666667	138	0.142512077294686
"PI 656025"	120.333333333333	132	-0.0883838383838384
"PI 656026"	98.3333333333333	115	-0.144927536231884
"PI 656028"	282.5	282	0.00177304964539007
"PI 656029"	85.3333333333333	80	0.0666666666666666
"PI 656030"	83.3333333333333	56	0.488095238095238
"PI 656031"	127.333333333333	117	0.0883190883190883
"PI 656032"	234	263	-0.110266159695817
"PI 656034"	116.5	110	0.0590909090909091
"PI 656035"	204.666666666667	255	-0.197385620915033
"PI 656036"	184	125	0.472
"PI 656037"	150	151	-0.00662251655629139
"PI 656039"	121.666666666667	132	-0.0782828282828282
"PI 656041"	125	78	0.602564102564103
"PI 656043"	192	167	0.149700598802395
"PI 656044"	105	128	-0.1796875
"PI 656048"	129.666666666667	112	0.157738095238095
"PI 656049"	161.666666666667	165	-0.0202020202020203
"PI 656050"	264.666666666667	250	0.0586666666666667
"PI 656051"	136.666666666667	131	0.0432569974554707
"PI 656052"	73	75	-0.0266666666666667
"PI 656053"	72.3333333333333	70	0.0333333333333333
"PI 656055"	85.6666666666667	81	0.0576131687242799
"PI 656056"	106.666666666667	120	-0.111111111111111
"PI 656057"	122.333333333333	115	0.0637681159420289
"PI 656058"	79	83	-0.0481927710843374
"PI 656059"	100	117	-0.145299145299145
"PI 656061"	98	96	0.0208333333333333
"PI 656068"	76	92	-0.173913043478261
"PI 656069"	71	76	-0.0657894736842105
"PI 656070"	80	85	-0.0588235294117647
"PI 656071"	109.666666666667	125	-0.122666666666667
"PI 656072"	95.6666666666667	98	-0.0238095238095238
"PI 656074"	266	280	-0.05
"PI 656075"	108.5	93	0.166666666666667
"PI 656076"	99.6666666666667	82	0.215447154471545
"PI 656077"	154.333333333333	149	0.0357941834451902
"PI 656079"	104.666666666667	115	-0.0898550724637681
"PI 656080"	107.333333333333	112	-0.0416666666666667
"PI 656081"	123.333333333333	120	0.0277777777777777
"PI 656082"	82	82	0
"PI 656085"	71	75	-0.0533333333333333
"PI 656086"	111	110	0.00909090909090909
"PI 656087"	86.3333333333333	78	0.106837606837607
"PI 656088"	173.5	152	0.141447368421053
"PI 656089"	148	190	-0.221052631578947
"PI 656091"	76	75	0.0133333333333333
"PI 656092"	176.5	76	1.32236842105263
"PI 656094"	127	110	0.154545454545455
"PI 656095"	142.666666666667	110	0.296969696969697
"PI 656096"	137.666666666667	131	0.0508905852417302
"PI 656097"	109.333333333333	125	-0.125333333333333
"PI 656099"	177	157	0.127388535031847
"PI 656100"	56	62	-0.0967741935483871
"PI 656102"	120.5	100	0.205
"PI 656105"	54.6666666666667	62	-0.118279569892473
"PI 656107"	131	117	0.11965811965812
"PI 656108"	96.6666666666667	97	-0.00343642611683844
"PI 656109"	62.6666666666667	62	0.010752688172043
"PI 656110"	80.6666666666667	62	0.301075268817204
"PI 656114"	84.6666666666667	72	0.175925925925926
"PI 656115"	109	76	0.43421052631579
"PI 656116"	78.3333333333333	90	-0.12962962962963
"PI 656117"	87	80	0.0875
"PI 656118"	103	99	0.0404040404040404
"PI 656119"	107.333333333333	123	-0.127371273712737
"PI 656121"	94.6666666666667	100	-0.0533333333333333
"PI 659691"	107	120	-0.108333333333333
"PI 659693"	58.6666666666667	58	0.0114942528735632
"PI 659694"	117	145	-0.193103448275862
"PI 659695"	90	100	-0.1
"PI 659696"	134.666666666667	140	-0.0380952380952382
"PI 659753"	163.5	152	0.0756578947368421
