sample	group	Abs_genetic_load	canon
[283]282set_Va22:GT	improved	309257.179358	VA22
[284]282set_Va26:GT	improved	301311.876847	VA26
[285]282set_Va35:GT	improved	310046.309195	VA35
[286]282set_Va59:GT	improved	314683.498446	VA59
[287]282set_Va85:GT	improved	301907.397871	VA85
[288]282set_Va99:GT	improved	292416.693514	VA99
[289]282set_VaW6:GT	improved	301360.93098	VAW6
[290]282set_W117Ht:GT	improved	301643.161588	W117HT
[291]282set_W153R:GT	improved	301684.105066	W153R
[292]282set_W182B:GT	improved	297680.322181	W182B
[293]282set_Wf9:GT	improved	294000.899754	WF9
[294]282set_Yu796:GT	improved	300198.148298	YU796
[295]29MIBZ2:GT	improved	302270.409774	29MIBZ2
[296]2FACC:GT	improved	147680.576645	2FACC
[297]2MA22:GT	improved	269111.922195	2MA22
[298]3189:GT	improved	246559.973387	3189
[299]32:GT	improved	169137.177098	32
[300]3335:GT	improved	249699.00017	3335
[301]3489a:GT	improved	278859.29507	3489A
[302]3514:GT	improved	295727.624526	3514
[303]3H2:GT	improved	315601.595302	3H2
[304]3IBZ2:GT	improved	294023.623696	3IBZ2
[305]4003:GT	improved	320704.507467	4003
[306]411:GT	improved	313518.789361	411
[307]433-7:GT	improved	282039.179184	433-7
[308]441950:GT	improved	282350.754902	441950
[309]444:GT	improved	319354.429422	444
[310]4676A:GT	improved	259617.447395	4676A
[311]468-3:GT	improved	182954.77453	468-3
[312]4722:GT	improved	307476.275984	4722
[313]4936:GT	improved	313261.027825	4936
[314]4F1:GT	improved	331543.377254	4F1
[315]4N506:GT	improved	107847.067255	4N506
[316]5023:GT	improved	314026.359366	5023
[317]5032:GT	improved	314778.386671	5032
[318]5707:GT	improved	313466.480378	5707
[319]6:GT	improved	271084.532543	6
[320]6103:GT	improved	231790.548301	6103
[321]619:GT	improved	337099.130439	619
[322]624:GT	improved	232447.876359	624
[323]680:GT	improved	265611.698296	680
[324]68122:GT	improved	326586.840138	68122
[325]68139:GT	improved	311217.692938	68139
[326]68202:GT	improved	243325.254108	68202
[327]697:GT	improved	183777.421956	697
[328]698-3:GT	improved	260742.279908	698-3
[329]6M502:GT	improved	305560.07373	6M502
[330]7026B:GT	improved	293431.309612	7026B
[331]707:GT	improved	307855.029926	707
[332]7146:GT	improved	314075.868601	7146
[333]72-125:GT	improved	348456.456706	72-125
[334]7236:GT	improved	289192.058262	7236
[335]7327:GT	improved	307056.510178	7327
[336]740:GT	improved	313509.915077	740
[337]743:GT	improved	87843.156234	743
[338]75-14gao:GT	improved	324141.825436	75-14GAO
[339]75-24:GT	improved	312119.147479	75-24
[340]75-364:GT	improved	323141.524496	75-364
[341]757:GT	improved	252280.857813	757
[342]764:GT	improved	115074.766397	764
[343]77:GT	improved	316772.881278	77
[344]779:GT	improved	290961.870622	779
[345]78002A:GT	improved	100593.412892	78002A
[346]78004:GT	improved	121283.391069	78004
[347]78010:GT	improved	127490.541871	78010
[348]78371A:GT	improved	317222.420364	78371A
[349]785:GT	improved	221449.338101	785
[350]78551S:GT	improved	314211.209893	78551S
[351]78599:GT	improved	331547.735232	78599
[352]787:GT	improved	295992.170161	787
[353]7884:GT	improved	291505.706163	7884
[354]790:GT	improved	108959.147737	790
[355]79028:GT	improved	295171.260507	79028
[356]7903E:GT	improved	216925.306054	7903E
[357]79131:GT	improved	280200.183752	79131
[358]792:GT	improved	131556.107928	792
[359]794:GT	improved	71667.55464	794
[360]795:GT	improved	134310.390367	795
[361]802:GT	improved	314102.103835	802
[362]806A:GT	improved	245490.262806	806A
[363]807:GT	improved	278466.898198	807
[364]807D:GT	improved	283476.864771	807D
[365]811A:GT	improved	282786.879314	811A
[366]82huangzao4:GT	improved	211117.718831	82HUANGZAO4
[367]832:GT	improved	161765.223355	832
[368]83IBI3:GT	improved	299480.493528	83IBI3
[369]84-126-15-1:GT	improved	311050.156548	84-126-15-1
[370]85bai64:GT	improved	311808.020716	85BAI64
[371]87001:GT	improved	316255.433126	87001
[372]8701:GT	improved	308805.55719	8701
[373]87916W:GT	improved	118632.582361	87916W
[374]897:GT	improved	322802.054212	897
[375]8982:GT	improved	317345.906468	8982
[376]9058:GT	improved	326514.855826	9058
[377]9101-7:GT	improved	224825.268496	9101-7
[378]91huang10:GT	improved	301439.224764	91HUANG10
[379]91huang15:GT	improved	311702.353796	91HUANG15
[380]91huang5:GT	improved	297764.248027	91HUANG5
[381]926:GT	improved	336538.979999	926
[382]928:GT	improved	335571.291389	928
[383]92huang40:GT	improved	311893.3268	92HUANG40
[384]953:GT	improved	256143.910517	953
[385]96201:GT	improved	306840.7807	96201
[386]9702:GT	improved	297848.729515	9702
[387]9706:GT	improved	310097.141995	9706
[388]9710:GT	improved	249570.030392	9710
[389]98F1:GT	improved	103272.880011	98F1
[390]99122:GT	improved	289344.230567	99122
[391]A272:GT	improved	314915.704227	A272
[392]A554:GT	improved	296920.255735	A554
[393]A619:GT	improved	271149.864935	A619
[394]A632:GT	improved	241815.660088	A632
[395]A679:GT	improved	67704.150409	A679
[396]A801:GT	improved	252294.634117	A801
[397]Ay3566:GT	improved	236255.977686	AY3566
[398]Ay420:GT	improved	281496.838532	AY420
[399]B09:GT	improved	236856.355838	B09
[400]B100:GT	improved	300943.615341	B100
[401]B102:GT	improved	305666.372941	B102
[402]B12:GT	improved	314715.185262	B12
[403]B14:GT	improved	206664.58182	B14
[404]B37:GT	improved	258346.85837	B37
[405]B394:GT	improved	308373.14876	B394
[406]B4:GT	improved	294991.025784	B4
[407]B47:GT	improved	263220.276666	B47
[408]B68:GT	improved	240060.643485	B68
[409]B7:GT	improved	280971.879127	B7
[411]B76:GT	improved	262544.102348	B76
[412]B8:GT	improved	307352.432969	B8
[413]B95:GT	improved	296573.845238	B95
[414]B97:GT	improved	297440.407751	B97
[415]B98:GT	improved	291215.705549	B98
[416]bai197:GT	improved	339292.687727	BAI197
[417]baihe43:GT	improved	310849.07788	BAIHE43
[418]baiU8112:GT	improved	284840.838121	BAIU8112
[419]bao3040:GT	improved	279672.285412	BAO3040
[420]BC4B:GT	improved	208450.834395	BC4B
[421]BCC03:GT	improved	306355.988302	BCC03
[422]Beck:GT	improved	180277.33848	BECK
[423]ben7884:GT	improved	292267.092802	BEN7884
[424]BM:GT	improved	314234.303601	BM
[425]BS110:GT	improved	131539.16811	BS110
[426]BT1:GT	improved	312191.144012	BT1
[427]C103:GT	improved	309433.206333	C103
[428]C13:GT	improved	319423.559483	C13
[429]C166:GT	improved	334335.6974	C166
[430]C521:GT	improved	305726.901745	C521
[431]C8605-2:GT	improved	244887.094019	C8605-2
[432]cai11-8:GT	improved	318659.252144	CAI11-8
[433]CAU178:GT	improved	322420.286066	CAU178
[434]CAU478:GT	improved	239512.96485	CAU478
[435]CAU5003:GT	improved	309584.973043	CAU5003
[436]CAUCHANG72:GT	improved	332292.605823	CAUCHANG72
[437]CAUMo17:GT	improved	316362.594484	CAUMO17
[438]CAUZHENG58:GT	improved	276782.841877	CAUZHENG58
[439]chang3:GT	improved	295795.100732	CHANG3
[440]chang69:GT	improved	284665.929439	CHANG69
[441]chang72:GT	improved	327256.262676	CHANG72
[442]chang7daxian1:GT	improved	322724.053089	CHANG7DAXIAN1
[443]changD:GT	improved	340389.130293	CHANGD
[444]changK:GT	improved	326252.721277	CHANGK
[445]chaoxianbai:GT	improved	289401.315317	CHAOXIANBAI
[446]chen322:GT	improved	325067.441084	CHEN322
[447]cheng18:GT	improved	296402.250686	CHENG18
