group	canonical_line	Abs_genetic_load	n_alias_rows	alias_samples
improved	H99	307371.3218075	2	[151]282set_H99:GT | [621]H99:GT
improved	HI27GOODMAN-BUCKLER	285522.537354	1	[152]282set_Hi27Goodman-Buckler:GT
improved	HP301	301329.015562	2	[153]282set_HP301:GT | [633]HP301:GT
improved	I137TN	301764.059866	1	[154]282set_I137TN:GT
improved	I1677A	310288.267333	1	[155]282set_i1677a:GT
improved	I205	284056.872495	1	[156]282set_I205:GT
improved	I29	296149.526267	1	[157]282set_I29:GT
improved	IA2132GOODMAN-BUCKLER	301411.520508	1	[158]282set_IA2132Goodman-Buckler:GT
improved	IA5125	305333.390307	2	[159]282set_Ia5125:GT | [646]IA5125:GT
improved	IDS28	303626.087687	1	[160]282set_IDS28:GT
improved	IDS69	305329.025423	1	[161]282set_IDS69:GT
improved	IDS91	304095.033834	1	[162]282set_IDS91:GT
improved	IL101	317314.162673	1	[163]282set_Il101:GT
improved	IL14H	314494.545725	2	[164]282set_Il14H:GT | [652]Il14H:GT
improved	ILLHY	262761.182041	1	[165]282set_ILLHy:GT
improved	K148	300724.017905	1	[166]282set_K148:GT
improved	K4	296346.513663	1	[167]282set_K4:GT
improved	K55	296363.543376	1	[168]282set_K55:GT
improved	K64	295574.642623	1	[169]282set_K64:GT
improved	KI11	314812.9007355	2	[170]282set_Ki11:GT | [680]Ki11:GT
improved	KI14	313110.290585	1	[171]282set_Ki14:GT
improved	KI2021	312012.15412	1	[172]282set_Ki2021:GT
improved	KI21	314984.83362	2	[173]282set_Ki21:GT | [681]Ki21:GT
improved	KI43	313943.79142	1	[174]282set_Ki43:GT
improved	KI44	305415.786534	1	[175]282set_Ki44:GT
improved	KY21	293813.1961435	2	[176]282set_Ky21:GT | [684]Ky21:GT
improved	KY226	284564.866529	1	[177]282set_KY226:GT
improved	KY228	301734.292687	1	[178]282set_KY228:GT
improved	L317	315709.394646	1	[179]282set_L317:GT
improved	L578	300453.0267025	2	[180]282set_L578:GT | [696]L578:GT
improved	M14	256737.4181775	2	[181]282set_M14:GT | [767]M14:GT
improved	M162W	307219.160203	2	[182]282set_M162W:GT | [768]M162W:GT
improved	M37W	309666.1914485	2	[183]282set_M37W:GT | [772]M37W:GT
improved	MEF156-55-2	308677.439596	1	[184]282set_MEF156-55-2:GT
improved	MO17	316085.869033	3	[185]282set_Mo17:GT | [600]german_Mo17:GT | [787]Mo17:GT
improved	MO18W	304945.8796605	2	[186]282set_Mo18W:GT | [789]MO18W:GT
improved	MO1W	297973.855965	1	[187]282set_MO1W:GT
improved	MO24W	298794.1678755	2	[188]282set_Mo24W:GT | [790]Mo24W:GT
improved	MO44	290043.551535	1	[189]282set_Mo44:GT
improved	MO45	303574.122971	1	[190]282set_Mo45:GT
improved	MO46	299225.785496	1	[191]282set_Mo46:GT
improved	MO47	284629.247966	1	[192]282set_Mo47:GT
improved	MOG	304618.539707	1	[193]282set_MoG:GT
improved	MP339	298103.948641	1	[194]282set_Mp339:GT
improved	MS1334	301423.844901	1	[195]282set_MS1334:GT
improved	MS153	297849.786554	1	[196]282set_MS153:GT
improved	MT42	305627.949355	1	[197]282set_Mt42:GT
improved	N192	210334.127288	2	[198]282set_N192:GT | [796]N192:GT
improved	N28HT	255623.464927	1	[199]282set_N28Ht:GT
improved	NC222	299447.793182	1	[200]282set_NC222:GT
improved	NC230	296930.001852	1	[201]282set_NC230:GT
improved	NC232	298331.267911	1	[202]282set_NC232:GT
improved	NC236	292373.677867	1	[203]282set_NC236:GT
improved	NC238	300018.867488	1	[204]282set_NC238:GT
improved	NC250	274532.817299	1	[205]282set_NC250:GT
improved	NC258	315594.607791	1	[206]282set_NC258:GT
improved	NC260	298324.86245	1	[207]282set_NC260:GT
improved	NC262	313238.896044	1	[208]282set_NC262:GT
improved	NC264	306576.749045	1	[209]282set_NC264:GT
improved	NC290A	313887.611954	1	[210]282set_NC290A:GT
improved	NC294	130611.050565	1	[211]282set_NC294:GT
improved	NC296	310700.616617	1	[212]282set_NC296:GT
improved	NC296A	306816.517379	1	[213]282set_NC296A:GT
improved	NC298	172524.963026	1	[214]282set_NC298:GT
improved	NC300	305027.104857	1	[215]282set_NC300:GT
improved	NC302	312549.34819	1	[216]282set_NC302:GT
improved	NC304	312475.673372	1	[217]282set_NC304:GT
improved	NC306	113480.014823	1	[218]282set_NC306:GT
improved	NC310	58688.285146	1	[219]282set_NC310:GT
improved	NC314	176479.08157	1	[220]282set_NC314:GT
improved	NC318	298126.753341	1	[221]282set_NC318:GT
improved	NC320	300354.407557	1	[222]282set_NC320:GT
improved	NC324	192338.053461	1	[223]282set_NC324:GT
improved	NC326	24559.47602	1	[224]282set_NC326:GT
improved	NC328	49022.517235	1	[225]282set_NC328:GT
improved	NC33	300268.665012	1	[226]282set_NC33:GT
improved	NC336	307828.13442	1	[227]282set_NC336:GT
improved	NC338	308859.856932	1	[228]282set_NC338:GT
improved	NC340	308591.216391	1	[229]282set_NC340:GT
improved	NC342	308988.616315	1	[230]282set_NC342:GT
improved	NC344	313533.096998	1	[231]282set_NC344:GT
improved	NC346	311627.98118	1	[232]282set_NC346:GT
improved	NC348	307872.051777	1	[233]282set_NC348:GT
improved	NC350	309803.9352115	2	[234]282set_NC350:GT | [802]NC350:GT
improved	NC352	307714.015042	1	[235]282set_NC352:GT
improved	NC354	303414.77482	1	[236]282set_NC354:GT
improved	NC356	311230.904771	1	[237]282set_NC356:GT
improved	NC358	305339.5132155	2	[238]282set_NC358:GT | [803]NC358:GT
improved	NC360	309994.376672	1	[239]282set_NC360:GT
improved	NC362	313382.476789	1	[240]282set_NC362:GT
improved	NC364	312345.300684	1	[241]282set_NC364:GT
improved	NC366	309268.816791	1	[242]282set_NC366:GT
improved	NC368	135952.556813	1	[243]282set_NC368:GT
improved	ND246	299567.2756095	2	[244]282set_ND246:GT | [804]ND246:GT
improved	OH40B	311867.486744	2	[245]282set_Oh40B:GT | [815]Oh40B:GT
improved	OH43E	311873.94612	1	[246]282set_Oh43E:GT
improved	OH603	301333.765227	1	[247]282set_Oh603:GT
improved	OH7B	295068.246606	2	[248]282set_OH7B:GT | [818]Oh7B:GT
improved	OS420	285014.487612	1	[249]282set_Os420:GT
improved	P39GOODMAN-BUCKLER	322083.268151	1	[250]282set_P39Goodman-Buckler:GT
improved	PA762	315156.347544	1	[251]282set_Pa762:GT
improved	PA875	293262.0978	1	[252]282set_Pa875:GT
improved	PA880	291464.694348	1	[253]282set_Pa880:GT
improved	PA91	307688.679842	2	[254]282set_Pa91:GT | [828]Pa91:GT
improved	R168	289725.203911	1	[255]282set_R168:GT
improved	R177	308851.18637	1	[256]282set_R177:GT
improved	R229	41447.692346	1	[257]282set_R229:GT
improved	R4	281111.776096	1	[258]282set_R4:GT
improved	SA24	303791.64827	1	[259]282set_SA24:GT
improved	SC213R	306721.156163	1	[260]282set_SC213R:GT
improved	SC357	300677.033388	1	[261]282set_SC357:GT
improved	SC55	302083.916311	1	[262]282set_SC55:GT
improved	SD40	279236.117456	1	[263]282set_SD40:GT
improved	SD44	286640.427986	1	[264]282set_SD44:GT
improved	SG1533	303298.335121	2	[265]282set_Sg1533:GT | [936]Sg1533:GT
improved	SG18	301172.833251	1	[266]282set_Sg18:GT
improved	T232	294034.41469	1	[267]282set_T232:GT
improved	T234	298029.735769	1	[268]282set_T234:GT
improved	T8	303390.405844	1	[269]282set_T8:GT
improved	TX303	298244.059444	2	[270]282set_Tx303:GT | [963]Tx303:GT
improved	TX601	306330.4622835	2	[271]282set_Tx601:GT | [964]Tx601:GT
improved	TZI10	307183.798032	1	[272]282set_Tzi10:GT
improved	TZI11	295683.035717	1	[273]282set_Tzi11:GT
