sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[453]chihuang14:GT	improved	5%	-214960.041936	10	214960.041936
[454]chihuang32:GT	improved	5%	-305421.782612	10	305421.782612
[455]chong72:GT	improved	5%	-289074.229931	10	289074.229931
[456]CM105:GT	improved	5%	-252801.471347	10	252801.471347
[457]CML103:GT	improved	5%	-304811.471344	10	304811.471344
[458]CML103-run248:GT	improved	5%	-304668.559335	10	304668.559335
[459]CML125-2pianma:GT	improved	5%	-296348.145054	10	296348.145054
[460]CML133:GT	improved	5%	-305813.38827	10	305813.38827
[461]CML192:GT	improved	5%	-308601.956666	10	308601.956666
[462]CML202:GT	improved	5%	-312483.125886	10	312483.125886
[463]CML206:GT	improved	5%	-313308.000563	10	313308.000563
[464]CML228:GT	improved	5%	-313094.356008	10	313094.356008
[465]CML247:GT	improved	5%	-311278.616666	10	311278.616666
[466]CML277:GT	improved	5%	-306952.713234	10	306952.713234
[467]CML312SR:GT	improved	5%	-316210.066005	10	316210.066005
[468]CML322:GT	improved	5%	-309098.391469	10	309098.391469
[469]CML330:GT	improved	5%	-311277.928149	10	311277.928149
[470]CML333:GT	improved	5%	-305350.243611	10	305350.243611
[471]CML341:GT	improved	5%	-309316.232554	10	309316.232554
[472]CML411:GT	improved	5%	-311863.103599	10	311863.103599
[473]CML418:GT	improved	5%	-307452.607334	10	307452.607334
[474]CML479:GT	improved	5%	-307704.440048	10	307704.440048
[475]CML504:GT	improved	5%	-311600.8861	10	311600.8861
[476]CML505:GT	improved	5%	-303645.510843	10	303645.510843
[477]CML511:GT	improved	5%	-312099.719158	10	312099.719158
[478]CML52:GT	improved	5%	-306041.343192	10	306041.343192
[479]CML58:GT	improved	5%	-334517.435462	10	334517.435462
[480]CML69:GT	improved	5%	-308804.312422	10	308804.312422
[481]CML84:GT	improved	5%	-304519.361218	10	304519.361218
[482]CML85:GT	improved	5%	-311367.408848	10	311367.408848
[483]CML96:GT	improved	5%	-296534.4423	10	296534.4423
[484]CML99:GT	improved	5%	-290402.883589	10	290402.883589
[485]CN104:GT	improved	5%	-283940.057187	10	283940.057187
[486]CN165:GT	improved	5%	-268060.295203	10	268060.295203
[487]Co109:GT	improved	5%	-300114.895388	10	300114.895388
[488]CR14:GT	improved	5%	-148592.144382	10	148592.144382
[489]CR1HT:GT	improved	5%	-308327.937065	10	308327.937065
[490]CT109:GT	improved	5%	-325405.492766	10	325405.492766
[491]CT52C:GT	improved	5%	-316978.95034	10	316978.95034
[492]Cwu215B:GT	improved	5%	-301765.459909	10	301765.459909
[493]D1049:GT	improved	5%	-277938.23612	10	277938.23612
[494]D1051:GT	improved	5%	-322123.078376	10	322123.078376
[495]D1139:GT	improved	5%	-274275.247593	10	274275.247593
[496]d140:GT	improved	5%	-274838.178419	10	274838.178419
[497]D15:GT	improved	5%	-203639.880765	10	203639.880765
[498]D20:GT	improved	5%	-319497.980485	10	319497.980485
[499]D23:GT	improved	5%	-297793.685529	10	297793.685529
[500]D33A:GT	improved	5%	-306329.451881	10	306329.451881
[501]D340:GT	improved	5%	-247766.878791	10	247766.878791
[502]D619:GT	improved	5%	-342689.916973	10	342689.916973
[503]D729:GT	improved	5%	-314744.97871	10	314744.97871
[504]D801:GT	improved	5%	-231840.381097	10	231840.381097
[505]D854:GT	improved	5%	-286185.965876	10	286185.965876
[506]D856:GT	improved	5%	-331898.372359	10	331898.372359
[507]D857:GT	improved	5%	-284936.037182	10	284936.037182
[508]D864:GT	improved	5%	-309041.1623	10	309041.1623
[509]D869:GT	improved	5%	-271997.672457	10	271997.672457
[510]D88:GT	improved	5%	-310357.159376	10	310357.159376
[511]D881:GT	improved	5%	-217965.627583	10	217965.627583
[512]D883:GT	improved	5%	-318810.002815	10	318810.002815
[513]D886:GT	improved	5%	-311091.748865	10	311091.748865
[514]D892:GT	improved	5%	-300765.443625	10	300765.443625
[515]D978:GT	improved	5%	-283353.617025	10	283353.617025
[516]da255:GT	improved	5%	-306982.414236	10	306982.414236
[517]dai6:GT	improved	5%	-299179.455021	10	299179.455021
[518]daMO:GT	improved	5%	-320183.518609	10	320183.518609
[519]dan3115:GT	improved	5%	-305659.383635	10	305659.383635
[520]dan340:GT	improved	5%	-296053.156641	10	296053.156641
[521]dan598:GT	improved	5%	-311710.192579	10	311710.192579
[522]dan599:GT	improved	5%	-323185.909813	10	323185.909813
[523]dan9046:GT	improved	5%	-312583.643829	10	312583.643829
[524]dan9064:GT	improved	5%	-284885.869411	10	284885.869411
[525]danhuang02:GT	improved	5%	-316582.19871	10	316582.19871
[526]daqing133:GT	improved	5%	-301957.818621	10	301957.818621
[527]De811:GT	improved	5%	-264227.041648	10	264227.041648
[528]DF20:GT	improved	5%	-77113.009688	10	77113.009688
[529]DF24:GT	improved	5%	-55378.53634	10	55378.53634
[530]DF27:GT	improved	5%	-305778.565257	10	305778.565257
[531]DF32:GT	improved	5%	-317210.65723	10	317210.65723
[532]DH138:GT	improved	5%	-329346.497028	10	329346.497028
[533]DH149:GT	improved	5%	-304719.350431	10	304719.350431
[534]DH40:GT	improved	5%	-302426.347743	10	302426.347743
[535]DH65232:GT	improved	5%	-308426.781413	10	308426.781413
[536]DH65232-DH9:GT	improved	5%	-335067.446671	10	335067.446671
[537]DJ7:GT	improved	5%	-7068.779879	10	7068.779879
[538]DM07:GT	improved	5%	-269324.580848	10	269324.580848
[539]DM101B:GT	improved	5%	-249699.665703	10	249699.665703
[540]dong327:GT	improved	5%	-301239.094513	10	301239.094513
[541]dupl-178:GT	improved	5%	-322400.445729	10	322400.445729
[542]dupl-478:GT	improved	5%	-241897.492663	10	241897.492663
[543]dupl-5003:GT	improved	5%	-311528.096962	10	311528.096962
[544]dupl-Zheng58:GT	improved	5%	-279072.967735	10	279072.967735
[545]duzi:GT	improved	5%	-322457.097898	10	322457.097898
[546]E200:GT	improved	5%	-328243.617455	10	328243.617455
[547]e220:GT	improved	5%	-254523.028878	10	254523.028878
[548]E28:GT	improved	5%	-285080.821892	10	285080.821892
