sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[217]282set_NC304:GT	improved	5%	-312475.673372	10	312475.673372
[218]282set_NC306:GT	improved	5%	-113480.014823	10	113480.014823
[219]282set_NC310:GT	improved	5%	-58688.285146	10	58688.285146
[220]282set_NC314:GT	improved	5%	-176479.08157	10	176479.08157
[221]282set_NC318:GT	improved	5%	-298126.753341	10	298126.753341
[222]282set_NC320:GT	improved	5%	-300354.407557	10	300354.407557
[223]282set_NC324:GT	improved	5%	-192338.053461	10	192338.053461
[224]282set_NC326:GT	improved	5%	-24559.47602	10	24559.47602
[225]282set_NC328:GT	improved	5%	-49022.517235	10	49022.517235
[226]282set_NC33:GT	improved	5%	-300268.665012	10	300268.665012
[227]282set_NC336:GT	improved	5%	-307828.13442	10	307828.13442
[228]282set_NC338:GT	improved	5%	-308859.856932	10	308859.856932
[229]282set_NC340:GT	improved	5%	-308591.216391	10	308591.216391
[230]282set_NC342:GT	improved	5%	-308988.616315	10	308988.616315
[231]282set_NC344:GT	improved	5%	-313533.096998	10	313533.096998
[232]282set_NC346:GT	improved	5%	-311627.98118	10	311627.98118
[233]282set_NC348:GT	improved	5%	-307872.051777	10	307872.051777
[234]282set_NC350:GT	improved	5%	-308809.964253	10	308809.964253
[235]282set_NC352:GT	improved	5%	-307714.015042	10	307714.015042
[236]282set_NC354:GT	improved	5%	-303414.77482	10	303414.77482
[237]282set_NC356:GT	improved	5%	-311230.904771	10	311230.904771
[238]282set_NC358:GT	improved	5%	-304147.835399	10	304147.835399
[239]282set_NC360:GT	improved	5%	-309994.376672	10	309994.376672
[240]282set_NC362:GT	improved	5%	-313382.476789	10	313382.476789
[241]282set_NC364:GT	improved	5%	-312345.300684	10	312345.300684
[242]282set_NC366:GT	improved	5%	-309268.816791	10	309268.816791
[243]282set_NC368:GT	improved	5%	-135952.556813	10	135952.556813
[244]282set_ND246:GT	improved	5%	-301377.344851	10	301377.344851
[245]282set_Oh40B:GT	improved	5%	-311698.151371	10	311698.151371
[246]282set_Oh43E:GT	improved	5%	-311873.94612	10	311873.94612
