sample	group	N_del_sum	n_chr_rows
[356]7903E:GT	improved	55530	10
[357]79131:GT	improved	71972	10
[358]792:GT	improved	33778	10
[359]794:GT	improved	18434	10
[360]795:GT	improved	34466	10
[361]802:GT	improved	80367	10
[362]806A:GT	improved	62563	10
[363]807:GT	improved	71228	10
[364]807D:GT	improved	72376	10
[365]811A:GT	improved	72178	10
[366]82huangzao4:GT	improved	54149	10
[367]832:GT	improved	41121	10
[368]83IBI3:GT	improved	76636	10
[369]84-126-15-1:GT	improved	79486	10
[370]85bai64:GT	improved	79681	10
[371]87001:GT	improved	80832	10
[372]8701:GT	improved	78931	10
[373]87916W:GT	improved	30546	10
[374]897:GT	improved	82486	10
[375]8982:GT	improved	81221	10
[376]9058:GT	improved	83370	10
[377]9101-7:GT	improved	57433	10
[378]91huang10:GT	improved	77222	10
[379]91huang15:GT	improved	79977	10
[380]91huang5:GT	improved	76387	10
[381]926:GT	improved	86054	10
[382]928:GT	improved	85822	10
[383]92huang40:GT	improved	79644	10
[384]953:GT	improved	65540	10
[385]96201:GT	improved	78570	10
[386]9702:GT	improved	76179	10
[387]9706:GT	improved	79266	10
[388]9710:GT	improved	63791	10
[389]98F1:GT	improved	26657	10
[390]99122:GT	improved	73927	10
[391]A272:GT	improved	80928	10
[392]A554:GT	improved	76092	10
[393]A619:GT	improved	69501	10
[394]A632:GT	improved	61903	10
[395]A679:GT	improved	17199	10
[396]A801:GT	improved	64641	10
[397]Ay3566:GT	improved	60457	10
[398]Ay420:GT	improved	71867	10
[399]B09:GT	improved	60638	10
[400]B100:GT	improved	77152	10
[401]B102:GT	improved	78326	10
[402]B12:GT	improved	80770	10
[403]B14:GT	improved	52949	10
[404]B37:GT	improved	66033	10
[405]B394:GT	improved	78740	10
[406]B4:GT	improved	75504	10
[407]B47:GT	improved	67380	10
[408]B68:GT	improved	61570	10
[409]B7:GT	improved	72025	10
[410]B73:GT	improved	1819	10
[411]B76:GT	improved	67157	10
[412]B8:GT	improved	78861	10
[413]B95:GT	improved	76046	10
[414]B97:GT	improved	76398	10
[415]B98:GT	improved	74775	10
[416]bai197:GT	improved	86782	10
[417]baihe43:GT	improved	79776	10
[418]baiU8112:GT	improved	72762	10
[419]bao3040:GT	improved	71415	10
[420]BC4B:GT	improved	53400	10
[421]BCC03:GT	improved	78518	10
[422]Beck:GT	improved	46295	10
[423]ben7884:GT	improved	74857	10
[424]BM:GT	improved	80276	10
[425]BS110:GT	improved	33779	10
[426]BT1:GT	improved	79838	10
[427]C103:GT	improved	79188	10
[428]C13:GT	improved	81890	10
[429]C166:GT	improved	85522	10
[430]C521:GT	improved	78167	10
[431]C8605-2:GT	improved	62590	10
[432]cai11-8:GT	improved	81541	10
[433]CAU178:GT	improved	82346	10
[434]CAU478:GT	improved	61217	10
[435]CAU5003:GT	improved	79222	10
[436]CAUCHANG72:GT	improved	85006	10
[437]CAUMo17:GT	improved	80667	10
[438]CAUZHENG58:GT	improved	70771	10
[439]chang3:GT	improved	75703	10
[440]chang69:GT	improved	72861	10
[441]chang72:GT	improved	83982	10
[442]chang7daxian1:GT	improved	82692	10
[443]changD:GT	improved	87059	10
[444]changK:GT	improved	83345	10
[445]chaoxianbai:GT	improved	74331	10
[446]chen322:GT	improved	82981	10
[447]cheng18:GT	improved	75808	10
[448]cheng435:GT	improved	37532	10
[449]cheng698-3:GT	improved	64970	10
[450]chengzi108:GT	improved	78423	10
[451]chengzi2142:GT	improved	80232	10
[452]chi545:GT	improved	79529	10
[453]chihuang14:GT	improved	55191	10
[454]chihuang32:GT	improved	78146	10
[455]chong72:GT	improved	73924	10
[456]CM105:GT	improved	64808	10
[457]CML103:GT	improved	78395	10
[458]CML103-run248:GT	improved	78336	10
[459]CML125-2pianma:GT	improved	76182	10
[460]CML133:GT	improved	78466	10
[461]CML192:GT	improved	79341	10
[462]CML202:GT	improved	80154	10
[463]CML206:GT	improved	80197	10
[464]CML228:GT	improved	80365	10
[465]CML247:GT	improved	79913	10
[466]CML277:GT	improved	78925	10
[467]CML312SR:GT	improved	81106	10
[468]CML322:GT	improved	79306	10
[469]CML330:GT	improved	79896	10
[470]CML333:GT	improved	78416	10
[471]CML341:GT	improved	79657	10
[472]CML411:GT	improved	80063	10
[473]CML418:GT	improved	78955	10
[474]CML479:GT	improved	79078	10
[475]CML504:GT	improved	80114	10
[476]CML505:GT	improved	77790	10
[477]CML511:GT	improved	80078	10
[478]CML52:GT	improved	78681	10
[479]CML58:GT	improved	85561	10
[480]CML69:GT	improved	79282	10
[481]CML84:GT	improved	78312	10
[482]CML85:GT	improved	80001	10
[483]CML96:GT	improved	76189	10
[484]CML99:GT	improved	74500	10
[485]CN104:GT	improved	72587	10
[486]CN165:GT	improved	68772	10
[487]Co109:GT	improved	76990	10
[488]CR14:GT	improved	38259	10
[489]CR1HT:GT	improved	78803	10
[490]CT109:GT	improved	83115	10
[491]CT52C:GT	improved	80854	10
[492]Cwu215B:GT	improved	77566	10
[493]D1049:GT	improved	71049	10
[494]D1051:GT	improved	82354	10
[495]D1139:GT	improved	70003	10
[496]d140:GT	improved	69980	10
[497]D15:GT	improved	52026	10
[498]D20:GT	improved	81581	10
[499]D23:GT	improved	76014	10
[500]D33A:GT	improved	78302	10
[501]D340:GT	improved	63147	10
[502]D619:GT	improved	87582	10
[503]D729:GT	improved	80652	10
[504]D801:GT	improved	59065	10
[505]D854:GT	improved	73121	10
[506]D856:GT	improved	84716	10
[507]D857:GT	improved	72889	10
[508]D864:GT	improved	79076	10
[509]D869:GT	improved	69725	10
[510]D88:GT	improved	79374	10
[511]D881:GT	improved	55416	10
[512]D883:GT	improved	81600	10
[513]D886:GT	improved	79445	10
[514]D892:GT	improved	76841	10
[515]D978:GT	improved	72425	10
[516]da255:GT	improved	78713	10
[517]dai6:GT	improved	76782	10
