Pedigree,Treatment,Bench,Row,Column,Whole_Fresh_1,Whole_Fresh_2,Whole_Fresh_3,Pot_id
PI 595714,LN,1,18,8,0.8,0.9,1.4,1253
PI 656038,LN,1,17,8,0.8,0.6,0.9,1254
PI 597964,LN,1,15,8,0.8,0.8,0.4,1256
PI 651496,LN,1,17,9,0.8,0.8,0.7,1264
PI 655987,LN,1,12,9,0.8,0.9,1.1,1269
PI 564165,LN,1,11,9,0.8,1.8,1.2,1270
PI 641849,LN,1,20,10,0.8,0.9,NA,1271
PI 576390,LN,1,11,10,0.8,0.6,0.5,1280
PI 655974,LN,1,13,12,0.8,1.1,1,1298
PI 656025,LN,1,13,15,0.8,1.5,0.9,1328
PI 597960,LN,1,20,16,0.8,0.8,NA,1331
PI 533955,LN,1,12,16,0.8,1.4,1.2,1339
PI 576422,LN,1,15,18,0.8,0.6,0.7,1356
PI 656051,LN,1,1,15,0.87,1.17,0.61,1150
PI 533810,LN,1,10,1,0.9,1,0.6,1001
PI 576348,LN,1,9,2,0.9,0.4,0.5,1012
PI 564163,LN,1,2,2,0.9,1.4,0.6,1019
PI 595745,LN,1,8,3,0.9,0.8,0.4,1023
PI 534097,LN,1,6,3,0.9,0.7,0.5,1025
PI 656049,LN,1,10,4,0.9,0.7,0.6,1031
PI 533927,LN,1,8,4,0.9,0.7,0.6,1033
PI 609456,LN,1,5,6,0.9,0.3,0.5,1056
PI 656077,LN,1,10,7,0.9,1,1.2,1061
PI 34911,LN,1,10,9,0.9,0.5,NA,1081
PI 576130,LN,1,6,11,0.9,0.8,0.4,1105
PI 534101,LN,1,4,11,0.9,0.9,0.9,1107
PI 533910,LN,1,4,12,0.9,0.8,0.7,1117
PI 534046,LN,1,2,12,0.9,0.4,0.5,1119
PI 656058,LN,1,7,13,0.9,0.6,NA,1124
PI 576359,LN,1,3,13,0.9,0.3,0.4,1128
PI 533967,LN,1,9,14,0.9,0.7,0.4,1132
PI 597968,LN,1,10,16,0.9,0.6,0.5,1151
PI 576333,LN,1,9,16,0.9,0.9,1,1152
PI 564163,LN,1,10,17,0.9,0.9,0.5,1161
PI 656109,LN,1,9,17,0.9,0.8,0.8,1162
PI 533852,LN,1,7,18,0.9,0.6,0.5,1174
PI 534117,LN,1,18,1,0.9,1.1,1,1183
PI 35038,LN,1,16,2,0.9,0.8,0.8,1195
PI 656046,LN,1,12,2,0.9,1.1,1.2,1199
PI 613536,LN,1,19,3,0.9,1.2,NA,1202
PI 564164,LN,1,18,3,0.9,0.8,1.3,1203
PI 656057,LN,1,19,4,0.9,0.8,0.6,1212
PI 597982,LN,1,13,5,0.9,1,0.5,1228
PI 597972,LN,1,11,8,0.9,0.8,0.9,1260
PI 597965,LN,1,18,10,0.9,1,0.7,1273
PI 534112,LN,1,13,10,0.9,0.9,0.7,1278
PI 656071,LN,1,20,12,0.9,0.5,0.7,1291
PI 656029,LN,1,12,12,0.9,0.9,0.9,1299
PI 655990,LN,1,11,12,0.9,0.8,1,1300
PI 656085,LN,1,17,13,0.9,0.8,1.1,1304
PI 656083,LN,1,5,1,1,1.1,NA,1006
PI 655983,LN,1,5,2,1,1.1,0.9,1016
PI 655989,LN,1,3,2,1,1.2,0.2,1018
PI 656053,LN,1,10,3,1,1,0.7,1021
PI 595702,LN,1,5,3,1,0.8,0.8,1026
PI 656110,LN,1,4,3,1,0.9,0.4,1027
PI 656092,LN,1,7,4,1,0.7,1.1,1034
PI 655973,LN,1,9,5,1,0.7,0.7,1042
PI 656106,LN,1,7,5,1,0.9,0.7,1044
PI 533866,LN,1,4,6,1,1.4,0.2,1057
PI 656091,LN,1,6,7,1,0.7,0.6,1065
PI 655993,LN,1,8,10,1,0.6,0.8,1093
PI 576386,LN,1,5,10,1,1,0.7,1096
PI 655970,LN,1,8,11,1,0.9,NA,1103
PI 534054,LN,1,1,12,1,0.5,0.7,1120
PI 533976,LN,1,9,13,1,0.6,0.6,1122
PI 533856,LN,1,8,14,1,1,0.4,1133
PI 564163,LN,1,9,15,1,0.7,0.5,1142
PI 656098,LN,1,6,16,1,1.3,0.8,1155
PI 655988,LN,1,1,16,1,0.8,0.9,1160
PI 576425,LN,1,19,1,1,1,1.2,1182
PI 597961,LN,1,17,2,1,0.8,1.1,1194
PI 533924,LN,1,11,3,1,0.5,0.5,1210
PI 533822,LN,1,16,4,1,0.6,1,1215
PI 656039,LN,1,18,6,1,1.1,1.4,1233
PI 656073,LN,1,12,6,1,0.8,1.2,1239
PI 534163,LN,1,11,6,1,0.9,0.6,1240
PI 534139,LN,1,17,7,1,1.1,0.9,1244
PI 576434,LN,1,13,7,1,NA,NA,1248
PI 561472,LN,1,17,10,1,1,1,1274
PI 656111,LN,1,16,14,1,1.2,1,1315
PI 655976,LN,1,12,14,1,0.7,0.6,1319
PI 534105,LN,1,1,18,1.09,1.01,1.07,1180
PI 656107,LN,1,1,3,1.1,NA,NA,1030
PI 533996,LN,1,5,4,1.1,0.5,NA,1036
PI 655998,LN,1,8,5,1.1,0.7,1,1043
PI 533776,LN,1,5,5,1.1,NA,NA,1046
PI 276837,LN,1,10,8,1.1,0.3,0.6,1071
PI 533979,LN,1,9,8,1.1,0.6,0.8,1072
PI 533911,LN,1,8,8,1.1,0.9,0.8,1073
PI 533750,LN,1,7,8,1.1,0.7,NA,1074
PI 533949,LN,1,4,8,1.1,0.9,0.4,1077
PI 534092,LN,1,2,11,1.1,1,0.6,1109
PI 533871,LN,1,9,12,1.1,0.7,0.7,1112
PI 656019,LN,1,7,12,1.1,1,1.5,1114
PI 565121,LN,1,8,13,1.1,0.6,NA,1123
PI 576426,LN,1,10,14,1.1,0.8,NA,1131
PI 656117,LN,1,7,14,1.1,0.9,NA,1134
PI 597966,LN,1,7,15,1.1,0.6,0.4,1144
PI 656089,LN,1,6,15,1.1,0.3,0.3,1145
PI 533761,LN,1,8,18,1.1,0.5,1.1,1173
PI 655984,LN,1,17,3,1.1,0.6,0.9,1204
PI 564163,LN,1,13,3,1.1,0.8,0.6,1208
PI 656002,LN,1,12,3,1.1,1,0.6,1209
PI 629040,LN,1,11,4,1.1,1,NA,1220
PI 656052,LN,1,15,5,1.1,0.6,0.6,1226
PI 533758,LN,1,12,5,1.1,0.9,1,1229
PI 534114,LN,1,11,5,1.1,0.7,0.9,1230
PI 595699,LN,1,20,6,1.1,0.8,1.1,1231
PI 655994,LN,1,19,6,1.1,1.2,0.8,1232
PI 659695,LN,1,17,6,1.1,1.4,1.1,1234
PI 533938,LN,1,14,10,1.1,0.2,1,1277
PI 656041,LN,1,19,11,1.1,1.1,0.7,1282
PI 574455,LN,1,11,13,1.1,1.1,0.8,1310
PI 533919,LN,1,20,15,1.1,0.8,1.5,1321
PI 564163,LN,1,17,15,1.1,0.6,0.6,1324
PI 597971,LN,1,11,15,1.1,0.5,0.8,1330
PI 656022,LN,1,18,16,1.1,1.4,1.3,1333
PI 656121,LN,1,11,16,1.1,0.9,0.9,1340
PI 552856,LN,1,20,18,1.1,0.7,0.7,1351
PI 656101,LN,1,16,18,1.1,1,1.1,1355
