sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[367]832:GT	improved	10%	-270396.768766	10	270396.768766
[368]83IBI3:GT	improved	10%	-502318.176017	10	502318.176017
[369]84-126-15-1:GT	improved	10%	-523045.303465	10	523045.303465
[370]85bai64:GT	improved	10%	-524346.843595	10	524346.843595
[371]87001:GT	improved	10%	-530706.683813	10	530706.683813
[372]8701:GT	improved	10%	-518060.855514	10	518060.855514
[373]87916W:GT	improved	10%	-200365.159769	10	200365.159769
[374]897:GT	improved	10%	-542977.531053	10	542977.531053
[375]8982:GT	improved	10%	-532072.117303	10	532072.117303
[376]9058:GT	improved	10%	-546078.945066	10	546078.945066
[377]9101-7:GT	improved	10%	-377091.154967	10	377091.154967
[378]91huang10:GT	improved	10%	-507694.202258	10	507694.202258
[379]91huang15:GT	improved	10%	-525634.640926	10	525634.640926
[380]91huang5:GT	improved	10%	-501576.599365	10	501576.599365
[381]926:GT	improved	10%	-563719.866871	10	563719.866871
[382]928:GT	improved	10%	-562852.550465	10	562852.550465
[383]92huang40:GT	improved	10%	-523625.11515	10	523625.11515
[384]953:GT	improved	10%	-430197.107226	10	430197.107226
[385]96201:GT	improved	10%	-513225.846529	10	513225.846529
[386]9702:GT	improved	10%	-499872.304899	10	499872.304899
[387]9706:GT	improved	10%	-519597.422901	10	519597.422901
[388]9710:GT	improved	10%	-418612.920912	10	418612.920912
[389]98F1:GT	improved	10%	-173611.939166	10	173611.939166
[390]99122:GT	improved	10%	-484638.363827	10	484638.363827
[391]A272:GT	improved	10%	-533872.644254	10	533872.644254
[392]A554:GT	improved	10%	-503048.842633	10	503048.842633
[393]A619:GT	improved	10%	-456754.353469	10	456754.353469
[394]A632:GT	improved	10%	-405756.273893	10	405756.273893
[395]A679:GT	improved	10%	-115151.553054	10	115151.553054
[396]A801:GT	improved	10%	-422185.105162	10	422185.105162
[397]Ay3566:GT	improved	10%	-398062.134705	10	398062.134705
[398]Ay420:GT	improved	10%	-472138.56106	10	472138.56106
[399]B09:GT	improved	10%	-398742.730484	10	398742.730484
[400]B100:GT	improved	10%	-506936.206637	10	506936.206637
[401]B102:GT	improved	10%	-514678.922739	10	514678.922739
[402]B12:GT	improved	10%	-530823.064088	10	530823.064088
[403]B14:GT	improved	10%	-347157.189752	10	347157.189752
[404]B37:GT	improved	10%	-432238.603848	10	432238.603848
[405]B394:GT	improved	10%	-517646.650127	10	517646.650127
[406]B4:GT	improved	10%	-498350.31918	10	498350.31918
[407]B47:GT	improved	10%	-442229.958719	10	442229.958719
[408]B68:GT	improved	10%	-404394.489183	10	404394.489183
[409]B7:GT	improved	10%	-473229.510071	10	473229.510071
[410]B73:GT	improved	10%	-11982.928162	10	11982.928162
[411]B76:GT	improved	10%	-440304.677609	10	440304.677609
[412]B8:GT	improved	10%	-516817.630583	10	516817.630583
[413]B95:GT	improved	10%	-500507.69643	10	500507.69643
[414]B97:GT	improved	10%	-501081.061993	10	501081.061993
[415]B98:GT	improved	10%	-493070.467969	10	493070.467969
[416]bai197:GT	improved	10%	-568791.071866	10	568791.071866
[417]baihe43:GT	improved	10%	-524256.080974	10	524256.080974
[418]baiU8112:GT	improved	10%	-478041.071847	10	478041.071847
[419]bao3040:GT	improved	10%	-468189.545823	10	468189.545823
[420]BC4B:GT	improved	10%	-350117.399842	10	350117.399842
[421]BCC03:GT	improved	10%	-517876.042201	10	517876.042201
[422]Beck:GT	improved	10%	-302311.21838	10	302311.21838
[423]ben7884:GT	improved	10%	-490659.959839	10	490659.959839
[424]BM:GT	improved	10%	-528083.255313	10	528083.255313
[425]BS110:GT	improved	10%	-223639.699071	10	223639.699071
